dataset,algorithm,ensemble_size,cores,batch_size,inc_rate,instances,time,delay,out_rate,acc
elecNormNew,AdaptiveRandomForestExecutorMAXChunk,25,4,100,417,45312.0,109.33200073242188,182.0,414.4440612792969,88.75077413076174
elecNormNew,AdaptiveRandomForestExecutorMAXChunk,25,4,25,722,44347.0,63.095001220703125,32.0,702.8607788085938,88.83850006768648
airlines,OzaBagExecutorMAXChunk,25,4,100,2595,246200.0,120.04299926757812,48.0,2050.931640625,62.71231206826493
airlines,OzaBagExecutorMAXChunk,25,4,500,2746,286000.0,120.16600036621094,209.0,2380.041015625,63.863047285464106
elecNormNew,AdaptiveRandomForestExecutorMAXChunk,25,4,2000,82,9584.0,119.80999755859375,15577.0,79.99332427978516,89.58333333333334
elecNormNew,AdaptiveRandomForestExecutorMAXChunk,25,4,500,732,43290.0,62.20500183105469,681.0,695.9247436523438,88.56041131105398
airlines,AdaptiveRandomForestExecutorMAXChunk,25,4,100,183,10900.0,120.06500244140625,1099.0,90.7841567993164,65.64814814814814
elecNormNew,OzaBagExecutorMAXChunk,25,4,2000,428,45312.0,106.88600158691406,2679.0,423.92828369140625,77.17029922423347
airlines,AdaptiveRandomForestExecutorMAXChunk,25,4,500,208,12500.0,122.49299621582031,4851.0,102.0466537475586,65.26666666666667
elecNormNew,OzaBagExecutorMAXChunk,25,4,50,3653,43602.0,12.463000297546387,14.0,3498.515625,77.4958670095518
elecNormNew,OzaBagExecutorMAXChunk,25,4,2000,3857,33213.0,11.677000045776367,682.0,2844.309326171875,77.08326658763977
elecNormNew,OzaBagExecutorMAXChunk,25,4,2000,2143,40942.0,21.10300064086914,844.0,1940.103271484375,76.50865389553695
airlines,AdaptiveRandomForestExecutorMAXChunk,25,4,500,115,11500.0,124.01300048828125,5296.0,92.73221588134766,65.07272727272728
airlines,AdaptiveRandomForestExecutorMAXChunk,25,4,100,20,2400.0,120.61599731445312,3231.0,19.897857666015625,72.52173913043478
elecNormNew,OzaBagExecutorMAXChunk,25,4,100,451,45312.0,100.88800048828125,116.0,449.1317138671875,77.5037600636999
airlines,AdaptiveRandomForestExecutorMAXChunk,25,4,50,177,11000.0,121.78399658203125,553.0,90.3238525390625,65.29680365296804
elecNormNew,AdaptiveRandomForestExecutorMAXChunk,25,4,75,744,43433.0,61.465999603271484,95.0,706.6182861328125,88.77946399741685
elecNormNew,AdaptiveRandomForestExecutorMAXChunk,25,4,25,401,45312.0,113.52400207519531,44.0,399.1402587890625,88.63470753196282
airlines,AdaptiveRandomForestExecutorMAXChunk,25,4,500,23,2400.0,119.95899963378906,16194.0,20.0068359375,73.26315789473684
elecNormNew,AdaptiveRandomForestExecutorMAXChunk,25,4,250,748,42288.0,61.00199890136719,337.0,693.2232055664062,88.80536657310053
elecNormNew,AdaptiveRandomForestExecutorMAXChunk,25,4,100,750,42873.0,60.61399841308594,128.0,707.3118896484375,88.75458817478315
airlines,OzaBagExecutorMAXChunk,25,4,250,4829,260500.0,120.1520004272461,115.0,2168.087158203125,62.52487992315081
elecNormNew,OzaBagExecutorMAXChunk,25,4,500,4284,34882.0,11.097999572753906,157.0,3143.0888671875,75.7256704089349
elecNormNew,OzaBagExecutorMAXChunk,25,4,250,452,45312.0,100.87699890136719,311.0,449.1806945800781,77.71070968887311
airlines,AdaptiveRandomForestExecutorMAXChunk,25,4,25,96,9725.0,120.125,305.0,80.95733642578125,65.28865979381443
airlines,AdaptiveRandomForestExecutorMAXChunk,25,4,75,181,11550.0,120.1719970703125,779.0,96.11224365234375,65.359477124183
airlines,OzaBagExecutorMAXChunk,25,4,2000,4869,292520.0,120.0009994506836,816.0,2437.646484375,62.41532424617926
elecNormNew,AdaptiveRandomForestExecutorMAXChunk,25,4,75,82,9584.0,119.81500244140625,590.0,79.98998260498047,89.01041118939952
airlines,AdaptiveRandomForestExecutorMAXChunk,25,4,2000,23,2000.0,121.32499694824219,71341.0,16.484649658203125,?
airlines,AdaptiveRandomForestExecutorMAXChunk,25,4,50,98,10200.0,120.36399841308594,583.0,84.74295043945312,65.15270935960591
airlines,OzaBagExecutorMAXChunk,25,4,500,4944,277000.0,120.81199645996094,217.0,2292.818603515625,62.06075949367088
elecNormNew,AdaptiveRandomForestExecutorMAXChunk,25,4,5,607,44281.0,75.10900115966797,7.0,589.5565185546875,88.70268316921131
elecNormNew,OzaBagExecutorMAXChunk,25,4,5,2806,43738.0,16.85099983215332,1.0,2595.572998046875,77.50668831317313
elecNormNew,AdaptiveRandomForestExecutorMAXChunk,25,4,500,81,9584.0,119.81600189208984,3880.0,79.98931884765625,89.20079260237782
elecNormNew,AdaptiveRandomForestExecutorMAXChunk,25,4,100,83,9584.0,119.8219985961914,774.0,79.98531341552734,88.59131168283425
elecNormNew,OzaBagExecutorMAXChunk,25,4,15,1899,45312.0,23.906999588012695,6.0,1895.344482421875,75.16171048855333
airlines,AdaptiveRandomForestExecutorMAXChunk,25,4,5,165,9110.0,121.56500244140625,66.0,74.9393310546875,65.96375617792421
airlines,AdaptiveRandomForestExecutorMAXChunk,25,4,5,91,8535.0,121.08399963378906,69.0,70.4882583618164,65.66236811254397
airlines,OzaBagExecutorMAXChunk,25,4,50,2455,196800.0,120.07099914550781,30.0,1639.0302734375,64.23532401524777
airlines,OzaBagExecutorMAXChunk,25,4,2000,2705,314000.0,120.62200164794922,758.0,2603.173583984375,62.315384615384616
elecNormNew,OzaBagExecutorMAXChunk,25,4,50,2029,45062.0,22.312999725341797,19.0,2019.5401611328125,76.77063894072693
airlines,OzaBagExecutorMAXChunk,25,4,5,1784,150560.0,120.0009994506836,3.0,1254.65625,62.3811895984856
airlines,OzaBagExecutorMAXChunk,25,4,25,4063,180500.0,120.00499725341797,16.0,1504.10400390625,63.73902202521124
airlines,AdaptiveRandomForestExecutorMAXChunk,25,4,2000,212,12000.0,124.95999908447266,20032.0,96.03073120117188,63.56
elecNormNew,OzaBagExecutorMAXChunk,25,4,100,2258,45312.0,20.11199951171875,36.0,2252.9833984375,78.01247456427497
elecNormNew,OzaBagExecutorMAXChunk,25,4,5,1558,45312.0,29.090999603271484,2.0,1557.5950927734375,76.98368905467147
elecNormNew,OzaBagExecutorMAXChunk,25,4,50,405,45312.0,112.10700225830078,69.0,404.1852722167969,77.09999558128231
airlines,OzaBagExecutorMAXChunk,25,4,250,2683,256000.0,120.03299713134766,117.0,2132.746826171875,63.64301075268817
elecNormNew,OzaBagExecutorMAXChunk,25,4,15,379,44925.0,119.93099975585938,5.0,374.59039306640625,76.90269427744377
airlines,OzaBagExecutorMAXChunk,25,4,2000,541,64692.0,119.95099639892578,2743.0,539.3202514648438,61.098704778919156
airlines,OzaBagExecutorMAXChunk,25,4,100,519,61697.0,119.98400115966797,134.0,514.210205078125,63.118333685082064
elecNormNew,AdaptiveRandomForestExecutorMAXChunk,25,4,50,400,45312.0,113.5530014038086,91.0,399.038330078125,88.6527329768901
airlines,OzaBagExecutorMAXChunk,25,4,50,4420,195000.0,120.00399780273438,30.0,1624.9459228515625,62.43754808925366
airlines,OzaBagExecutorMAXChunk,25,4,250,536,64000.0,120.01799774169922,351.0,533.2533569335938,63.12941176470588
elecNormNew,OzaBagExecutorMAXChunk,25,4,75,449,45312.0,102.08399963378906,95.0,443.8697509765625,78.12852311161218
airlines,OzaBagExecutorMAXChunk,25,4,25,451,53910.0,119.96499633789062,37.0,449.3810729980469,64.42423680059386
elecNormNew,AdaptiveRandomForestExecutorMAXChunk,25,4,250,415,45312.0,109.41899871826172,487.0,414.11456298828125,88.96853224446318
airlines,AdaptiveRandomForestExecutorMAXChunk,25,4,250,111,11500.0,120.23799896240234,2589.0,95.64363861083984,65.13777777777779
elecNormNew,AdaptiveRandomForestExecutorMAXChunk,25,4,15,721,44059.0,63.08100128173828,19.0,698.451171875,88.91335936790482
airlines,AdaptiveRandomForestExecutorMAXChunk,25,4,250,22,2400.0,119.95899963378906,8192.0,20.0068359375,72.88372093023256
elecNormNew,AdaptiveRandomForestExecutorMAXChunk,25,4,2000,741,40419.0,62.23899841308594,2825.0,649.4159545898438,88.80762122907936
airlines,OzaBagExecutorMAXChunk,25,4,15,412,49118.0,119.92400360107422,26.0,409.5760498046875,63.84945929983912
elecNormNew,AdaptiveRandomForestExecutorMAXChunk,25,4,5,337,40133.0,119.96399688720703,10.0,334.5420227050781,88.52422248803828
airlines,OzaBagExecutorMAXChunk,25,4,25,2257,194525.0,120.01000213623047,15.0,1620.9066162109375,65.61182519280206
airlines,AdaptiveRandomForestExecutorMAXChunk,25,4,15,170,8115.0,121.21299743652344,223.0,66.9482650756836,65.5679012345679
elecNormNew,AdaptiveRandomForestExecutorMAXChunk,25,4,250,83,9584.0,119.81800079345703,1931.0,79.98798370361328,89.15791729162203
elecNormNew,AdaptiveRandomForestExecutorMAXChunk,25,4,5,67,7788.0,120.00199890136719,39.0,64.89891815185547,88.12797121932417
airlines,AdaptiveRandomForestExecutorMAXChunk,25,4,75,20,2400.0,120.65899658203125,2475.0,19.89076805114746,72.73118279569893
airlines,OzaBagExecutorMAXChunk,25,4,75,2560,239400.0,120.95700073242188,37.0,1979.2156982421875,60.16045126919462
elecNormNew,OzaBagExecutorMAXChunk,25,4,250,2260,44550.0,20.097000122070312,92.0,2216.748779296875,77.66817155756208
airlines,AdaptiveRandomForestExecutorMAXChunk,25,4,2000,118,12000.0,133.53700256347656,20795.0,89.86273193359375,63.78
elecNormNew,OzaBagExecutorMAXChunk,25,4,100,4064,44110.0,12.48799991607666,27.0,3532.19091796875,75.17155192001817
elecNormNew,AdaptiveRandomForestExecutorMAXChunk,25,4,2000,411,43393.0,110.69499969482422,4113.0,392.00506591796875,88.89667335056653
airlines,AdaptiveRandomForestExecutorMAXChunk,25,4,50,19,1800.0,120.38899993896484,2112.0,14.951532363891602,73.77142857142857
elecNormNew,OzaBagExecutorMAXChunk,25,4,500,2380,44974.0,19.077999114990234,163.0,2357.375,75.547510905248
elecNormNew,OzaBagExecutorMAXChunk,25,4,75,4047,44377.0,11.60200023651123,19.0,3824.94384765625,75.85887770303825
elecNormNew,OzaBagExecutorMAXChunk,25,4,5,311,37138.0,119.9010009765625,7.0,309.7388610839844,76.8642447418738
airlines,OzaBagExecutorMAXChunk,25,4,50,491,58702.0,119.96700286865234,72.0,489.31787109375,65.29700606969925
airlines,OzaBagExecutorMAXChunk,25,4,75,4609,215100.0,120.02200317382812,41.0,1792.17138671875,63.74189047785141
airlines,AdaptiveRandomForestExecutorMAXChunk,25,4,15,18,1800.0,120.06700134277344,579.0,14.991629600524902,73.83753501400561
airlines,AdaptiveRandomForestExecutorMAXChunk,25,4,25,19,1800.0,120.13700103759766,1069.0,14.982893943786621,74.19718309859155
airlines,AdaptiveRandomForestExecutorMAXChunk,25,4,75,100,10650.0,120.33300018310547,843.0,88.50440216064453,66.0614657210402
airlines,AdaptiveRandomForestExecutorMAXChunk,25,4,5,18,1800.0,120.01399993896484,185.0,14.998250007629395,73.5933147632312
elecNormNew,AdaptiveRandomForestExecutorMAXChunk,25,4,15,400,45312.0,113.52999877929688,25.0,399.1191711425781,88.76305274079961
airlines,AdaptiveRandomForestExecutorMAXChunk,25,4,15,94,9780.0,121.39099884033203,183.0,80.56610870361328,65.65284178187405
elecNormNew,OzaBagExecutorMAXChunk,25,4,25,412,45312.0,110.697998046875,33.0,409.32989501953125,76.70192328924415
elecNormNew,AdaptiveRandomForestExecutorMAXChunk,25,4,50,721,41043.0,64.39099884033203,78.0,637.4027709960938,88.7029492840241
airlines,OzaBagExecutorMAXChunk,25,4,15,3714,181530.0,120.00900268554688,9.0,1512.636474609375,64.1743106630306
airlines,OzaBagExecutorMAXChunk,25,4,15,2063,182910.0,120.02200317382812,9.0,1523.9705810546875,65.16361846961371
airlines,OzaBagExecutorMAXChunk,25,4,500,549,65291.0,119.92900085449219,717.0,544.4137573242188,64.71269157753392
airlines,OzaBagExecutorMAXChunk,25,4,5,3211,149160.0,120.00599670410156,4.0,1242.9378662109375,66.80835372598975
airlines,AdaptiveRandomForestExecutorMAXChunk,25,4,250,200,10250.0,124.01799774169922,3009.0,82.6492919921875,65.02
elecNormNew,AdaptiveRandomForestExecutorMAXChunk,25,4,500,406,45312.0,112.0979995727539,1003.0,404.2177429199219,88.63027760421316
elecNormNew,AdaptiveRandomForestExecutorMAXChunk,25,4,25,80,9584.0,119.8479995727539,187.0,79.96795654296875,88.48205879276075
elecNormNew,AdaptiveRandomForestExecutorMAXChunk,25,4,50,80,9584.0,119.81900024414062,376.0,79.98731231689453,89.11264946507237
airlines,OzaBagExecutorMAXChunk,25,4,75,512,61098.0,119.96299743652344,104.0,509.3070373535156,61.7209904462252
airlines,AdaptiveRandomForestExecutorMAXChunk,25,4,100,102,11400.0,120.49500274658203,1050.0,94.60973358154297,65.86725663716814
elecNormNew,OzaBagExecutorMAXChunk,25,4,25,2061,44540.0,21.950000762939453,10.0,2029.1571044921875,78.11074918566774
elecNormNew,AdaptiveRandomForestExecutorMAXChunk,25,4,75,413,45312.0,110.74199676513672,136.0,409.1672668457031,88.47845789950705
elecNormNew,OzaBagExecutorMAXChunk,25,4,25,3711,41764.0,13.73900032043457,8.0,3039.8134765625,76.1997172907832
elecNormNew,OzaBagExecutorMAXChunk,25,4,75,2248,45312.0,20.176000595092773,26.0,2245.836669921875,76.12131662134978
elecNormNew,OzaBagExecutorMAXChunk,25,4,15,3418,43069.0,15.166999816894531,5.0,2839.65185546875,76.38082408138617
airlines,AdaptiveRandomForestExecutorMAXChunk,25,4,25,173,9125.0,120.02400207519531,328.0,76.02645874023438,65.42857142857143
airlines,OzaBagExecutorMAXChunk,25,4,5,356,42529.0,119.93099975585938,9.0,354.61224365234375,64.69993415483022
elecNormNew,AdaptiveRandomForestExecutorMAXChunk,25,4,15,80,9585.0,120.02400207519531,106.0,79.85902404785156,89.64472309299896
