dataset,algorithm,ensemble_size,cores,batch_size,inc_rate,instances,time,delay,out_rate,acc
covtypeNorm,OzaBagASHTExecutorMAXChunk,25,4,50,2437,287000.0,120.04900360107422,19.0,2390.6904296875,79.13713190451298
elecNormNew,OzaBagASHTExecutorMAXChunk,25,4,25,392,45300.0,116.31400299072266,35.0,389.4629821777344,76.35781336278299
airlines,OzaBagASHTExecutorMAXChunk,25,4,250,4300,70500.0,120.48200225830078,426.0,585.149658203125,59.46619217081851
covtypeNorm,LBagExecutorMAXChunk,25,4,250,686,72750.0,120.0009994506836,410.0,606.2449340820312,90.93655172413793
covtypeNorm,OzaBagExecutorMAXChunk,25,4,50,1337,158300.0,119.91200256347656,28.0,1320.134765625,81.19052132701422
airlines,OzaBagExecutorMAXChunk,25,4,250,2863,74500.0,120.21099853515625,402.0,619.74365234375,63.52996632996633
elecNormNew,OzaBagExecutorMAXChunk,25,4,25,3550,41225.0,14.868000030517578,8.0,2772.7333984375,77.9368932038835
elecNormNew,AdaptiveRandomForestExecutorMAXChunk,25,4,100,841,41700.0,63.23500061035156,151.0,659.4449462890625,88.71634615384615
GMSC,OzaBagASHTExecutorMAXChunk,25,4,500,4308,145500.0,34.959999084472656,96.0,4161.8994140625,93.32206896551725
elecNormNew,StreamingRandomPatchesExecutorMAXChunk,25,4,250,460,44250.0,98.81999969482422,549.0,447.7838439941406,89.6159090909091
GMSC,StreamingRandomPatchesExecutorMAXChunk,25,4,100,878,92000.0,120.06099700927734,130.0,766.2771606445312,93.54842219804135
GMSC,StreamingRandomPatchesExecutorMAXChunk,25,4,250,95,11250.0,119.99500274658203,1644.0,93.75390625,93.5
GMSC,OzaBagAdwinExecutorMAXChunk,25,4,2000,2270,146000.0,66.4260025024414,770.0,2197.9345703125,93.44375000000001
covtypeNorm,OzaBagASHTExecutorMAXChunk,25,4,250,2755,322000.0,120.03099822998047,82.0,2682.640380859375,77.65221445221445
airlines,LBagExecutorMAXChunk,25,4,500,122,7500.0,122.5510025024414,8032.0,61.19900894165039,61.44285714285714
covtypeNorm,StreamingRandomPatchesExecutorMAXChunk,25,4,250,141,16750.0,121.02999877929688,1698.0,138.39544677734375,81.8
GMSC,AdaptiveRandomForestExecutorMAXChunk,25,4,250,170,20250.0,119.81500244140625,919.0,169.01055908203125,93.55
airlines,AdaptiveRandomForestExecutorMAXChunk,25,4,25,106,8350.0,120.21199798583984,359.0,69.46061706542969,65.5975975975976
covtypeNorm,OzaBagASHTExecutorMAXChunk,25,4,100,2831,305800.0,120.0009994506836,38.0,2548.31201171875,78.81877657834478
covtypeNorm,StreamingRandomPatchesExecutorMAXChunk,25,4,50,127,14950.0,119.90399932861328,362.0,124.6830825805664,80.8993288590604
covtypeNorm,StreamingRandomPatchesExecutorMAXChunk,25,4,100,132,15500.0,119.84100341796875,732.0,129.33804321289062,81.07792207792208
