,algorithm,dataset,cores,batch_size,inc_rate,out_rate,instances,time,delay,acc,ensemble_size,duration,avg_measure,sum_measure,prod_rate,tt_inst_prod,avg_times_duration,joules,JPIold,JPI,delay_normalized,JPI_normalized,PERC,tput
411,StreamingRandomPatchesExecutorMAXChunk,elecNormNew,4,2000,467,419.8782348632813,42000.0,100.02899932861328,4545.0,89.4675,25,104,5.598941798941798,1058.1999999999998,463.08560215844983,45312.0,582.289947089947,560.056545447294,0.00013330813807004282,0.01386404635928445,0.0076153614155021615,0.007456968947023388,90,419.87823812994907
212,StreamingRandomPatchesExecutorMAXChunk,elecNormNew,4,2000,259,244.57052612304688,30000.0,122.66400146484376,6918.0,90.08928571428572,25,127,4.51391304347826,1038.1999999999998,254.47321071571372,30549.0,573.266956521739,553.6946361773946,0.00015046376811594199,0.01910889855072463,0.01159143460339801,0.010277985186420584,50,244.57053122140468
179,StreamingRandomPatchesExecutorMAXChunk,elecNormNew,4,2000,51,48.805885314941406,6000.0,122.93599700927734,25319.0,90.95,25,127,3.433766233766233,793.1999999999998,49.92469691548581,6000.0,436.0883116883116,422.13347544484316,0.0005722943722943722,0.07268138528138526,0.04242317616701853,0.0390926875909484,10,48.80588392305641
290,StreamingRandomPatchesExecutorMAXChunk,elecNormNew,4,500,445,435.9710388183594,44500.0,102.0709991455078,1107.0,89.76363636363637,25,106,5.678645833333333,1090.3,443.1058087228633,45312.0,601.9364583333333,579.625054001808,0.00012761001872659176,0.013526661985018727,0.0018548306021916156,0.007275502098391164,90,435.9710434161893
288,StreamingRandomPatchesExecutorMAXChunk,elecNormNew,4,500,247,241.95297241210935,29000.0,119.85800170898438,1752.0,90.17543859649123,25,123,4.541517857142857,1017.3,244.49183250172845,29351.0,558.6066964285714,544.3372550828116,0.00015660406403940886,0.01926229987684729,0.0029355584598371367,0.010360494209809907,50,241.95297424040237
196,StreamingRandomPatchesExecutorMAXChunk,elecNormNew,4,500,49,41.671180725097656,5000.0,119.98699951171876,6787.0,92.11111111111111,25,124,3.4457777777777783,775.3000000000001,44.93409665823459,5400.0,427.2764444444445,413.44853653971364,0.0006891555555555557,0.0854552888888889,0.011371937937736672,0.045963308192244555,10,41.671181214192
9,StreamingRandomPatchesExecutorMAXChunk,elecNormNew,4,250,460,447.7838439941406,44250.0,98.81999969482422,549.0,89.6159090909091,25,103,6.033155080213904,1128.2,458.41468966563815,45312.0,621.414973262032,596.1963831855652,0.0001363424876884498,0.014043276231910328,0.0009198753392982809,0.00755337021112152,90,447.78385080603914
251,StreamingRandomPatchesExecutorMAXChunk,elecNormNew,4,250,256,253.4506683349609,30500.0,120.33899688720705,868.0,89.98016528925619,25,124,4.804,1080.9,254.47957016118954,30549.0,595.696,578.1085410461427,0.0001575081967213115,0.019531016393442624,0.0014543748533896318,0.010505027102147057,50,253.45067508404986
362,StreamingRandomPatchesExecutorMAXChunk,elecNormNew,4,250,51,49.85044860839844,6000.0,120.36000061035156,2980.0,91.35652173913044,25,125,3.79295154185022,861.0,49.92469691548581,6000.0,474.1189427312775,456.5196498921264,0.0006321585903083701,0.07901982378854626,0.00499313025702892,0.04250190434453089,10,49.850448401243774
201,StreamingRandomPatchesExecutorMAXChunk,elecNormNew,4,100,462,429.6634216308594,43900.0,102.1729965209961,232.0,89.61643835616438,25,107,6.910256410256411,1347.5,458.33122604007565,45312.0,739.3974358974359,706.0416041643192,0.0001574090298463875,0.01684276619356346,0.00038872691933916425,0.009059114578282488,90,429.6634286435824
222,StreamingRandomPatchesExecutorMAXChunk,elecNormNew,4,100,256,254.158203125,30500.0,120.00399780273438,345.0,90.10526315789474,25,123,5.816216216216216,1291.2,254.4753304955559,30549.0,715.3945945945947,697.9691980310389,0.0001906956136464333,0.0234555604785113,0.0005780637378103951,0.01261589737877327,50,254.15819938046295
33,StreamingRandomPatchesExecutorMAXChunk,elecNormNew,4,100,51,49.9255256652832,6000.0,120.1790008544922,1157.0,91.20338983050847,25,124,4.834070796460177,1092.5,49.925112331502746,6000.0,599.4247787610619,580.9537983784634,0.0008056784660766961,0.09990412979351032,0.00193860795549747,0.05373481696782573,10,49.92552739945437
