dataset,algorithm,ensemble_size,cores,batch_size,instances,time,acc,prec,recall,change
elecNormNew,LBagExecutorMAXChunk,100,8,50
GMSC,OzaBag,50,1,1,8770.0,33.59199905395508,93.58038768529077,60.18084903864458,50.2927533794732,0
airlines,StreamingRandomPatches,50,1,1,170.0,38.638999938964844,74.70588235294117,59.66666666666667,55.67625758465453,0
GMSC,OzaBagASHT,50,1,1,9310.0,34.34700012207031,93.64124597207304,75.0,51.2,
elecNormNew,OzaBag,150,1,1,45312.0,274.0799865722656,82.66905014124293,82.37038053975687,82.02080602203199,0
elecNormNew,OzaBag,100,1,1,45312.0,176.01699829101562,82.82574152542372,82.55528322552207,82.1433195088703,0
GMSC,OzaBagAdwin,50,1,1,7070.0,35.387001037597656,93.66336633663367,58.435159852192584,50.264709896630244,1.0
elecNormNew,AdaptiveRandomForestSequential,150,1,1,45312.0,1574.425048828125,88.91905014124293,88.84563308199493,88.40555225974474,0
elecNormNew,LBagExecutorRUNPER,100,8,1,45312.0,352.406005859375,89.21477754237289,89.24611870594656,88.61274566216002,482.0
elecNormNew,LeveragingBag,100,1,1,45312.0,611.364990234375,89.15960451977402,89.1826382935279,88.56208057429278,462.0
airlines,OzaBag,50,1,1,310.0,38.01599884033203,77.41935483870968,61.85410334346504,55.81222056631893,0
elecNormNew,AdaptiveRandomForestExecutorMAXChunk,150,8,2000
airlines,OzaBagAdwin,50,1,1,310.0,39.45100021362305,77.41935483870968,61.85410334346504,55.81222056631893,0.0
elecNormNew,AdaptiveRandomForestExecutorMAXChunk,100,8,2000
elecNormNew,OzaBagExecutorMAXChunk,100,8,50
GMSC,StreamingRandomPatches,50,1,1,750.0,36.20100021362305,94.13333333333334,63.85542168674698,51.02134798197427,0
covtypeNorm,OzaBag,50,1,1,1690.0,33.165000915527344,66.68639053254438,?,?,0
elecNormNew,StreamingRandomPatches,50,1,1,530.0,37.257999420166016,89.05660377358491,89.0450558213716,89.2058453443148,0
covtypeNorm,AdaptiveRandomForestSequential,50,1,1,680.0,38.85900115966797,67.5,?,?,0
elecNormNew,OzaBag,50,1,1,6080.0,33.32600021362305,88.24013157894737,87.85919545975042,87.46667495788438,0
elecNormNew,AdaptiveRandomForestSequential,100,1,1,45312.0,1041.73095703125,89.05367231638418,89.02114124188488,88.50480061717914,0
elecNormNew,AdaptiveRandomForestExecutorMAXChunk,150,8,50
covtypeNorm,OzaBagAdwin,50,1,1,880.0,33.13800048828125,67.95454545454545,?,?,0.0
elecNormNew,AdaptiveRandomForestExecutorMAXChunk,100,8,500
elecNormNew,OzaBagExecutorRUNPER,150,8,1,45312.0,246.52000427246094,82.19897598870057,81.83067431533021,81.64985749986133,0
GMSC,LeveragingBag,50,1,1,2250.0,35.207000732421875,94.04444444444444,68.01603312805267,54.997496465598495,0.0
elecNormNew,OzaBagExecutorRUNPER,100,8,1,45312.0,170.85000610351562,82.3534604519774,81.99024862300475,81.8065788947085,0
covtypeNorm,StreamingRandomPatches,50,1,1,250.0,37.64400100708008,72.39999999999999,?,?,0
elecNormNew,OzaBagASHT,50,1,1,4620.0,32.52899932861328,89.48051948051948,89.06234131190377,88.86228489464052,0
airlines,OzaBagASHT,50,1,1,390.0,39.12900161743164,78.46153846153847,61.675824175824175,54.45564516129032,0
elecNormNew,AdaptiveRandomForestExecutorMAXChunk,150,8,500
elecNormNew,AdaptiveRandomForestExecutorMAXChunk,100,8,50
airlines,LeveragingBag,50,1,1,130.0,40.507999420166016,72.3076923076923,57.996632996633004,56.333333333333336,0.0
elecNormNew,AdaptiveRandomForestSequential,50,1,1,780.0,40.22100067138672,85.38461538461539,85.38123196076239,85.40916837194612,0
elecNormNew,OzaBagAdwin,50,1,1,4040.0,34.874000549316406,89.57920792079209,89.11573754568923,89.14043855092457,32.0
elecNormNew,LeveragingBag,150,1,1,45312.0,936.7310180664062,88.70939265536724,88.71871726593564,88.09728715202124,539.0
elecNormNew,AdaptiveRandomForestExecutorRUNPER,150,8,1,45312.0,761.447998046875,88.89036016949152,88.79986147826959,88.3942564143254,0
covtypeNorm,OzaBagASHT,50,1,1,1080.0,31.582000732421875,62.87037037037037,?,?,0
airlines,AdaptiveRandomForestSequential,50,1,1,210.0,37.97800064086914,67.14285714285714,49.14529914529915,49.24443266171792,0
elecNormNew,AdaptiveRandomForestExecutorRUNPER,100,8,1,45312.0,524.8699951171875,89.14856991525424,89.10094246031746,88.62133569202965,0
elecNormNew,LeveragingBag,50,1,1,960.0,37.55799865722656,89.58333333333334,89.58024991427914,89.61876832844575,2.0
GMSC,AdaptiveRandomForestSequential,50,1,1,1510.0,36.37900161743164,94.10596026490067,63.901843215634024,51.53351188920826,0
elecNormNew,LBagExecutorRUNPER,150,8,1,45312.0,485.89801025390625,88.69835805084746,88.6902688349554,88.10269489559784,540.0
covtypeNorm,LeveragingBag,50,1,1,840.0,36.30699920654297,70.23809523809523,?,?,0.0
