dataset,algorithm,ensemble_size,cores,batch_size,inc_rate,instances,time,delay,out_rate
covtypeNorm,OzaBagExecutorMAXChunk,25,4,500,85,10184.0,120.00199890136719,4223.0,84.86524963378906
GMSC,LBagExecutorMAXChunk,25,4,50,41,4800.0,120.02400207519531,650.0,39.992000579833984
covtypeNorm,OzaBagASHTExecutorMAXChunk,25,4,500,33,3600.0,119.96600341796875,9320.0,30.008501052856445
GMSC,StreamingRandomPatchesExecutorMAXChunk,25,4,2000,126,14976.0,120.00599670410156,10794.0,124.79376220703125
covtypeNorm,OzaBagExecutorMAXChunk,25,4,500,47,5400.0,119.97599792480469,6993.0,45.009002685546875
covtypeNorm,OzaBagASHTExecutorMAXChunk,25,4,2000,61,7200.0,120.0,19913.0,60.0
covtypeNorm,AdaptiveRandomForestExecutorMAXChunk,25,4,2000,112,13178.0,119.81600189208984,13173.0,109.98530578613281
GMSC,StreamingRandomPatchesExecutorMAXChunk,25,4,2000,70,8387.0,120.0009994506836,17120.0,69.89108276367188
elecNormNew,OzaBagAdwinExecutorMAXChunk,25,4,2000,399,45312.0,114.89199829101562,3099.0,394.3877868652344
GMSC,StreamingRandomPatchesExecutorMAXChunk,25,4,2000,14,1200.0,119.94599914550781,68421.0,10.004502296447754
covtypeNorm,OzaBagASHTExecutorMAXChunk,25,4,2000,33,3600.0,119.96399688720703,35048.0,30.009002685546875
covtypeNorm,LBagExecutorMAXChunk,25,4,2000,36,4000.0,120.06400299072266,36479.0,33.3155632019043
elecNormNew,LBagExecutorMAXChunk,25,4,50,159,18569.0,119.85199737548828,201.0,154.93275451660156
GMSC,OzaBagExecutorMAXChunk,25,4,2000,547,65291.0,119.91799926757812,2207.0,544.4637451171875
GMSC,LBagExecutorMAXChunk,25,4,500,371,44326.0,119.88700103759766,927.0,369.73150634765625
elecNormNew,AdaptiveRandomForestExecutorMAXChunk,25,4,50,97,11381.0,119.81400299072266,321.0,94.98889923095703
elecNormNew,OzaBagASHTExecutorMAXChunk,25,4,50,209,24559.0,119.86399841308594,131.0,204.8905487060547
elecNormNew,OzaBagASHTExecutorMAXChunk,25,4,50,41,4800.0,119.99700164794922,632.0,40.000999450683594
GMSC,AdaptiveRandomForestExecutorMAXChunk,25,4,2000,290,34742.0,119.86100006103516,4796.0,289.8524169921875
covtypeNorm,StreamingRandomPatchesExecutorMAXChunk,25,4,500,42,4800.0,119.97799682617188,8792.0,40.0073356628418
elecNormNew,StreamingRandomPatchesExecutorMAXChunk,25,4,2000,42,4800.0,119.98500061035156,29240.0,40.005001068115234
GMSC,OzaBagAdwinExecutorMAXChunk,25,4,50,110,13178.0,119.81500244140625,235.0,109.9862289428711
covtypeNorm,OzaBagASHTExecutorMAXChunk,25,4,500,61,7200.0,120.0,5138.0,60.0
covtypeNorm,AdaptiveRandomForestExecutorMAXChunk,25,4,500,112,13178.0,119.81600189208984,3213.0,109.98530578613281
covtypeNorm,OzaBagAdwinExecutorMAXChunk,25,4,50,6,600.0,120.05899810791016,5235.0,4.997542858123779
covtypeNorm,StreamingRandomPatchesExecutorMAXChunk,25,4,50,4,2400.0,120.20099639892578,1519.0,19.966556549072266
covtypeNorm,StreamingRandomPatchesExecutorMAXChunk,25,4,50,23,2400.0,120.19499969482422,1507.0,19.967552185058594
elecNormNew,LBagExecutorMAXChunk,25,4,2000,31,3600.0,119.96800231933594,35801.0,30.00800132751465
covtypeNorm,AdaptiveRandomForestExecutorMAXChunk,25,4,2000,62,7200.0,119.99600219726562,21243.0,60.00199890136719
covtypeNorm,LBagExecutorMAXChunk,25,4,50,66,7800.0,120.14900207519531,545.0,64.91938781738281
elecNormNew,OzaBagASHTExecutorMAXChunk,25,4,500,41,4800.0,119.98500061035156,6411.0,40.005001068115234
GMSC,StreamingRandomPatchesExecutorMAXChunk,25,4,50,126,14975.0,119.81600189208984,197.0,124.98330688476562
GMSC,OzaBagExecutorMAXChunk,25,4,50,547,65291.0,119.94499969482422,52.0,544.3411865234375
elecNormNew,OzaBagASHTExecutorMAXChunk,25,4,500,377,44925.0,119.90699768066406,775.0,374.6653747558594
GMSC,OzaBagAdwinExecutorMAXChunk,25,4,2000,110,13179.0,120.01000213623047,9624.0,109.81584930419922
elecNormNew,OzaBagAdwinExecutorMAXChunk,25,4,2000,79,8986.0,120.00499725341797,13821.0,74.88021850585938
covtypeNorm,StreamingRandomPatchesExecutorMAXChunk,25,4,2000,42,4800.0,119.9739990234375,34001.0,40.0086669921875
elecNormNew,StreamingRandomPatchesExecutorMAXChunk,25,4,50,4,2400.0,120.08599853515625,1382.0,19.98567771911621
elecNormNew,LBagExecutorMAXChunk,25,4,50,287,34143.0,119.9229965209961,109.0,284.70770263671875
GMSC,AdaptiveRandomForestExecutorMAXChunk,25,4,500,161,19168.0,119.81600189208984,1922.0,159.9786376953125
elecNormNew,OzaBagASHTExecutorMAXChunk,25,4,2000,377,44925.0,119.89900207519531,3193.0,374.69036865234375
elecNormNew,OzaBagExecutorMAXChunk,25,4,50,92,10782.0,119.81500244140625,286.0,89.98873138427734
GMSC,AdaptiveRandomForestExecutorMAXChunk,25,4,50,161,19168.0,119.8479995727539,183.0,159.9359130859375
elecNormNew,OzaBagAdwinExecutorMAXChunk,25,4,500,718,45312.0,63.40700149536133,493.0,714.6213989257812
covtypeNorm,LBagExecutorMAXChunk,25,4,2000,7,600.0,119.93900299072266,65191.0,5.002542972564697
covtypeNorm,OzaBagASHTExecutorMAXChunk,25,4,50,33,3600.0,120.13099670410156,951.0,29.967287063598633
covtypeNorm,OzaBagExecutorMAXChunk,25,4,2000,47,5400.0,119.9749984741211,25725.0,45.009376525878906
covtypeNorm,OzaBagASHTExecutorMAXChunk,25,4,50,6,600.0,120.03700256347656,5143.0,4.9984588623046875
elecNormNew,OzaBagAdwinExecutorMAXChunk,25,4,50,399,45312.0,114.9209976196289,76.0,394.28826904296875
covtypeNorm,OzaBagExecutorMAXChunk,25,4,2000,85,10000.0,122.85099792480469,16186.0,81.39942169189453
elecNormNew,AdaptiveRandomForestExecutorMAXChunk,25,4,50,175,20965.0,119.87899780273438,179.0,174.88467407226562
covtypeNorm,AdaptiveRandomForestExecutorMAXChunk,25,4,2000,12,1200.0,119.94400024414062,71651.0,10.004669189453125
GMSC,OzaBagASHTExecutorMAXChunk,25,4,50,1381,150000.0,109.12699890136719,24.0,1374.5452880859375
GMSC,OzaBagAdwinExecutorMAXChunk,25,4,500,552,65890.0,119.9229965209961,549.0,549.4359130859375
covtypeNorm,OzaBagASHTExecutorMAXChunk,25,4,50,61,7200.0,120.1719970703125,547.0,59.91412353515625
elecNormNew,OzaBagAdwinExecutorMAXChunk,25,4,50,79,8986.0,120.00800323486328,330.0,74.87834167480469
GMSC,AdaptiveRandomForestExecutorMAXChunk,25,4,500,32,3600.0,119.96800231933594,9074.0,30.00800132751465
covtypeNorm,StreamingRandomPatchesExecutorMAXChunk,25,4,2000,4
GMSC,OzaBagExecutorMAXChunk,25,4,50,109,12580.0,120.00700378417969,248.0,104.82721710205078
GMSC,AdaptiveRandomForestExecutorMAXChunk,25,4,2000,32,3600.0,119.96900177001953,35813.0,30.00775146484375
elecNormNew,AdaptiveRandomForestExecutorMAXChunk,25,4,500,19,1800.0,119.95700073242188,18269.0,15.005376815795898
covtypeNorm,OzaBagExecutorMAXChunk,25,4,2000,9,600.0,119.93099975585938,63174.0,5.0028767585754395
GMSC,OzaBagAdwinExecutorMAXChunk,25,4,500,995,119002.0,119.91600036621094,338.0,992.3779907226562
elecNormNew,AdaptiveRandomForestExecutorMAXChunk,25,4,2000,97,11381.0,119.80999755859375,13819.0,94.99207305908203
GMSC,OzaBagASHTExecutorMAXChunk,25,4,2000,1381,150000.0,109.41600036621094,1039.0,1370.9146728515625
covtypeNorm,LBagExecutorMAXChunk,25,4,500,36,4200.0,119.96800231933594,8705.0,35.009334564208984
covtypeNorm,OzaBagAdwinExecutorMAXChunk,25,4,50,59,6600.0,120.12999725341797,571.0,54.94048309326172
covtypeNorm,OzaBagAdwinExecutorMAXChunk,25,4,500,33,3600.0,119.96199798583984,9778.0,30.009504318237305
