,algorithm,dataset,cores,batch_size,inc_rate,out_rate,instances,time,delay,duration,avg_measure,sum_measure,prod_rate,tt_inst_prod,joules,JPI,PERC
448,StreamingRandomPatchesExecutorMAXChunk,elecNormNew,4,2000,178,154.49966430664062,9293.0,60.14899826049805,11859.0,69,4.472222222222224,563.5000000000002,174.60985610277038,11200.0,268.99968666500524,0.02894648516786885,0
514,StreamingRandomPatchesExecutorMAXChunk,elecNormNew,4,2000,99,94.8017807006836,5701.0,60.13600158691406,17112.0,71,4.274418604651162,551.3999999999999,94.8060123132667,6175.0,257.0464439924373,0.04508795719916458,0
246,StreamingRandomPatchesExecutorMAXChunk,elecNormNew,4,2000,56,54.90959167480469,3301.0,60.117000579833984,26364.0,70,,0.0,54.903410666420186,3564.0,,,0
538,StreamingRandomPatchesExecutorMAXChunk,elecNormNew,4,2000,54,,,,,1685,,0.0,49.92926687193143,6000.0,,,0
520,StreamingRandomPatchesExecutorMAXChunk,elecNormNew,4,2000,31,29.967220306396484,1801.0,60.0989990234375,49691.0,85,,0.0,29.95634502483818,2388.0,,,0
501,StreamingRandomPatchesExecutorMAXChunk,elecNormNew,4,2000,30,29.96871566772461,1801.0,60.09600067138672,51118.0,86,,0.0,29.95746779264008,2430.0,,,0
4,StreamingRandomPatchesExecutorMAXChunk,elecNormNew,4,2000,19,14.993427276611328,901.0,60.09299850463867,46620.0,82,3.975167785234899,592.3,14.98044328552803,1149.0,238.8797517738086,0.26512736045927704,0
86,StreamingRandomPatchesExecutorMAXChunk,elecNormNew,4,2000,6,5.009986400604248,301.0,60.08000183105469,39352.0,75,,0.0,4.9942429476108225,347.0,,,0
87,StreamingRandomPatchesExecutorMAXChunk,elecNormNew,4,2000,6,5.009986400604248,301.0,60.08000183105469,39352.0,75,,0.0,4.9943148289411186,347.0,,,0
238,StreamingRandomPatchesExecutorMAXChunk,elecNormNew,4,500,186,178.7048797607422,11000.0,61.55400085449219,2694.0,67,4.636885245901639,565.6999999999999,184.57153037591306,11396.0,285.4188383884117,0.025947167126219247,0
41,StreamingRandomPatchesExecutorMAXChunk,elecNormNew,4,500,103,97.49281311035156,6000.0,61.542999267578125,4290.0,67,4.33170731707317,532.8,99.79425535017091,6160.0,266.5862602419969,0.04443104337366615,0
50,StreamingRandomPatchesExecutorMAXChunk,elecNormNew,4,500,54,48.89178466796875,3000.0,61.36000061035156,7868.0,67,,0.0,49.91869918699187,3070.0,,,0
51,StreamingRandomPatchesExecutorMAXChunk,elecNormNew,4,500,54,48.89178466796875,3000.0,61.36000061035156,7868.0,67,,0.0,49.916264247272494,3070.0,,,0
31,StreamingRandomPatchesExecutorMAXChunk,elecNormNew,4,500,30,29.9647274017334,1801.0,60.104000091552734,11692.0,67,,0.0,29.954969653462115,1836.0,,,0
32,StreamingRandomPatchesExecutorMAXChunk,elecNormNew,4,500,30,29.9647274017334,1801.0,60.104000091552734,11692.0,67,,0.0,29.95462898216057,1842.0,,,0
