,algorithm,dataset,cores,batch_size,inc_rate,out_rate,instances,time,delay,acc,duration,avg_measure,sum_measure,prod_rate,tt_inst_prod,joules,JPI,PERC,tput
42,StreamingRandomPatchesExecutorMAXChunk,elecNormNew,4,100,365,363.8967895507813,43700.0,120.08899688720705,262.0,79.89908256880734,124,5.89288888888889,1325.9,364.1367709270177,43727.0,707.6711154344349,0.016193847035112927,90,363.8967859898521
106,StreamingRandomPatchesExecutorMAXChunk,elecNormNew,4,100,203,199.92323303222656,23960.0,119.84600067138672,380.0,80.9723386420788,124,4.939555555555556,1111.4,199.61676247604765,23960.0,591.9859784274631,0.024707261203149547,50,199.92323369803077
277,StreamingRandomPatchesExecutorMAXChunk,elecNormNew,4,100,40,39.95405197143555,4800.0,120.13800048828124,1445.0,80.65957446808511,124,4.091555555555556,920.6000000000001,39.942083978231565,4800.0,491.5513033311632,0.10240652152732567,10,39.95405267684817
117,StreamingRandomPatchesExecutorMAXChunk,elecNormNew,4,75,352,349.3721008300781,41925.0,120.0009994506836,194.0,79.97610513739546,125,5.704867256637168,1289.3,349.16643072464734,41930.0,684.5897725299395,0.01632891526606892,90,349.3720901652138
138,StreamingRandomPatchesExecutorMAXChunk,elecNormNew,4,75,195,194.36041259765625,23325.0,120.00900268554688,310.0,81.92688172043012,123,4.841517857142857,1084.5,194.6312079782049,23361.0,581.0257295199802,0.024909999121971286,50,194.36041861890345
56,StreamingRandomPatchesExecutorMAXChunk,elecNormNew,4,75,39,34.971439361572266,4200.0,120.0979995727539,1231.0,80.96969696969697,124,3.991964285714286,894.2,34.95135935822647,4200.0,479.42692508016313,0.11414926787622931,10,34.97144011508444
31,StreamingRandomPatchesExecutorMAXChunk,elecNormNew,4,50,351,349.5535583496094,41930.0,119.9530029296875,131.0,80.94794651384909,125,5.86784140969163,1332.0,349.1926014140926,41930.0,703.8651978076817,0.016786672974187497,90,349.55356661290074
141,StreamingRandomPatchesExecutorMAXChunk,elecNormNew,4,50,195,194.8000030517578,23361.0,119.9229965209961,196.0,82.6090686800223,124,4.860888888888888,1093.6999999999998,194.6247219468304,23361.0,582.9323613111707,0.0249532280857485,50,194.80000231573567
8,StreamingRandomPatchesExecutorMAXChunk,elecNormNew,4,50,39,34.9871711730957,4200.0,120.04399871826172,820.0,82.48192771084337,123,3.833183856502243,854.8000000000002,34.951068504094266,4200.0,460.1507179568168,0.10955969475162304,10,34.98717174406382
98,StreamingRandomPatchesExecutorMAXChunk,elecNormNew,4,25,332,329.3118896484375,39525.0,120.02300262451172,68.0,82.2253164556962,125,5.576651982378855,1265.9,329.211321791701,39534.0,669.3265155170458,0.01693425719208212,90,329.31187468832746
60,StreamingRandomPatchesExecutorMAXChunk,elecNormNew,4,25,184,179.8798828125,21564.0,119.87999725341795,101.0,84.83216491016296,123,4.572645739910314,1019.7,179.6565829924435,21564.0,548.1687587413018,0.025420550859826644,50,179.87988400112496
23,StreamingRandomPatchesExecutorMAXChunk,elecNormNew,4,25,36,34.99533462524414,4200.0,120.01599884033205,402.0,83.8562874251497,124,3.9508849557522128,892.9000000000001,34.95077765480282,4200.0,474.1694042678429,0.11289747720662925,10,34.99533429361892
91,OzaBagExecutorMAXChunk,elecNormNew,4,100,2519,2333.750244140625,42934.0,18.39699935913086,42.0,78.8532474202736,24,5.184444444444445,233.3,2479.859894921191,45312.0,95.378221121894,0.0022215079219707924,90,2333.7501492432707
236,OzaBagExecutorMAXChunk,elecNormNew,4,100,1399,1392.1593017578125,45312.0,32.54800033569336,56.0,78.3641511103247,37,4.776470588235294,324.8,1385.9847673813968,45312.0,155.4645663093118,0.003430980012122877,50,1392.1592581006937
69,OzaBagExecutorMAXChunk,elecNormNew,4,100,279,274.7683410644531,32945.0,119.9010009765625,199.0,77.55822804079769,126,3.820089285714286,855.7,274.42275014160526,32945.0,458.03252917698455,0.013902945186734999,10,274.76834831795844
253,OzaBagExecutorMAXChunk,elecNormNew,4,75,2531,2418.594482421875,43496.0,17.983999252319336,31.0,78.51039819442205,23,5.125581395348838,220.4,2507.30411686587,45312.0,92.1784519816554,0.002119239745761803,90,2418.5944066023285
273,OzaBagExecutorMAXChunk,elecNormNew,4,75,1406,1401.63330078125,45312.0,32.327999114990234,41.0,78.56842849879523,38,4.442857142857143,311.0,1394.0866996892594,45312.0,143.62868178231375,0.003169771402328605,50,1401.633297465329
120,OzaBagExecutorMAXChunk,elecNormNew,4,75,281,279.7757873535156,33544.0,119.89600372314452,147.0,79.27634527473184,125,3.7823788546255512,858.6000000000001,279.38432835820896,33544.0,453.49210923652817,0.013519321167318393,10,279.77579701036126
14,OzaBagExecutorMAXChunk,elecNormNew,4,50,2318,2222.73291015625,43510.0,19.575000762939453,21.0,78.66774045098943,24,5.124444444444445,230.60000000000002,2303.3753558357057,45312.0,100.31100390964086,0.0023054700967511115,90,2222.732991274039
