,algorithm,dataset,cores,batch_size,inc_rate,out_rate,instances,time,delay,duration,avg_measure,sum_measure,prod_rate,tt_inst_prod,joules,JPI,PERC,tput
20,StreamingRandomPatchesExecutorMAXChunk,elecNormNew,4,2000,42,40.005001068115234,4800.0,119.98500061035156,29240.0,126,3.9822834645669296,1011.5000000000001,39.942416349762425,4800.0,477.814283926656,0.09954464248472,90,40.005000421576746
94,StreamingRandomPatchesExecutorMAXChunk,elecNormNew,4,2000,23,20.005836486816406,2400.0,119.96499633789062,55531.0,124,4.067200000000001,1016.8000000000001,19.97469871496105,2400.0,487.9216331054688,0.203300680460612,50,20.005835645926382
115,StreamingRandomPatchesExecutorMAXChunk,elecNormNew,4,2000,4,20.006668090820312,2400.0,119.95999908447266,54993.0,126,3.9539370078740155,1004.3,19.97436623000483,2400.0,474.3142798446294,0.19763094993526226,10,20.006669042319544
156,StreamingRandomPatchesExecutorMAXChunk,elecNormNew,4,500,42,40.00433349609375,4800.0,119.98699951171876,7425.0,124,3.9412000000000003,985.3000000000001,39.94175161223216,4800.0,472.89276247558604,0.09851932551574709,90,40.004333965624326
72,StreamingRandomPatchesExecutorMAXChunk,elecNormNew,4,500,23,20.007169723510746,2400.0,119.95700073242188,14285.0,125,4.142460317460317,1043.9,19.97519746314992,2400.0,496.91711533561585,0.2070487980565066,50,20.00716911348493
130,StreamingRandomPatchesExecutorMAXChunk,elecNormNew,4,500,4,20.00616836547852,2400.0,119.96299743652344,14320.0,125,3.9646825396825403,999.1000000000001,19.974532471099348,2400.0,475.61520134456583,0.19817300056023576,10,20.00616899615169
159,StreamingRandomPatchesExecutorMAXChunk,elecNormNew,4,50,42,39.97168731689453,4800.0,120.08499908447266,734.0,124,4.2672,1066.8,39.94175161223216,4800.0,512.4267080932617,0.10675556418609619,90,39.97168702664923
71,StreamingRandomPatchesExecutorMAXChunk,elecNormNew,4,50,23,19.98101806640625,2400.0,120.11399841308594,1369.0,124,4.0908,1022.7,19.97519746314992,2400.0,491.36234470825195,0.20473431029510497,50,19.981018296852646
37,StreamingRandomPatchesExecutorMAXChunk,elecNormNew,4,50,4,19.98567771911621,2400.0,120.08599853515624,1382.0,125,3.951190476190476,995.6999999999999,19.97486496159,2400.0,474.4826537359328,0.19770110572330532,10,19.985677175323474
161,OzaBagExecutorMAXChunk,elecNormNew,4,2000,835,824.2085571289062,44832.0,54.39400100708008,1655.0,59,3.725000000000001,447.0000000000001,830.2094212059583,45312.0,202.61765375137335,0.004519487280321497,90,824.2085371540244
160,OzaBagExecutorMAXChunk,elecNormNew,4,2000,463,459.1951293945313,45312.0,98.677001953125,2664.0,105,3.7235849056603776,789.4000000000001,458.31731839054885,45312.0,367.43219500847584,0.008108937919502027,50,459.19514277019454
116,OzaBagExecutorMAXChunk,elecNormNew,4,2000,92,89.9894790649414,10782.0,119.81400299072266,11682.0,126,3.721259842519685,945.2,89.84775380615484,10782.0,445.85903790090964,0.04135216452429138,10,89.98948145347305
88,OzaBagExecutorMAXChunk,elecNormNew,4,500,835,832.7727661132812,45312.0,54.4109992980957,389.0,60,3.741803278688525,456.50000000000006,829.9053096210554,45312.0,203.59525557033353,0.004493186254641895,90,832.7727956576208
91,OzaBagExecutorMAXChunk,elecNormNew,4,500,463,459.24169921875,45312.0,98.66699981689452,671.0,104,4.132380952380952,867.8000000000001,458.36831723230995,45312.0,407.72963067190983,0.008998270450916088,50,459.2416926032987
110,OzaBagExecutorMAXChunk,elecNormNew,4,500,92,89.9894790649414,10782.0,119.81400299072266,2947.0,126,4.155905511811024,1055.6000000000001,89.84925125623953,10782.0,497.9356754212869,0.04618212534050147,10,89.98948145347305
144,OzaBagExecutorMAXChunk,elecNormNew,4,50,835,832.7268676757812,45312.0,54.41400146484375,40.0,60,3.977868852459017,485.30000000000007,830.0573375588489,45312.0,216.4517615646613,0.004776919172948917,90,832.7268493436483
140,OzaBagExecutorMAXChunk,elecNormNew,4,50,463,459.16259765625,45312.0,98.68399810791016,63.0,104,4.256190476190476,893.8,458.35440733172834,45312.0,420.01789289928615,0.009269462678744839,50,459.16258835046074
41,OzaBagExecutorMAXChunk,elecNormNew,4,50,92,89.98873138427734,10782.0,119.81500244140624,286.0,126,4.303937007874016,1093.2,89.84700509983,10782.0,515.6762231060839,0.04782751095400518,10,89.98873079581814
157,OzaBagAdwinExecutorMAXChunk,elecNormNew,4,2000,718,708.9326171875,44952.0,63.40800094604492,1993.0,68,3.7289855072463762,514.5999999999999,712.497641361092,45312.0,236.44751657126602,0.005259999923724551,90,708.932616220633
8,OzaBagAdwinExecutorMAXChunk,elecNormNew,4,2000,399,394.3877868652344,45312.0,114.89199829101562,3099.0,121,3.727459016393443,909.5000000000001,393.746904300524,45312.0,428.25521494130624,0.009451253860816257,50,394.3877787313525
35,OzaBagAdwinExecutorMAXChunk,elecNormNew,4,2000,79,74.88021850585938,8986.0,120.00499725341795,13821.0,126,3.84251968503937,976.0,74.87645385114561,9000.0,461.12156424935404,0.05131555355545894,10,74.88021503824552
43,OzaBagAdwinExecutorMAXChunk,elecNormNew,4,500,718,714.6213989257812,45312.0,63.40700149536133,493.0,68,3.7413043478260866,516.3,712.5088450349871,45312.0,237.2248903772105,0.005235365695118522,90,714.6213971861592
99,OzaBagAdwinExecutorMAXChunk,elecNormNew,4,500,399,394.3877868652344,45312.0,114.89199829101562,769.0,121,4.2139344262295095,1028.2000000000003,393.72979736540265,45312.0,484.14734689681273,0.010684749004608331,50,394.3877787313525
101,OzaBagAdwinExecutorMAXChunk,elecNormNew,4,500,79,74.88208770751953,8986.0,120.0019989013672,3567.0,126,4.176771653543307,1060.9,74.88081470326397,9000.0,501.2209473797656,0.055777982125502515,10,74.8820859841329
104,OzaBagAdwinExecutorMAXChunk,elecNormNew,4,50,718,714.0921020507812,45312.0,63.45399856567383,48.0,69,3.9871428571428575,558.2,712.5200490612322,45312.0,253.00015713827952,0.005583513354923189,90,714.0921143543513
48,OzaBagAdwinExecutorMAXChunk,elecNormNew,4,50,399,394.2882690429688,45312.0,114.9209976196289,76.0,121,4.046311475409835,987.2999999999998,393.6819058541417,45312.0,465.0061514338508,0.010262317960669377,50,394.28825835619574
55,OzaBagAdwinExecutorMAXChunk,elecNormNew,4,50,79,74.87834167480469,8986.0,120.00800323486328,330.0,125,3.9083333333333337,984.9000000000001,74.87707679892176,9000.0,469.0312793095907,0.052195780025549816,10,74.87833942552838
40,OzaBagASHTExecutorMAXChunk,elecNormNew,4,2000,377,374.69036865234375,44925.0,119.89900207519533,3193.0,125,3.7257936507936513,938.9000000000001,374.1100054128326,44925.0,446.7189406682576,0.009943660337635116,90,374.69035790493933
92,OzaBagASHTExecutorMAXChunk,elecNormNew,4,2000,209,204.9213104248047,24559.0,119.84600067138672,5514.0,126,4.036220472440944,1025.1999999999998,204.60036323041803,24559.0,483.7248814500222,0.01969644046785383,50,204.92131454048155
131,OzaBagASHTExecutorMAXChunk,elecNormNew,4,2000,41,40.00566864013672,4800.0,119.98300170898438,24383.0,126,3.72755905511811,946.8,39.942416349762425,4800.0,447.24372448057636,0.09317577593345341,10,40.005666899735296
33,OzaBagASHTExecutorMAXChunk,elecNormNew,4,500,377,374.6653747558594,44925.0,119.90699768066406,775.0,126,4.090944881889763,1039.1,374.08196912418606,44925.0,490.53291846448036,0.010918929737662335,90,374.6653729054589
90,OzaBagASHTExecutorMAXChunk,elecNormNew,4,500,209,204.9247283935547,24559.0,119.84400177001952,1369.0,125,4.149206349206349,1045.6,204.59695424705922,24559.0,497.2574930584619,0.020247465005027155,50,204.92473246286193
30,OzaBagASHTExecutorMAXChunk,elecNormNew,4,500,41,40.005001068115234,4800.0,119.98500061035156,6411.0,126,4.062204724409449,1031.8000000000002,39.94175161223216,4800.0,487.40363633764076,0.10154242423700849,10,40.005000421576746
111,OzaBagASHTExecutorMAXChunk,elecNormNew,4,50,377,374.6153869628906,44925.0,119.9229965209961,50.0,125,3.894444444444445,981.4000000000001,374.0726246284254,44925.0,467.0334475623237,0.01039584746938951,90,374.61538906872244
16,OzaBagASHTExecutorMAXChunk,elecNormNew,4,50,209,204.8905487060547,24559.0,119.86399841308594,131.0,126,4.140551181102362,1051.6999999999998,204.5918409850132,24559.0,496.3030202009546,0.02020860052123273,50,204.89054532756865
17,OzaBagASHTExecutorMAXChunk,elecNormNew,4,50,41,40.0009994506836,4800.0,119.99700164794922,632.0,125,3.9738095238095235,1001.3999999999999,39.942083978231565,4800.0,476.8452279772077,0.09934275582858493,10,40.00099947565676
162,LBagExecutorMAXChunk,elecNormNew,4,2000,287,282.5417785644531,33868.0,119.86900329589844,4753.0,127,3.972656250000001,1017.0000000000002,284.38517728783347,34143.0,476.19834512472164,0.01406042119773006,90,282.5417670020692
135,LBagExecutorMAXChunk,elecNormNew,4,2000,159,154.97412109375,18569.0,119.81999969482422,8016.0,125,4.32579365079365,1090.1,154.72232637586967,18569.0,518.3165939179677,0.027913005219342327,50,154.97412825316601
27,LBagExecutorMAXChunk,elecNormNew,4,2000,31,30.00800132751465,3600.0,119.96800231933594,35801.0,127,4.283203125000001,1096.5000000000002,29.959305276998744,3600.0,513.847322434187,0.14273536734282974,10,30.008001553759033
141,LBagExecutorMAXChunk,elecNormNew,4,500,287,284.809814453125,34143.0,119.87999725341795,1192.0,125,3.9742063492063493,1001.5,284.3638604790619,34143.0,476.4278462273733,0.013953895270695994,90,284.80981633511453
120,LBagExecutorMAXChunk,elecNormNew,4,500,159,154.9573211669922,18569.0,119.83300018310548,1972.0,126,3.918897637795275,995.3999999999999,154.7133025611971,18569.0,469.6132613474928,0.025290175095454403,50,154.95731536076428
80,LBagExecutorMAXChunk,elecNormNew,4,500,31,30.00750160217285,3600.0,119.97000122070312,9158.0,126,4.0350393700787395,1024.8999999999999,29.959055956858958,3600.0,484.08367815393154,0.1344676883760921,10,30.007501570140445
38,LBagExecutorMAXChunk,elecNormNew,4,50,287,284.70770263671875,34143.0,119.9229965209961,109.0,126,4.027165354330709,1022.9000000000001,284.3567555862781,34143.0,482.9497367768776,0.014144912186301076,90,284.70769569222904
12,LBagExecutorMAXChunk,elecNormNew,4,50,159,154.93275451660156,18569.0,119.85199737548828,201.0,125,3.9210317460317463,988.1,154.71201353073994,18569.0,469.9434865346031,0.025307958777241808,50,154.93275378485822
146,LBagExecutorMAXChunk,elecNormNew,4,50,31,30.00124931335449,3600.0,119.99500274658205,876.0,126,4.386220472440945,1114.1,29.959305276998744,3600.0,526.3245376376656,0.1462012604549071,10,30.001249365382783
74,AdaptiveRandomForestExecutorMAXChunk,elecNormNew,4,2000,175,174.6956329345703,20935.0,119.83699798583984,8056.0,125,4.096428571428572,1032.3000000000002,174.6719433451364,20965.0,490.90370246342263,0.0234489468575793,90,174.69563116454
63,AdaptiveRandomForestExecutorMAXChunk,elecNormNew,4,2000,97,94.99207305908205,11381.0,119.80999755859376,13819.0,125,3.9400793650793653,992.9000000000001,94.84008599856669,11381.0,472.06089911082444,0.04147798076714036,50,94.99207271441648
81,AdaptiveRandomForestExecutorMAXChunk,elecNormNew,4,2000,19,15.00600242614746,1800.0,119.9520034790039,76649.0,141,3.96443661971831,1125.9,14.981772177184425,1800.0,475.5421152007412,0.2641900640004118,10,15.006001965736798
148,AdaptiveRandomForestExecutorMAXChunk,elecNormNew,4,500,175,174.94158935546875,20965.0,119.83999633789062,2018.0,125,4.170238095238096,1050.9,174.66757756523478,20965.0,499.7613180614654,0.02383788781595351,90,174.94159413096838
108,AdaptiveRandomForestExecutorMAXChunk,elecNormNew,4,500,97,94.84288787841795,11382.0,120.00900268554688,3374.0,125,3.9353174603174605,991.7,94.84193011647254,11400.0,472.27352366371764,0.04149301736634314,50,94.84288466110864
60,AdaptiveRandomForestExecutorMAXChunk,elecNormNew,4,500,19,15.005376815795898,1800.0,119.95700073242188,18269.0,124,4.104,1026.0,14.981772177184425,1800.0,492.3035310058594,0.27350196166992186,10,15.005376835113697
50,AdaptiveRandomForestExecutorMAXChunk,elecNormNew,4,50,175,174.88467407226562,20965.0,119.87899780273438,179.0,124,4.1176,1029.4,174.6661223537645,20965.0,493.6137613525391,0.02354465830443783,90,174.88467858647547
15,AdaptiveRandomForestExecutorMAXChunk,elecNormNew,4,50,97,94.98889923095705,11381.0,119.81400299072266,321.0,124,3.9699999999999998,992.4999999999999,,,475.6615918731689,0.04179435830534829,50,94.9888970897771
153,AdaptiveRandomForestExecutorMAXChunk,elecNormNew,4,50,19,14.998499870300291,1800.0,120.01200103759766,1786.0,123,4.360887096774194,1081.5,14.982146275688137,1800.0,523.3587867829108,0.29075488154606155,10,14.998500020311232
36,StreamingRandomPatchesExecutorMAXChunk,covtypeNorm,4,2000,42,40.0086669921875,4800.0,119.9739990234375,34001.0,128,3.723643410852713,960.7,39.946072801717676,4800.0,446.7403909372729,0.09307091477859851,90,40.008668870513326
117,StreamingRandomPatchesExecutorMAXChunk,covtypeNorm,4,2000,23,,,,,614,3.7182113821138207,4573.4,19.97619503425085,2400.0,,,50,
57,StreamingRandomPatchesExecutorMAXChunk,covtypeNorm,4,2000,4,,,,,618,3.8442649434571896,4759.200000000001,19.97652758009339,2400.0,,,10,
19,StreamingRandomPatchesExecutorMAXChunk,covtypeNorm,4,500,42,40.0073356628418,4800.0,119.97799682617188,8792.0,125,4.041269841269841,1018.4,39.94407829039345,4800.0,484.8634601895771,0.10101322087282856,90,40.00733573635506
93,StreamingRandomPatchesExecutorMAXChunk,covtypeNorm,4,500,23,20.0073356628418,2400.0,119.95600128173828,15623.0,126,3.9795275590551182,1010.8000000000001,19.97602876548142,2400.0,477.3682129747286,0.19890342207280357,50,20.00733580942872
85,StreamingRandomPatchesExecutorMAXChunk,covtypeNorm,4,500,4,20.00800323486328,2400.0,119.9520034790039,16125.0,126,3.9673228346456697,1007.7000000000002,19.97619503425085,2400.0,475.88832246374903,0.1982868010265621,10,20.0080026209824
103,StreamingRandomPatchesExecutorMAXChunk,covtypeNorm,4,50,42,39.92879486083984,4800.0,120.21399688720705,872.0,125,3.871031746031746,975.5,39.94540794247861,4800.0,465.35219826774,0.0969483746391125,90,39.928794685228596
26,StreamingRandomPatchesExecutorMAXChunk,covtypeNorm,4,50,23,19.967552185058597,2400.0,120.19499969482422,1507.0,124,3.956,989.0,19.975862499479796,2400.0,475.49141879272463,0.1981214244969686,50,19.967552777516648
25,StreamingRandomPatchesExecutorMAXChunk,covtypeNorm,4,50,4,19.966556549072266,2400.0,120.20099639892578,1519.0,125,3.9392857142857145,992.7,19.97602876548142,2400.0,473.50606795719693,0.19729419498216538,10,19.966556616842226
49,OzaBagExecutorMAXChunk,covtypeNorm,4,2000,85,81.39942169189453,10000.0,122.85099792480467,16186.0,127,3.7,14.8,84.86139305800526,10200.0,454.5486923217773,0.04545486923217773,90,81.39942018314622
46,OzaBagExecutorMAXChunk,covtypeNorm,4,2000,47,45.009376525878906,5400.0,119.9749984741211,25725.0,130,3.7362831858407084,844.4000000000001,44.938957915498115,5400.0,448.2605695201233,0.08301121657780061,50,45.009377525975076
61,OzaBagExecutorMAXChunk,covtypeNorm,4,2000,9,5.00287675857544,600.0,119.93099975585938,63174.0,129,3.7403846153846154,972.5,4.994755506717946,600.0,448.58806639451245,0.7476467773241874,10,5.002876664260328
0,OzaBagExecutorMAXChunk,covtypeNorm,4,500,85,84.86524963378906,10184.0,120.0019989013672,4223.0,125,4.319444444444445,1088.5,84.86139305800526,10200.0,518.3419674767389,0.050897679445869884,90,84.86525302274754
4,OzaBagExecutorMAXChunk,covtypeNorm,4,500,47,45.00900268554688,5400.0,119.97599792480467,6993.0,127,3.9960937500000004,1023.0000000000001,44.93858393528844,5400.0,479.435335457325,0.0887843213809861,50,45.009002578869705
114,OzaBagExecutorMAXChunk,covtypeNorm,4,500,9,5.002709865570068,600.0,119.93499755859376,45555.0,126,4.080314960629922,1036.4,4.9946307719201855,600.0,489.3725648414433,0.8156209414024055,10,5.0027099029778395
84,OzaBagExecutorMAXChunk,covtypeNorm,4,50,85,84.99432373046875,10183.0,119.80799865722656,430.0,125,4.248809523809524,1070.7,84.85762618644844,10183.0,509.0413657233829,0.04998933180039113,90,84.99432520472858
83,OzaBagExecutorMAXChunk,covtypeNorm,4,50,47,44.94531631469727,5400.0,120.14600372314452,690.0,126,4.070472440944882,1033.9,44.93820996130321,5400.0,489.05099704472093,0.0905649994527261,50,44.9453151387653
158,OzaBagExecutorMAXChunk,covtypeNorm,4,50,9,4.999166965484619,600.0,120.0199966430664,5121.0,125,4.092857142857143,1031.4,4.994672349493873,600.0,491.2247005462647,0.8187078342437746,10,4.999166945358036
128,OzaBagAdwinExecutorMAXChunk,covtypeNorm,4,2000,59,55.004127502441406,6600.0,119.99099731445312,21764.0,127,3.720312500000001,952.4000000000002,54.9157957798043,6600.0,446.4040071964265,0.06763697078733735,90,55.004126540458536
132,OzaBagAdwinExecutorMAXChunk,covtypeNorm,4,2000,33,30.008501052856445,3600.0,119.96600341796876,35713.0,130,3.7156488549618323,973.5000000000001,29.961299987516124,3600.0,445.7515432343229,0.12381987312064525,50,30.008501554039302
121,OzaBagAdwinExecutorMAXChunk,covtypeNorm,4,2000,6,5.002668380737305,600.0,119.93599700927734,63390.0,128,3.717054263565892,959.0000000000001,4.994713927759788,600.0,445.80860903836043,0.7430143483972674,10,5.002668214394287
78,OzaBagAdwinExecutorMAXChunk,covtypeNorm,4,500,59,54.143653869628906,6500.0,120.0510025024414,6160.0,125,4.1876984126984125,1055.3,54.916252714610216,6600.0,502.73739262232704,0.07734421424958877,90,54.14365448441643
67,OzaBagAdwinExecutorMAXChunk,covtypeNorm,4,500,33,30.009504318237305,3600.0,119.96199798583984,9778.0,126,3.9456692913385827,1002.2,29.96179870664902,3600.0,473.33037158034915,0.1314806587723192,50,30.009503513145383
109,OzaBagAdwinExecutorMAXChunk,covtypeNorm,4,500,6,5.002626419067383,600.0,119.93699645996094,46542.0,126,4.297244094488189,1091.5,4.994713927759788,600.0,515.398549748218,0.8589975829136967,10,5.0026265265055265
66,OzaBagAdwinExecutorMAXChunk,covtypeNorm,4,50,59,54.94048309326172,6600.0,120.12999725341795,571.0,126,3.933070866141733,999.0000000000001,54.91442502100893,6600.0,472.47979234710454,0.07158784732531887,90,54.94048240155284
76,OzaBagAdwinExecutorMAXChunk,covtypeNorm,4,50,33,29.975021362304688,3600.0,120.0999984741211,933.0,126,3.8657480314960626,981.8999999999999,29.961299987516124,3600.0,464.27633268401377,0.1289656479677816,50,29.97502119682142
24,OzaBagAdwinExecutorMAXChunk,covtypeNorm,4,50,6,4.997542858123779,600.0,120.05899810791016,5235.0,125,3.956746031746032,997.1,4.994755506717946,600.0,475.0429643388779,0.7917382738981298,10,4.997542953512858
5,OzaBagASHTExecutorMAXChunk,covtypeNorm,4,2000,61,60.0,7200.0,120.0,19913.0,128,3.722093023255814,960.3,59.90714392691328,7200.0,446.65116279069764,0.06203488372093023,90,60.0
10,OzaBagASHTExecutorMAXChunk,covtypeNorm,4,2000,33,30.009002685546875,3600.0,119.96399688720705,35048.0,131,3.723863636363637,983.1000000000001,29.962048072441572,3600.0,446.72956568111084,0.1240915460225308,50,30.00900347947563
97,OzaBagASHTExecutorMAXChunk,covtypeNorm,4,2000,6,5.002668380737305,600.0,119.93599700927734,63144.0,128,3.7093023255813957,957.0000000000001,4.994797086368366,600.0,444.8788726274358,0.741464787712393,10,5.002668214394287
22,OzaBagASHTExecutorMAXChunk,covtypeNorm,4,500,61,60.0,7200.0,120.0,5138.0,125,4.182936507936508,1054.1,59.90564860344957,7200.0,501.9523809523809,0.06971560846560845,90,60.0
2,OzaBagASHTExecutorMAXChunk,covtypeNorm,4,500,33,30.008501052856445,3600.0,119.96600341796876,9320.0,126,3.9354330708661425,999.6000000000001,29.961299987516124,3600.0,472.11817723071493,0.13114393811964303,50,30.008501554039302
79,OzaBagASHTExecutorMAXChunk,covtypeNorm,4,500,6,5.002584457397461,600.0,119.93800354003906,45524.0,126,4.1586614173228345,1056.3,4.994713927759788,600.0,498.78154779269,0.8313025796544833,10,5.002584521091359
54,OzaBagASHTExecutorMAXChunk,covtypeNorm,4,50,61,59.91412353515625,7200.0,120.1719970703125,547.0,125,4.231349206349206,1066.3,59.90863932502933,7200.0,508.4896844288659,0.07062356728178694,90,59.914124550890904
45,OzaBagASHTExecutorMAXChunk,covtypeNorm,4,50,33,29.967287063598636,3600.0,120.13099670410156,951.0,126,4.009055118110236,1018.3000000000001,29.9625468164794,3600.0,481.6117871802623,0.1337810519945173,50,29.9672865352751
47,OzaBagASHTExecutorMAXChunk,covtypeNorm,4,50,6,4.998458862304688,600.0,120.03700256347656,5143.0,125,4.008333333333333,1010.0999999999999,4.994713927759788,600.0,481.1483186086018,0.8019138643476696,10,4.998458701788351
