dataset,algorithm,ensemble_size,cores,batch_size,inc_rate,instances,time,delay,out_rate,acc
GMSC,OzaBagAdwin,25,1,1,93,10783.0,120.00499725341797,32.0,89.8545913696289,93.4248353890383
airlines,OzaBagASHT,25,1,1,250,8932.0,120.07499694824219,14962.0,74.3868408203125,63.994626063591575
elecNormNew,StreamingRandomPatches,25,1,1,122,11363.0,120.00399780273438,9010.0,94.68851470947266,91.69233477074717
elecNormNew,OzaBagAdwin,25,1,1,61,7189.0,120.00299835205078,28.0,59.906837463378906,88.8579774655724
GMSC,AdaptiveRandomForestSequential,25,1,1,195,23361.0,119.9540023803711,856.0,194.74964904785156,93.5276743290099
GMSC,OzaBagASHTExecutorRUNPER,25,4,1,102,11981.0,120.0009994506836,33.0,99.84083557128906,93.55646440196979
airlines,OzaBagExecutorRUNPER,25,4,1,409,9977.0,120.00199890136719,22177.0,83.1402816772461,63.37576425779292
covtypeNorm,OzaBagExecutorRUNPER,25,4,1,83,9585.0,120.01799774169922,191.0,79.86302185058594,63.53677621283255
covtypeNorm,LBagExecutorRUNPER,25,4,1,75,8986.0,120.0009994506836,270.0,74.8827133178711,73.38081460048966
airlines,OzaBagAdwinExecutorRUNPER,25,4,1,65,7737.0,120.00499725341797,691.0,64.4723129272461,65.10275300504071
covtypeNorm,OzaBagAdwinExecutorRUNPER,25,4,1,20,2400.0,119.9800033569336,85.0,20.003334045410156,70.08333333333333
elecNormNew,OzaBagASHT,25,1,1,71,8387.0,120.00800323486328,26.0,69.88700866699219,88.0887087158698
GMSC,LeveragingBag,25,1,1,447,42588.0,120.00700378417969,9026.0,354.8792724609375,93.35493566262797
elecNormNew,AdaptiveRandomForestSequential,25,1,1,234,16545.0,120.0009994506836,15732.0,137.8738555908203,89.1326684799033
elecNormNew,StreamingRandomPatchesExecutorRUNPER,25,4,1,13,1200.0,119.95899963378906,35.0,10.00341796875,90.58333333333334
elecNormNew,OzaBagExecutorRUNPER,25,4,1,673,44141.0,67.83399963378906,2293.0,650.7208862304688,82.81869463763847
elecNormNew,OzaBagASHT,25,1,1,358,42529.0,119.98100280761719,211.0,354.4644470214844,83.30080650850007
GMSC,LeveragingBag,25,1,1,49,5395.0,120.0009994506836,49.0,44.95795822143555,93.62372567191845
covtypeNorm,AdaptiveRandomForestExecutorRUNPER,25,4,1,19,1800.0,119.97100067138672,79.0,15.003625869750977,67.94444444444444
elecNormNew,AdaptiveRandomForestSequential,25,1,1,26,3000.0,119.98100280761719,71.0,25.003957748413086,88.06666666666668
GMSC,StreamingRandomPatchesExecutorRUNPER,25,4,1,102,11981.0,120.00399780273438,380.0,99.83834075927734,93.48969201235289
GMSC,OzaBagExecutorRUNPER,25,4,1,501,59900.0,119.9800033569336,417.0,499.2498474121094,93.40400667779633
