,algorithm,dataset,cores,batch_size,inc_rate,out_rate,instances,time,delay,acc,duration,avg_measure,sum_measure,prod_rate,tt_inst_prod,joules,JPI,PERC
6,StreamingRandomPatchesExecutorRUNPER,elecNormNew,4,1,229,134.9966278076172,16200.0,120.00299835205078,15439.0,90.8641975308642,126,3.8460526315789467,876.8999999999999,224.5407972010496,26955.0,461.5378476092689,0.028489990593164746,0
7,StreamingRandomPatchesExecutorRUNPER,elecNormNew,4,1,229,134.9966278076172,16200.0,120.00299835205078,15439.0,90.8641975308642,126,3.8460526315789467,876.8999999999999,224.55202059330716,26955.0,461.5378476092689,0.028489990593164746,0
83,StreamingRandomPatchesExecutorRUNPER,elecNormNew,4,1,127,124.52295684814452,14944.0,120.01000213623048,1706.0,91.28747323340473,126,3.806550218340611,871.6999999999999,124.77814903385466,14975.0,456.82409983472536,0.03056906449643505,0
84,StreamingRandomPatchesExecutorRUNPER,elecNormNew,4,1,127,124.52295684814452,14944.0,120.01000213623048,1706.0,91.28747323340473,126,3.806550218340611,871.6999999999999,124.78022847905609,14975.0,456.82409983472536,0.03056906449643505,0
32,StreamingRandomPatchesExecutorRUNPER,elecNormNew,4,1,25,25.00374984741211,3000.0,119.98200225830078,104.0,92.06666666666666,126,3.3100436681222707,758.0,24.967957787506034,3000.0,397.14566686372046,0.13238188895457348,0
33,StreamingRandomPatchesExecutorRUNPER,elecNormNew,4,1,25,25.00374984741211,3000.0,119.98200225830078,104.0,92.06666666666666,126,3.3100436681222707,758.0,24.967542195146308,3000.0,397.14566686372046,0.13238188895457348,0
263,StreamingRandomPatches,elecNormNew,1,1,229,89.83577728271484,10782.0,120.0189971923828,19861.0,91.56928213689484,125,3.541850220264317,804.0,224.53518592562975,26955.0,425.0893116417435,0.03942583116692112,0
264,StreamingRandomPatches,elecNormNew,1,1,229,89.83577728271484,10782.0,120.0189971923828,19861.0,91.56928213689484,125,3.541850220264317,804.0,224.54266768851423,26955.0,425.0893116417435,0.03942583116692112,0
177,StreamingRandomPatches,elecNormNew,1,1,127,93.92315673828124,11272.0,120.01300048828124,11065.0,91.67849538679916,125,3.5154867256637163,794.4999999999999,124.77606965795943,14975.0,421.9041101236258,0.037429392310470704,0
178,StreamingRandomPatches,elecNormNew,1,1,127,93.92315673828124,11272.0,120.01300048828124,11065.0,91.67849538679916,125,3.5154867256637163,794.4999999999999,124.78230799356714,14975.0,421.9041101236258,0.037429392310470704,0
40,StreamingRandomPatches,elecNormNew,1,1,25,25.00062561035156,3000.0,119.99700164794922,158.0,92.26666666666668,125,3.2513513513513517,721.8000000000001,24.967749989596772,3000.0,390.15241346617006,0.13005080448872336,0
41,StreamingRandomPatches,elecNormNew,1,1,25,25.00062561035156,3000.0,119.99700164794922,158.0,92.26666666666668,125,3.2513513513513517,721.8000000000001,24.967749989596772,3000.0,390.15241346617006,0.13005080448872336,0
55,OzaBagExecutorRUNPER,elecNormNew,4,1,1250,653.5888671875,39182.0,59.94900131225586,8040.0,82.47409524781789,66,3.695,443.4,1240.5409845041886,45312.0,221.5115598487854,0.005653401047643954,0
56,OzaBagExecutorRUNPER,elecNormNew,4,1,1250,653.5888671875,39182.0,59.94900131225586,8040.0,82.47409524781789,66,3.695,443.4,1239.8281664705723,45312.0,221.5115598487854,0.005653401047643954,0
119,OzaBagExecutorRUNPER,elecNormNew,4,1,694,667.0109252929688,43924.0,65.85199737548828,2353.0,82.66778981877789,74,3.6926470588235296,502.20000000000005,686.5558569069228,45312.0,243.1681844262516,0.005536112021360796,0
120,OzaBagExecutorRUNPER,elecNormNew,4,1,694,667.0109252929688,43924.0,65.85199737548828,2353.0,82.66778981877789,74,3.6926470588235296,502.20000000000005,686.5558569069228,45312.0,243.1681844262516,0.005536112021360796,0
201,OzaBagExecutorRUNPER,elecNormNew,4,1,138,134.94143676757812,16173.0,119.85199737548828,126.0,86.90409942496754,127,3.2701298701298707,755.4000000000001,134.7547867819827,16173.0,391.93159661231107,0.02423369792940772,0
202,OzaBagExecutorRUNPER,elecNormNew,4,1,138,134.94143676757812,16173.0,119.85199737548828,126.0,86.90409942496754,127,3.2701298701298707,755.4000000000001,134.75927808422352,16173.0,391.93159661231107,0.02423369792940772,0
233,OzaBagAdwinExecutorRUNPER,elecNormNew,4,1,1039,556.3079223632812,39598.0,71.18000030517578,9257.0,85.62048588312541,82,3.6533333333333333,548.0,1030.5442470831722,45312.0,260.0442677815755,0.0065671061109544805,0
234,OzaBagAdwinExecutorRUNPER,elecNormNew,4,1,1039,556.3079223632812,39598.0,71.18000030517578,9257.0,85.62048588312541,82,3.6533333333333333,548.0,1030.6848941155063,45312.0,260.0442677815755,0.0065671061109544805,0
157,OzaBagAdwinExecutorRUNPER,elecNormNew,4,1,577,552.1478271484375,44486.0,80.56900024414062,3937.0,86.18666546778762,89,3.6506172839506172,591.4,571.9623336951857,45312.0,294.12658484188125,0.006611666250997646,0
158,OzaBagAdwinExecutorRUNPER,elecNormNew,4,1,577,552.1478271484375,44486.0,80.56900024414062,3937.0,86.18666546778762,89,3.6506172839506172,591.4,571.9406752918902,45312.0,294.12658484188125,0.006611666250997646,0
175,OzaBagAdwinExecutorRUNPER,elecNormNew,4,1,115,114.95873260498048,13777.0,119.84300231933594,113.0,90.23009363431808,127,3.273542600896862,730.0000000000002,114.79685364796853,13777.0,392.31117351172765,0.02847580558261796,0
176,OzaBagAdwinExecutorRUNPER,elecNormNew,4,1,115,114.95873260498048,13777.0,119.84300231933594,113.0,90.23009363431808,127,3.273542600896862,730.0000000000002,114.79972335408178,13777.0,392.31117351172765,0.02847580558261796,0
138,OzaBagAdwin,elecNormNew,1,1,1039,615.111083984375,40649.0,66.08399963378906,7395.0,84.38337966493641,75,3.477205882352941,472.9,1030.4973732687454,45312.0,229.78767225602093,0.005652972330340744,0
139,OzaBagAdwin,elecNormNew,1,1,1039,615.111083984375,40649.0,66.08399963378906,7395.0,84.38337966493641,75,3.477205882352941,472.9,1030.614565800846,45312.0,229.78767225602093,0.005652972330340744,0
145,OzaBagAdwin,elecNormNew,1,1,577,571.6798706054688,45181.0,79.03199768066406,1601.0,84.28764303578939,87,3.4490566037735855,548.4000000000001,571.9695535274737,45312.0,272.5858335099131,0.006033196111416592,0
146,OzaBagAdwin,elecNormNew,1,1,577,571.6798706054688,45181.0,79.03199768066406,1601.0,84.28764303578939,87,3.4490566037735855,548.4000000000001,571.9912141180034,45312.0,272.5858335099131,0.006033196111416592,0
113,OzaBagAdwin,elecNormNew,1,1,115,114.96353912353516,13777.0,119.83799743652344,71.0,88.88727589460696,128,3.214655172413794,745.8000000000002,114.79398408532266,13777.0,385.23783831103106,0.02796238936713588,0
114,OzaBagAdwin,elecNormNew,1,1,115,114.96353912353516,13777.0,119.83799743652344,71.0,88.88727589460696,128,3.214655172413794,745.8000000000002,114.7978102007316,13777.0,385.23783831103106,0.02796238936713588,0
50,OzaBagASHTExecutorRUNPER,elecNormNew,4,1,1211,637.8265991210938,38843.0,60.89899826049805,8745.0,83.64698916149628,68,3.694957983193278,439.7000000000001,1200.0635626887017,45312.0,225.0192397911008,0.0057930448160827125,0
51,OzaBagASHTExecutorRUNPER,elecNormNew,4,1,1211,637.8265991210938,38843.0,60.89899826049805,8745.0,83.64698916149628,68,3.694957983193278,439.7000000000001,1200.4450802734063,45312.0,225.0192397911008,0.0057930448160827125,0
276,OzaBagASHTExecutorRUNPER,elecNormNew,4,1,673,648.0135498046875,43958.0,67.83499908447266,2705.0,83.45238636880659,76,3.6151079136690654,502.50000000000006,666.3137462502206,45312.0,245.2308420140109,0.0055787534012923905,0
277,OzaBagASHTExecutorRUNPER,elecNormNew,4,1,673,648.0135498046875,43958.0,67.83499908447266,2705.0,83.45238636880659,76,3.6151079136690654,502.50000000000006,666.3529411764706,45312.0,245.2308420140109,0.0055787534012923905,0
251,OzaBagASHTExecutorRUNPER,elecNormNew,4,1,134,129.9392547607422,15574.0,119.8560028076172,96.0,88.14049056119173,128,3.2448275862068967,752.8000000000001,129.76711244427779,15574.0,388.9120642826476,0.024971880331491433,0
252,OzaBagASHTExecutorRUNPER,elecNormNew,4,1,134,129.9392547607422,15574.0,119.8560028076172,96.0,88.14049056119173,128,3.2448275862068967,752.8000000000001,129.7725189567536,15574.0,388.9120642826476,0.024971880331491433,0
280,OzaBagASHT,elecNormNew,1,1,1211,734.202392578125,39876.0,54.3120002746582,5970.0,83.00230715217172,61,3.5401785714285703,396.4999999999999,1200.0953465582543,45312.0,192.2741795437676,0.004821802075026773,0
281,OzaBagASHT,elecNormNew,1,1,1211,734.202392578125,39876.0,54.3120002746582,5970.0,83.00230715217172,61,3.5401785714285703,396.4999999999999,1200.317880794702,45312.0,192.2741795437676,0.004821802075026773,0
235,OzaBagASHT,elecNormNew,1,1,673,658.7548217773438,44684.0,67.83100128173828,1018.0,83.27813087458597,76,3.4340579710144925,473.9,666.245166223111,45312.0,232.9355906334476,0.005212952972729558,0
236,OzaBagASHT,elecNormNew,1,1,673,658.7548217773438,44684.0,67.83100128173828,1018.0,83.27813087458597,76,3.4340579710144925,473.9,666.2843530813004,45312.0,232.9355906334476,0.005212952972729558,0
193,OzaBagASHT,elecNormNew,1,1,134,129.9587860107422,15574.0,119.83799743652344,55.0,87.51123667651214,128,3.1974137931034488,741.8000000000001,129.76386875302038,15574.0,383.1716659414358,0.02460329176457145,0
194,OzaBagASHT,elecNormNew,1,1,134,129.9587860107422,15574.0,119.83799743652344,55.0,87.51123667651214,128,3.1974137931034488,741.8000000000001,129.76927499520886,15574.0,383.1716659414358,0.02460329176457145,0
179,OzaBag,elecNormNew,1,1,1250,788.61328125,40377.0,51.20000076293945,5594.0,82.09128959556183,57,3.542307692307692,368.4,1239.6585686145766,45312.0,181.36615654872014,0.004491818524128096,0
180,OzaBag,elecNormNew,1,1,1250,788.61328125,40377.0,51.20000076293945,5594.0,82.09128959556183,57,3.542307692307692,368.4,1240.3711915907038,45312.0,181.36615654872014,0.004491818524128096,0
59,OzaBag,elecNormNew,1,1,694,682.4119262695312,44930.0,65.83999633789062,726.0,82.84887602937904,73,3.465151515151515,457.4,686.5454545454545,45312.0,228.14556306781188,0.005077800201820875,0
60,OzaBag,elecNormNew,1,1,694,682.4119262695312,44930.0,65.83999633789062,726.0,82.84887602937904,73,3.465151515151515,457.4,686.5246507681586,45312.0,228.14556306781188,0.005077800201820875,0
274,OzaBag,elecNormNew,1,1,138,134.95606994628906,16173.0,119.83899688720705,53.0,86.44654671365856,128,3.226724137931035,748.6000000000001,134.76040095656305,16173.0,386.6873839213931,0.02390944066786577,0
275,OzaBag,elecNormNew,1,1,138,134.95606994628906,16173.0,119.83899688720705,53.0,86.44654671365856,128,3.226724137931035,748.6000000000001,134.7671385835826,16173.0,386.6873839213931,0.02390944066786577,0
91,LeveragingBag,elecNormNew,1,1,620,238.6690368652344,28641.0,120.00299835205078,18133.0,89.689605809853,128,3.4879310344827577,809.1999999999998,617.186755111214,45312.0,418.56218218310113,0.014614091064666077,0
92,LeveragingBag,elecNormNew,1,1,620,238.6690368652344,28641.0,120.00299835205078,18133.0,89.689605809853,128,3.4879310344827577,809.1999999999998,617.254015175251,45312.0,418.56218218310113,0.014614091064666077,0
167,LeveragingBag,elecNormNew,1,1,344,241.86264038085935,29024.0,120.0019989013672,11911.0,90.02894156560089,128,3.4280172413793095,795.2999999999998,339.2043703833246,40732.0,411.36892123386775,0.014173405500064353,0
168,LeveragingBag,elecNormNew,1,1,344,241.86264038085935,29024.0,120.0019989013672,11911.0,90.02894156560089,128,3.4280172413793095,795.2999999999998,339.2269702597587,40732.0,411.36892123386775,0.014173405500064353,0
115,LeveragingBag,elecNormNew,1,1,68,64.89891815185547,7788.0,120.0019989013672,162.0,90.80636877247046,128,3.2293103448275864,749.2,64.89562620119308,7800.0,387.52369645217374,0.049759077613273466,0
116,LeveragingBag,elecNormNew,1,1,68,64.89891815185547,7788.0,120.0019989013672,162.0,90.80636877247046,128,3.2293103448275864,749.2,64.89724602712373,7800.0,387.52369645217374,0.049759077613273466,0
142,LBagExecutorRUNPER,elecNormNew,4,1,620,353.7857666015625,42455.0,120.0019989013672,14956.0,89.82687551525144,128,3.679310344827587,853.6000000000001,617.169942385486,45312.0,441.5245959577891,0.01039982560258601,0
143,LBagExecutorRUNPER,elecNormNew,4,1,620,353.7857666015625,42455.0,120.0019989013672,14956.0,89.82687551525144,128,3.679310344827587,853.6000000000001,617.2035687529795,45312.0,441.5245959577891,0.01039982560258601,0
209,LBagExecutorRUNPER,elecNormNew,4,1,344,339.1888427734375,40703.0,120.0009994506836,2550.0,89.77470948087365,128,3.671551724137931,851.8,339.19589620598913,40732.0,440.58987643143223,0.010824506214073465,0
210,LBagExecutorRUNPER,elecNormNew,4,1,344,339.1888427734375,40703.0,120.0009994506836,2550.0,89.77470948087365,128,3.671551724137931,851.8,339.22979545605966,40732.0,440.58987643143223,0.010824506214073465,0
46,LBagExecutorRUNPER,elecNormNew,4,1,68,64.89675903320312,7788.0,120.00599670410156,106.0,91.2300975860298,128,3.2759656652360523,763.3000000000002,64.89616613418531,7800.0,393.1355248250676,0.05047965136428706,0
47,LBagExecutorRUNPER,elecNormNew,4,1,68,64.89675903320312,7788.0,120.00599670410156,106.0,91.2300975860298,128,3.2759656652360523,763.3000000000002,64.89832595600227,7800.0,393.1355248250676,0.05047965136428706,0
237,AdaptiveRandomForestSequential,elecNormNew,1,1,395,140.62982177734375,16876.0,120.00299835205078,22694.0,89.89689499881489,125,3.5166666666666666,801.8,393.75032586593437,45312.0,422.0105442047119,0.025006550379515994,0
131,AdaptiveRandomForestSequential,elecNormNew,1,1,219,140.48216247558594,16858.0,120.0009994506836,15875.0,89.67255902242259,266,,0.0,214.5737183225312,25757.0,,,0
52,AdaptiveRandomForestSequential,elecNormNew,1,1,43,39.94933319091797,4794.0,120.0019989013672,137.0,89.02795160617438,485,,0.0,39.94640523963682,4800.0,,,0
53,AdaptiveRandomForestSequential,elecNormNew,1,1,43,39.94933319091797,4794.0,120.0019989013672,137.0,89.02795160617438,485,,0.0,39.942083978231565,4800.0,,,0
54,AdaptiveRandomForestSequential,elecNormNew,1,1,43,39.94933319091797,4794.0,120.0019989013672,137.0,89.02795160617438,485,,0.0,39.94274872682489,4800.0,,,0
144,AdaptiveRandomForestExecutorRUNPER,elecNormNew,4,1,395,240.24264526367188,28832.0,120.01200103759766,13707.0,88.91856270810212,17152,3.483298097251586,107094.00000000001,393.73663996107126,45312.0,418.03757486161925,0.014499083478829746,0
240,AdaptiveRandomForestExecutorRUNPER,elecNormNew,4,1,219,214.73651123046875,25757.0,119.9469985961914,2665.0,89.05151997515239,126,3.776315789473684,861.0,214.5737183225312,25757.0,452.9577446987754,0.017585811418207687,0
269,AdaptiveRandomForestExecutorRUNPER,elecNormNew,4,1,43,39.97466659545898,4797.0,120.0009994506836,75.0,88.82634980195957,4,,0.0,39.917153078516286,848.0,,,0
270,AdaptiveRandomForestExecutorRUNPER,elecNormNew,4,1,43,39.97466659545898,4797.0,120.0009994506836,75.0,88.82634980195957,4,,0.0,39.93391718330876,2248.0,,,0
271,AdaptiveRandomForestExecutorRUNPER,elecNormNew,4,1,43,39.97466659545898,4797.0,120.0009994506836,75.0,88.82634980195957,4,,0.0,39.943413497545144,4800.0,,,0
36,StreamingRandomPatchesExecutorRUNPER,covtypeNorm,4,1,108,55.4463005065918,6654.0,120.00800323486328,15779.0,81.9356777877968,126,3.703555555555556,833.3000000000001,104.82237944051398,12579.0,444.456307091607,0.06679535724250181,0
37,StreamingRandomPatchesExecutorRUNPER,covtypeNorm,4,1,108,55.4463005065918,6654.0,120.00800323486328,15779.0,81.9356777877968,126,3.703555555555556,833.3000000000001,104.82877965988885,12600.0,444.456307091607,0.06679535724250181,0
282,StreamingRandomPatchesExecutorRUNPER,covtypeNorm,4,1,60,56.430850982666016,6773.0,120.02300262451172,4925.0,82.07588956149417,125,3.710964912280702,846.1,59.90764238465699,7200.0,445.40115140613756,0.0657612802902905,0
283,StreamingRandomPatchesExecutorRUNPER,covtypeNorm,4,1,60,56.430850982666016,6773.0,120.02300262451172,4925.0,82.07588956149417,125,3.710964912280702,846.1,59.909636298582974,7200.0,445.40115140613756,0.0657612802902905,0
0,StreamingRandomPatchesExecutorRUNPER,covtypeNorm,4,1,12,10.00300121307373,1200.0,119.96399688720705,170.0,74.75,126,3.2637554585152837,747.4,9.989012086704625,1200.0,391.5331496659325,0.3262776247216104,0
1,StreamingRandomPatchesExecutorRUNPER,covtypeNorm,4,1,12,10.00300121307373,1200.0,119.96399688720705,170.0,74.75,126,3.2637554585152837,747.4,9.988762642027718,1200.0,391.5331496659325,0.3262776247216104,0
105,StreamingRandomPatches,covtypeNorm,1,1,108,43.83837890625,5261.0,120.00900268554688,21370.0,81.60045618703668,125,3.5113122171945697,775.9999999999999,104.82063247364694,12579.0,421.38907730309666,0.08009676436097636,0
106,StreamingRandomPatches,covtypeNorm,1,1,108,43.83837890625,5261.0,120.00900268554688,21370.0,81.60045618703668,125,3.5113122171945697,775.9999999999999,104.82703539160386,12600.0,421.38907730309666,0.08009676436097636,0
