,algorithm,dataset,cores,batch_size,inc_rate,out_rate,instances,time,delay,acc,duration,avg_measure,sum_measure,prod_rate,tt_inst_prod,joules,JPI,freq_minimum,freq_maximum,PERC
66,StreamingRandomPatchesExecutorRUNPER,elecNormNew,4,1,97,94.84209442138672,11382.0,120.01000213623048,856.0,91.50412932700756,125,3.602643171806167,817.8,94.84350821145111,11400.0,432.3532147445343,0.03798569800953561,600,600,0
56,StreamingRandomPatchesExecutorRUNPER,elecNormNew,4,1,54,49.93708801269531,5993.0,120.01100158691406,234.0,91.13966294009678,125,3.391891891891891,752.9999999999999,49.9271895152902,6000.0,407.0643432204787,0.06792330105464353,600,600,0
87,StreamingRandomPatchesExecutorRUNPER,elecNormNew,4,1,10,10.00300121307373,1200.0,119.96399688720705,36.0,90.58333333333334,125,3.217621145374449,730.4,9.989095237698846,1200.0,385.998693067912,0.3216655775565933,600,600,0
36,StreamingRandomPatches,elecNormNew,1,1,97,92.85755920410156,11143.0,120.0009994506836,3300.0,91.67190164228664,125,3.507048458149779,796.0999999999999,94.84350821145111,11400.0,420.8493200999524,0.03776804452121982,600,600,0
46,StreamingRandomPatches,elecNormNew,1,1,54,49.932918548583984,5992.0,120.0009994506836,372.0,91.53871829105476,125,3.3429203539823007,755.5,49.92552775443297,6000.0,401.15378356190905,0.06694822823129323,600,600,0
97,StreamingRandomPatches,elecNormNew,1,1,10,10.00341796875,1200.0,119.95899963378906,62.0,90.75,125,3.198237885462555,726.0,9.98892893709472,1200.0,383.6574173309729,0.31971451444247745,600,600,0
126,OzaBagExecutorRUNPER,elecNormNew,4,1,577,568.6202392578125,44950.0,79.0510025024414,1126.0,82.39377085650723,87,3.59622641509434,571.8000000000001,571.9045815978795,45312.0,284.28530333896856,0.006324478383514317,600,600,0
114,OzaBagExecutorRUNPER,elecNormNew,4,1,320,319.535888671875,38336.0,119.9739990234375,298.0,82.11602671118531,128,3.410344827586207,791.2,319.23787951967756,38336.0,409.1527070144127,0.010672806422537895,600,600,0
24,OzaBagExecutorRUNPER,elecNormNew,4,1,64,59.91616821289063,7190.0,120.0009994506836,36.0,87.67732962447845,128,3.215517241379311,746.0000000000001,59.90664547746429,7200.0,385.8652827164223,0.05366693779087932,600,600,0
123,OzaBagAdwinExecutorRUNPER,elecNormNew,4,1,444,438.41644287109375,45238.0,103.18499755859376,1263.0,86.13333922808259,111,3.5405940594059406,715.2,438.68719140284634,45312.0,365.3361893757736,0.008075869609084699,600,600,0
106,OzaBagAdwinExecutorRUNPER,elecNormNew,4,1,247,244.73851013183597,29351.0,119.9280014038086,304.0,86.9374126946271,128,3.3724137931034486,782.4000000000001,244.49183250172845,29351.0,404.44684611353387,0.0137796615486196,600,600,0
70,OzaBagAdwinExecutorRUNPER,elecNormNew,4,1,49,45.00337600708008,5400.0,119.99099731445312,24.0,90.53703703703704,128,3.216810344827587,746.3000000000002,44.93447056376118,5400.0,385.98828144731203,0.07147931137913185,600,600,0
25,OzaBagAdwin,elecNormNew,1,1,444,439.2144775390625,45312.0,103.16600036621094,520.0,84.76783192090396,111,3.3626943005181347,649.0,438.7509077705156,45312.0,346.91572143870934,0.007656155575536488,600,600,0
30,OzaBagAdwin,elecNormNew,1,1,247,244.72219848632807,29351.0,119.93599700927734,197.0,86.0106981022793,128,3.282832618025752,764.9000000000002,244.48164992420078,29351.0,393.7298030574947,0.013414527718220663,600,600,0
139,OzaBagAdwin,elecNormNew,1,1,49,44.9879150390625,5399.0,120.01000213623048,22.0,88.99796258566401,128,3.163793103448276,734.0,44.93372275893058,5400.0,379.68681710341883,0.07032539675929224,600,600,0
111,OzaBagASHTExecutorRUNPER,elecNormNew,4,1,556,547.0714111328125,44786.0,81.86499786376953,1491.0,82.9701245925066,90,3.566666666666667,567.1,552.3496068751143,45312.0,291.98515904744465,0.006519563235105717,600,600,0
108,OzaBagASHTExecutorRUNPER,elecNormNew,4,1,309,304.5475158691406,36539.0,119.97799682617188,276.0,83.46698048660336,128,3.3900862068965516,786.5,304.2888074616922,36539.0,406.7357521714835,0.011131551278674389,600,600,0
61,OzaBagASHTExecutorRUNPER,elecNormNew,4,1,61,59.9744987487793,7197.0,120.0009994506836,30.0,88.49520633597332,128,3.2154506437768244,749.2,59.90764238465699,7200.0,385.85729093756294,0.05361362942025329,600,600,0
75,OzaBagASHT,elecNormNew,1,1,556,552.5072021484375,45231.0,81.86499786376953,597.0,83.38971059671464,90,3.3939024390243904,556.6,552.4236808738906,45312.0,277.84181592057394,0.006142729895880567,600,600,0
79,OzaBagASHT,elecNormNew,1,1,309,304.6744689941406,36539.0,119.9280014038086,182.0,83.44508607241578,128,3.2568965517241386,755.6000000000001,304.31668457303715,36539.0,390.59309422723186,0.010689758729774538,600,600,0
132,OzaBagASHT,elecNormNew,1,1,61,59.93283462524414,7192.0,120.0009994506836,22.0,88.01446051167964,127,3.172173913043479,729.6000000000001,59.90714392691328,7200.0,380.6640399966033,0.05292881534991704,600,600,0
85,OzaBag,elecNormNew,1,1,577,572.9359130859375,45286.0,79.04199981689453,495.0,82.71651282957205,87,3.40253164556962,537.6,571.9117999722324,45312.0,268.9429057060918,0.005938764865655871,600,600,0
73,OzaBag,elecNormNew,1,1,320,319.6451416015625,38336.0,119.93299865722656,169.0,82.65077212020033,128,3.260775862068966,756.5000000000001,319.24053795228383,38336.0,391.0746270870341,0.010201237142295339,600,600,0
