dataset,algorithm,ensemble_size,cores,batch_size,instances,time,acc,prec,recall,change
airlines,StreamingRandomPatchesExecutorMAXChunk,25,4,50,40,4600.0,120.5250015258789,69.20879120879121,61.97324671624688,55.524048184296134,0
GMSC,StreamingRandomPatchesExecutorMAXChunk,25,4,500,328,38935.0,119.86299896240234,93.45908676987122,74.87296504451125,51.881294001054314,0
GMSC,OzaBagASHTExecutorMAXChunk,25,4,2000,1263,8000.0,161.5330047607422,93.48333333333333,75.1,51.5,
covtypeNorm,OzaBagAdwinExecutorMAXChunk,25,4,500,21,2400.0,119.95099639892578,51.21052631578947,?,?,0
GMSC,OzaBagAdwinExecutorMAXChunk,25,4,2000,991,118000.0,120.0770034790039,93.47931034482758,77.78691831784879,52.65334569764772,0
covtypeNorm,OzaBagAdwinExecutorMAXChunk,25,4,50,19,1800.0,120.1780014038086,63.542857142857144,?,?,0
elecNormNew,AdaptiveRandomForestExecutorMAXChunk,25,4,50,365,41800.0,120.00700378417969,80.16047904191616,79.95013560620437,79.23166237384018,0
airlines,LBagExecutorMAXChunk,25,4,2000,53,4000.0,128.7239990234375,63.800000000000004,55.92156862745098,53.336515175620015,2.0
airlines,OzaBagExecutorMAXChunk,25,4,50,20,2400.0,120.01399993896484,72.68085106382979,58.18855822547222,54.023942773833596,0
GMSC,OzaBagASHTExecutorMAXChunk,25,4,2000,2275,145864.0,65.99199676513672,93.3520547183451,75.9,51.9,
airlines,StreamingRandomPatchesExecutorMAXChunk,25,4,500,74,4500.0,121.21900177001953,67.925,60.228582252257745,54.42323372658795,0
covtypeNorm,StreamingRandomPatchesExecutorMAXChunk,25,4,500,72,8400.0,119.98899841308594,57.81012658227848,50.45087923565583,?,0
elecNormNew,OzaBagASHTExecutorMAXChunk,25,4,50,690,45243.0,65.82099914550781,79.66056690195384,79.72325578527516,78.35917982088478,0
GMSC,OzaBagASHTExecutorMAXChunk,25,4,50,1087,129766.0,119.95099639892578,93.45878688827901,75.2,51.3,
covtypeNorm,AdaptiveRandomForestExecutorMAXChunk,25,4,50,158,18569.0,119.96199798583984,71.18094929531831,60.02764702819352,?,0
airlines,OzaBagAdwinExecutorMAXChunk,25,4,2000,102,12000.0,133.08799743652344,60.480000000000004,61.19136478956162,58.95817579959414,0
GMSC,OzaBagAdwinExecutorMAXChunk,25,4,2000,1784,16000.0,128.91600036621094,93.57857142857144,70.48940600848196,52.48458616403585,0
GMSC,StreamingRandomPatchesExecutorMAXChunk,25,4,500,182,21500.0,120.48200225830078,93.5952380952381,74.08675433018365,51.498624308540364,0
elecNormNew,LBagExecutorMAXChunk,25,4,2000,66,7800.0,119.98899841308594,74.58620689655172,74.79893544943282,72.2071625131425,4.0
elecNormNew,LBagExecutorMAXChunk,25,4,2000,598,40413.0,77.22699737548828,75.81027256397573,75.53337319805111,74.31027960832346,21.0
GMSC,OzaBagExecutorMAXChunk,25,4,500,247,29351.0,119.83899688720703,93.54615091331323,74.02542262509442,52.72993174401112,0
covtypeNorm,LBagExecutorMAXChunk,25,4,50,77,9000.0,120.33300018310547,70.71508379888269,59.529557390025346,?,164.0
covtypeNorm,StreamingRandomPatchesExecutorMAXChunk,25,4,2000,72,8000.0,134.41700744628906,43.666666666666664,43.96560586184982,?,0
GMSC,StreamingRandomPatchesExecutorMAXChunk,25,4,2000,36,4200.0,119.96199798583984,93.5,46.877848678213304,49.85458070770722,0
covtypeNorm,OzaBagASHTExecutorMAXChunk,25,4,2000,205,24000.0,123.31400299072266,58.31818181818181,?,?,0
elecNormNew,LBagExecutorMAXChunk,25,4,500,67,7788.0,120.0009994506836,78.96542261251372,78.55675939577746,77.42261865233507,13.0
GMSC,OzaBagASHTExecutorMAXChunk,25,4,50,217,25757.0,119.84200286865234,93.49982495040261,75.9,51.4,
covtypeNorm,AdaptiveRandomForestExecutorMAXChunk,25,4,2000,114,13178.0,119.81700134277344,37.985328323492574,35.37369939313405,?,0
covtypeNorm,LBagExecutorMAXChunk,25,4,50,15,1800.0,120.26799774169922,63.82857142857142,?,?,20.0
covtypeNorm,OzaBagASHTExecutorMAXChunk,25,4,50,103,11980.0,119.822998046875,62.372170997485334,50.47651389866258,?,0
elecNormNew,StreamingRandomPatchesExecutorMAXChunk,25,4,50,98,11381.0,119.81500244140625,83.17006442502868,83.00153315895751,82.65182320021185,0
airlines,OzaBagASHTExecutorMAXChunk,25,4,500,23,2400.0,119.9489974975586,71.10526315789474,56.92955088415932,53.634535309019185,0
covtypeNorm,StreamingRandomPatchesExecutorMAXChunk,25,4,500,8,600.0,119.93499755859375,80.0,?,?,0
covtypeNorm,OzaBagAdwinExecutorMAXChunk,25,4,2000,107,12000.0,126.00399780273438,51.2,?,?,0
elecNormNew,OzaBagExecutorMAXChunk,25,4,2000,758,42694.0,60.19499969482422,75.58362412149211,75.28331219940637,74.35504853023099,0
airlines,AdaptiveRandomForestExecutorMAXChunk,25,4,500,40,4500.0,124.79100036621094,68.5,61.84886615898534,57.19544820171433,0
GMSC,AdaptiveRandomForestExecutorMAXChunk,25,4,50,333,39534.0,119.92500305175781,93.48090365717759,73.89207464951242,53.324265933435846,0
elecNormNew,LBagExecutorMAXChunk,25,4,2000,332,37623.0,119.88099670410156,74.32557617269741,73.98135452178218,72.55329059607908,19.0
elecNormNew,OzaBagAdwinExecutorMAXChunk,25,4,50,117,13777.0,119.8239974975586,84.2208785605012,84.02263211912755,84.09213326029572,0
airlines,StreamingRandomPatchesExecutorMAXChunk,25,4,500,8
covtypeNorm,OzaBagExecutorMAXChunk,25,4,500,200,23960.0,119.85600280761719,64.23273657289002,49.238748501679304,?,0
airlines,OzaBagASHTExecutorMAXChunk,25,4,50,209,21050.0,120.3479995727539,64.56666666666668,63.24814931587972,61.62570915840775,0
airlines,OzaBagExecutorMAXChunk,25,4,2000,21
covtypeNorm,LBagExecutorMAXChunk,25,4,500,172,20000.0,121.33000183105469,64.41538461538462,51.905076151749356,?,40.0
elecNormNew,OzaBagAdwinExecutorMAXChunk,25,4,50,589,45312.0,77.65799713134766,79.88157836595819,79.85657469034852,78.67220702667306,0
airlines,OzaBagExecutorMAXChunk,25,4,2000,105,12000.0,129.093994140625,59.8,60.477129989654365,58.21212253850958,0
GMSC,OzaBagExecutorMAXChunk,25,4,500,2225,148828.0,67.58100128173828,93.43279758373335,77.66294663541788,52.38178695090826,0
airlines,OzaBagAdwinExecutorMAXChunk,25,4,50,121,14350.0,120.04299926757812,64.53846153846153,64.4051531992636,62.83757492518562,0
GMSC,OzaBagAdwinExecutorMAXChunk,25,4,50,204,23960.0,119.87799835205078,93.67210372229194,77.13873514934299,52.87333493951844,0
covtypeNorm,OzaBagExecutorMAXChunk,25,4,50,100,11980.0,119.81500244140625,62.238055322715844,50.377968775784765,?,0
elecNormNew,StreamingRandomPatchesExecutorMAXChunk,25,4,500,103,11980.0,119.81700134277344,81.75087108013938,81.67147351758679,81.10026505012722,0
airlines,AdaptiveRandomForestExecutorMAXChunk,25,4,50,39,4150.0,120.8290023803711,69.92682926829268,61.6211027831356,57.23139511672852,0
GMSC,LBagExecutorMAXChunk,25,4,500,818,93865.0,119.98799896240234,93.41187811278317,74.92183667469345,52.406512058394384,108.0
GMSC,StreamingRandomPatchesExecutorMAXChunk,25,4,50,34,3600.0,120.072998046875,94.36619718309859,77.2316384180791,51.425411358340135,0
GMSC,LBagExecutorMAXChunk,25,4,2000,749,86000.0,121.22899627685547,93.42968368671055,74.00412954659514,53.517752189831235,25.0
GMSC,OzaBagASHTExecutorMAXChunk,25,4,500,260,31148.0,119.8489990234375,93.53628295484208,75.5,51.0,
covtypeNorm,OzaBagAdwinExecutorMAXChunk,25,4,500,106,12500.0,121.72899627685547,56.89999999999999,45.91713871307647,?,0
airlines,OzaBagAdwinExecutorMAXChunk,25,4,500,109,12500.0,122.28099822998047,62.608333333333334,62.463973293441164,60.19214262828062,0
airlines,OzaBagExecutorMAXChunk,25,4,500,103,12000.0,123.10800170898438,62.57391304347826,62.4329418962819,59.746867519892135,0
airlines,StreamingRandomPatchesExecutorMAXChunk,25,4,2000,77,4000.0,124.28800201416016,64.95,57.3963651324138,53.0587668593449,0
airlines,OzaBagAdwinExecutorMAXChunk,25,4,500,21,2400.0,119.9530029296875,71.57894736842105,57.82484812644482,53.95573445248814,0
airlines,OzaBagASHTExecutorMAXChunk,25,4,500,118,13500.0,121.552001953125,62.69230769230769,62.81645352076909,60.61510343029251,0
elecNormNew,StreamingRandomPatchesExecutorMAXChunk,25,4,2000,19,1800.0,119.9530029296875,40.33333333333333,?,50.0,0
GMSC,OzaBagASHTExecutorMAXChunk,25,4,50,1956,149592.0,76.9020004272461,93.32562089580185,75.9,51.3,
airlines,OzaBagAdwinExecutorMAXChunk,25,4,500,196,21000.0,121.4739990234375,63.951219512195124,62.74650291906947,61.16048329283045,0
GMSC,AdaptiveRandomForestExecutorMAXChunk,25,4,500,337,40000.0,120.22100067138672,93.45569620253164,73.68083716962146,52.95292939697027,0
airlines,LBagExecutorMAXChunk,25,4,2000,5,3000.0,119.97000122070312,67.5,58.777907580477674,55.014482678716256,1.0
covtypeNorm,AdaptiveRandomForestExecutorMAXChunk,25,4,2000,206,20000.0,120.94100189208984,51.98888888888889,31.208449341786128,25.093304510907107,0
elecNormNew,LBagExecutorMAXChunk,25,4,500,603,41768.0,75.67900085449219,77.64127168750605,77.39003504902142,76.57048817366886,84.0
covtypeNorm,OzaBagAdwinExecutorMAXChunk,25,4,500,190,22500.0,120.11900329589844,65.75,51.05991329723819,?,0
GMSC,StreamingRandomPatchesExecutorMAXChunk,25,4,2000,181,21564.0,119.81700134277344,93.51870783070947,71.36743414461391,50.98899380083054,0
covtypeNorm,OzaBagASHTExecutorMAXChunk,25,4,500,234,27409.0,119.86399841308594,64.23873053625181,48.019219824073296,49.80713263106803,0
airlines,AdaptiveRandomForestExecutorMAXChunk,25,4,50,7,600.0,120.6989974975586,76.36363636363637,59.9286092014807,55.9669474018751,0
elecNormNew,OzaBagASHTExecutorMAXChunk,25,4,50,138,16173.0,119.86100006103516,82.14352167710723,82.02050489363756,81.69544560427582,0
airlines,OzaBagExecutorMAXChunk,25,4,50,181,20200.0,120.0790023803711,63.48387096774194,62.27358570713495,60.79737156919685,0
