,index,algorithm,dataset,cores,batch_size,inc_rate,out_rate,instances,time,delay,acc,duration,avg_measure,sum_measure,prod_rate,tt_inst_prod,joules,JPI,PERC
44,44,StreamingRandomPatchesExecutorMAXChunk,elecNormNew,4,2000,353,328.0274963378906,40000.0,121.94100189208984,5686.0,75.60263157894737,126,5.520614035087719,1258.6999999999998,349.18387741505666,41930.0,673.1892064981292,0.016829730162453233,0
150,150,StreamingRandomPatchesExecutorMAXChunk,elecNormNew,4,2000,196,194.93165588378903,23361.0,119.84200286865234,8435.0,77.58063761059876,128,4.799137931034483,1113.4,194.62958642983304,23361.0,575.1383016980928,0.024619592555887714,0
195,195,StreamingRandomPatchesExecutorMAXChunk,elecNormNew,4,2000,39,35.00642013549805,4200.0,119.97799682617188,34271.0,77.77272727272727,125,3.8008810572687217,862.7999999999998,34.951068504094266,4200.0,456.0220954256435,0.10857668938705797,0
91,91,StreamingRandomPatchesExecutorMAXChunk,elecNormNew,4,500,377,369.7948303222656,44500.0,120.33699798583984,1314.0,78.375,124,5.958407079646017,1346.6,374.1037747632966,44925.0,717.0168207421766,0.016112737544768014,0
184,184,StreamingRandomPatchesExecutorMAXChunk,elecNormNew,4,500,209,203.1071319580078,24500.0,120.6259994506836,2072.0,79.24166666666666,125,4.756194690265486,1074.8999999999999,204.5986587245387,24559.0,573.7207380953088,0.02341717298348199,0
96,96,StreamingRandomPatchesExecutorMAXChunk,elecNormNew,4,500,41,40.005332946777344,4800.0,119.98400115966795,7471.0,80.16279069767441,125,3.817621145374449,866.5999999999999,39.942416349762425,4800.0,458.0534599337808,0.095427804152871,0
117,117,StreamingRandomPatchesExecutorMAXChunk,elecNormNew,4,50,338,334.51416015625,40133.0,119.9739990234375,137.0,80.79734550807075,124,5.547555555555557,1248.2000000000003,334.20772126178343,40133.0,665.5624248046877,0.016583919089145784,0
218,218,StreamingRandomPatchesExecutorMAXChunk,elecNormNew,4,50,188,184.81333923339844,22163.0,119.9209976196289,212.0,82.88337177226066,124,4.672000000000001,1051.2,,,560.2709008789063,0.025279560568465746,0
6,6,StreamingRandomPatchesExecutorMAXChunk,elecNormNew,4,50,37,34.96940231323242,4200.0,120.1050033569336,860.0,81.97590361445783,124,3.8737777777777778,871.6,34.95194108101361,4200.0,465.2600930040148,0.11077621262000352,0
123,123,OzaBagExecutorMAXChunk,elecNormNew,4,2000,2515,2121.623046875,38639.0,18.21199989318848,895.0,74.76732443571058,24,5.388636363636363,237.09999999999997,2480.267119163611,45312.0,98.13784487897699,0.002539865029606796,0
120,120,OzaBagExecutorMAXChunk,elecNormNew,4,2000,1397,1342.4775390625,43652.0,32.51599884033203,1243.0,75.35532507442619,38,4.685714285714284,327.9999999999999,1385.7728301425163,45312.0,152.3606802804129,0.003490348214982427,0
16,16,OzaBagExecutorMAXChunk,elecNormNew,4,2000,279,274.8348083496094,32945.0,119.87200164794922,4205.0,76.40006463079658,126,3.7253275109170296,853.0999999999998,274.41360698340776,32945.0,446.56246552779675,0.01355478723714666,0
5,5,OzaBagExecutorMAXChunk,elecNormNew,4,500,2632,2355.561767578125,41293.0,17.530000686645508,204.0,77.00585884833183,23,5.202272727272728,228.90000000000003,2594.297492270697,45312.0,91.19584448120813,0.002208506150708549,0
196,196,OzaBagExecutorMAXChunk,elecNormNew,4,500,1462,1457.6805419921875,45312.0,31.084999084472656,283.0,77.18468267428368,36,4.783333333333332,315.69999999999993,1449.0102651018515,45312.0,148.68991228739418,0.0032814687563425624,0
132,132,OzaBagExecutorMAXChunk,elecNormNew,4,500,292,289.7919616699219,34742.0,119.88600158691406,1028.0,76.88511185094329,126,3.771493212669683,833.5,289.3478804030982,34742.0,452.1492412791533,0.01301448509812772,0
23,23,OzaBagExecutorMAXChunk,elecNormNew,4,50,2459,2299.935302734375,42581.0,18.513999938964844,21.0,78.69083727163716,23,5.079069767441861,218.4,2426.995179432244,45312.0,94.03389736441679,0.002208353429097879,0
119,119,OzaBagExecutorMAXChunk,elecNormNew,4,50,1366,1365.148193359375,45312.0,33.19200134277344,29.0,79.17900225354602,39,4.604166666666666,331.49999999999994,1360.1488863540853,45312.0,152.8215061823527,0.003372649765676922,0
100,100,OzaBagExecutorMAXChunk,elecNormNew,4,50,273,269.7590637207031,32346.0,119.90699768066406,105.0,79.2574931880109,125,3.6748898678414093,834.1999999999999,269.4085605057345,32346.0,440.64501085995573,0.013622859421874597,0
140,140,OzaBagAdwinExecutorMAXChunk,elecNormNew,4,2000,2196,1929.225830078125,40425.0,20.95400047302246,981.0,75.58880936890046,27,5.205882352941177,265.5,2170.8427154697456,45312.0,109.0840612860287,0.0026984307059005246,0
199,199,OzaBagAdwinExecutorMAXChunk,elecNormNew,4,2000,1220,1155.5477294921875,42939.0,37.15900039672852,1411.0,76.65062654192823,43,4.662820512820513,363.70000000000005,1213.432596004499,45312.0,173.26574928577134,0.004035160327109885,0
