,algorithm,dataset,cores,batch_size,inc_rate,out_rate,instances,time,delay,acc,ensemble_size,duration,avg_measure,sum_measure,prod_rate,tt_inst_prod,avg_times_duration,joules,JPIold,JPI,PERC,tput
45,StreamingRandomPatchesExecutorMAXChunk,elecNormNew,4,15,325,324.5015869140625,38935.0,119.98400115966795,41.0,83.50462487153135,25,125,5.192951541850219,1178.7999999999997,324.2529731170259,38935.0,649.1189427312773,623.0711038194562,0.00013337489512906688,0.016671861891133358,90,324.50159707699277
32,StreamingRandomPatchesExecutorMAXChunk,elecNormNew,4,15,180,179.84237670898438,21564.0,119.90499877929688,60.0,86.05967794329203,25,124,4.313777777777778,970.6,179.65508622844288,21564.0,534.9084444444445,517.2435191786025,0.0002000453430614811,0.024805622539623654,50,179.8423770446116
3,StreamingRandomPatchesExecutorMAXChunk,elecNormNew,4,15,36,34.9970817565918,4200.0,120.01000213623048,246.0,86.6905615292712,25,124,3.4031111111111114,765.7,34.950486810352004,4200.0,421.9857777777778,408.4073717142742,0.0008102645502645504,0.10047280423280423,10,34.997082953405254
118,OzaBagExecutorMAXChunk,elecNormNew,4,15,2101,1944.4791259765625,43568.0,22.4060001373291,7.0,80.42155534635961,25,28,4.581132075471698,242.8,2091.0013844023993,45312.0,128.27169811320755,102.64484591214163,0.00010514901017883994,0.002944172285007518,90,1944.4791454506126
71,OzaBagExecutorMAXChunk,elecNormNew,4,15,1167,1162.2037353515625,45312.0,38.98799896240234,10.0,80.28787778440073,25,45,4.085542168674699,339.1,1157.1581796823127,45312.0,183.84939759036146,159.28711383314018,9.016468416037031e-05,0.004057410787216663,50,1162.203785931567
42,OzaBagExecutorMAXChunk,elecNormNew,4,15,233,229.7928466796875,27554.0,119.90799713134766,36.0,82.98776280910708,25,125,3.2995575221238944,745.7000000000002,229.51912104022458,27554.0,412.4446902654868,395.64333389754853,0.00011974876686230291,0.014968595857787865,10,229.79284667574964
59,OzaBagAdwinExecutorMAXChunk,elecNormNew,4,15,1360,1331.79541015625,44454.0,33.37900161743164,11.0,81.49148270663156,25,39,4.563888888888887,328.5999999999999,1353.1221070863319,45312.0,177.99166666666662,152.33805460400046,0.00010266542693320932,0.004003951650395164,90,1331.7953757126343
125,OzaBagAdwinExecutorMAXChunk,elecNormNew,4,15,755,752.6160278320312,45312.0,60.20600128173828,15.0,81.69856723403316,25,66,4.109090909090909,497.2,750.2607831774153,45312.0,271.20000000000005,247.3919325395064,9.06843862352337e-05,0.005985169491525425,50,752.6160023144414
112,OzaBagAdwinExecutorMAXChunk,elecNormNew,4,15,151,149.9186553955078,17970.0,119.86499786376952,18.0,86.07630186577555,25,125,3.400000000000001,771.8000000000002,149.72878842164027,17970.0,425.0000000000001,407.54099273681646,0.0001892042292710073,0.02365052865887591,10,149.9186611626481
54,OzaBagASHTExecutorMAXChunk,elecNormNew,4,15,2152,1971.8258056640625,43672.0,22.14800071716309,7.0,80.20706874040819,25,28,4.461538461538462,232.0,2130.42456156848,45312.0,124.92307692307693,98.81415704580455,0.00010216015894711626,0.0028604844505192555,90,1971.8258346523069
4,OzaBagASHTExecutorMAXChunk,elecNormNew,4,15,1195,1186.33154296875,45115.0,38.02899932861328,10.0,80.8159645232816,25,43,4.06125,324.90000000000003,1187.4836207348394,45312.0,174.63375000000002,154.44527352333068,9.001994901917323e-05,0.003870857807824449,50,1186.3315048117809
78,OzaBagASHTExecutorMAXChunk,elecNormNew,4,15,239,234.82749938964844,28153.0,119.88800048828124,36.0,82.98741914848247,25,125,3.2820276497695855,712.2,234.52038818776293,28153.0,410.2534562211982,393.4757324781286,0.00011657825630552998,0.014572282038191248,10,234.82750471555232
101,LBagExecutorMAXChunk,elecNormNew,4,15,912,899.9920043945312,44915.0,49.90599822998047,15.0,84.8641425389755,25,55,5.194059405940595,524.6000000000001,906.5845021108021,45312.0,285.67326732673274,259.21471951928476,0.00011564197720005778,0.006360308746003178,90,899.9920168517502
28,LBagExecutorMAXChunk,elecNormNew,4,15,506,503.85296630859375,45312.0,89.93099975585938,22.0,84.5773450780405,25,96,4.230459770114942,736.0999999999999,503.16476780598305,45312.0,406.12413793103445,380.4494765533798,9.336290100006493e-05,0.008962838496006233,50,503.85295529918466
11,LBagExecutorMAXChunk,elecNormNew,4,15,101,99.9724578857422,11980.0,119.83300018310548,71.0,87.07898035938153,25,126,3.44561403508772,785.6000000000001,99.83000566647777,11980.0,434.1473684210527,412.89826729757755,0.00028761385935623704,0.03623934627888587,10,99.97246152307373
37,AdaptiveRandomForestExecutorMAXChunk,elecNormNew,4,15,636,605.525634765625,43286.0,71.48500061035156,22.0,83.14344480136813,25,76,5.2807407407407405,712.9,632.8314851540459,45312.0,401.33629629629627,377.4937550749602,0.00012199650558473272,0.009271734424439687,90,605.5256295784638
73,AdaptiveRandomForestExecutorMAXChunk,elecNormNew,4,15,353,349.576904296875,41930.0,119.94499969482422,29.0,82.78420613145651,25,124,4.320089285714286,967.7,349.16643072464734,41930.0,535.6910714285715,518.1731080566135,0.00010303098701918164,0.012775842390378524,50,349.57689029707285
62,AdaptiveRandomForestExecutorMAXChunk,elecNormNew,4,15,70,69.88817596435547,8387.0,120.00599670410156,121.0,83.08647873865264,25,123,3.5294642857142864,790.6000000000001,69.88643454386622,8400.0,434.1241071428572,423.5568794386728,0.0004208255974382123,0.05176154848490011,10,69.88817417749382
79,StreamingRandomPatchesExecutorMAXChunk,covtypeNorm,4,15,127,124.5813980102539,14955.0,120.04199981689452,103.0,78.62784471218205,25,123,4.8669642857142845,1090.1999999999998,124.78438757739131,14975.0,598.636607142857,584.2401258945463,0.0003254406075368963,0.040029194727038246,90,124.5813967012507
