dataset,algorithm,ensemble_size,cores,batch_size,inc_rate,instances,time,delay,out_rate,acc
covtypeNorm,StreamingRandomPatchesExecutorMAXChunk,25,4,500,21,1201.0,60.09000015258789,18362.0,19.98668670654297,56.06276747503567
airlines,StreamingRandomPatchesExecutorMAXChunk,25,4,2000,77
airlines,LBagExecutorMAXChunk,25,4,50,57,3200.0,61.178001403808594,922.0,52.3063850402832,69.65079365079364
elecNormNew,LBagExecutorMAXChunk,25,4,50,87,10198.0,120.0009994506836,373.0,84.98262786865234,82.81434765471029
elecNormNew,StreamingRandomPatchesExecutorMAXChunk,25,4,2000,19,901.0,60.09299850463867,46620.0,14.993427276611328,48.945615982241954
GMSC,LBagExecutorMAXChunk,25,4,50,83,4800.0,60.012001037597656,393.0,79.98400115966797,93.6842105263158
elecNormNew,StreamingRandomPatchesExecutorMAXChunk,25,4,50,55,6600.0,120.18099975585938,632.0,54.91716766357422,82.06106870229007
GMSC,OzaBagAdwinExecutorMAXChunk,25,4,50,64,3600.0,60.03900146484375,446.0,59.96102523803711,94.22535211267605
elecNormNew,OzaBagASHTExecutorMAXChunk,25,4,2000,233,13801.0,60.14899826049805,5854.0,229.44688415527344,80.43386153715787
GMSC,StreamingRandomPatchesExecutorMAXChunk,25,4,2000,181,10000.0,62.231998443603516,10400.0,160.6890411376953,93.30000000000001
covtypeNorm,OzaBagASHTExecutorMAXChunk,25,4,50,103,6000.0,60.1879997253418,397.0,99.6876449584961,64.2016806722689
elecNormNew,OzaBagASHTExecutorMAXChunk,25,4,50,230,27554.0,119.89399719238281,127.0,229.81968688964844,81.08638743455498
covtypeNorm,OzaBagAdwinExecutorMAXChunk,25,4,500,19,901.0,60.08300018310547,18905.0,14.995922088623047,54.3640897755611
elecNormNew,LBagExecutorMAXChunk,25,4,50,16,900.0,60.020999908447266,1927.0,14.994751930236816,72.58823529411764
covtypeNorm,OzaBagExecutorMAXChunk,25,4,50,21,1200.0,60.04600143432617,1490.0,19.984678268432617,56.869565217391305
covtypeNorm,OzaBagAdwinExecutorMAXChunk,25,4,500,21,1201.0,60.084999084472656,14107.0,19.98834991455078,48.21683309557774
airlines,LBagExecutorMAXChunk,25,4,50,32,1800.0,60.19900131225586,1293.0,29.900827407836914,72.74285714285715
covtypeNorm,OzaBagASHTExecutorMAXChunk,25,4,500,5,1500.0,61.51599884033203,12678.0,24.383899688720703,44.800000000000004
elecNormNew,OzaBagAdwinExecutorMAXChunk,25,4,500,411,24500.0,60.09000015258789,907.0,407.72174072265625,78.73333333333333
elecNormNew,LBagExecutorMAXChunk,25,4,50,158,18569.0,119.8550033569336,220.0,154.92886352539062,82.90944435444678
covtypeNorm,LBagExecutorMAXChunk,25,4,2000,90,5401.0,60.112998962402344,19109.0,89.84745788574219,47.427227286092325
covtypeNorm,StreamingRandomPatchesExecutorMAXChunk,25,4,500,72,4000.0,60.736000061035156,6974.0,65.85879516601562,53.65714285714286
elecNormNew,AdaptiveRandomForestExecutorMAXChunk,25,4,2000,49
covtypeNorm,OzaBagExecutorMAXChunk,25,4,500,22,1201.0,60.08599853515625,14016.0,19.988018035888672,49.35805991440799
GMSC,OzaBagASHTExecutorMAXChunk,25,4,50,1087,64884.0,60.03900146484375,37.0,1080.697509765625,93.32140543541969
GMSC,OzaBagExecutorMAXChunk,25,4,500,362,21601.0,60.167999267578125,892.0,359.0114440917969,93.62589450736932
elecNormNew,StreamingRandomPatchesExecutorMAXChunk,25,4,500,30,1801.0,60.104000091552734,11692.0,29.9647274017334,80.16910069177555
GMSC,StreamingRandomPatchesExecutorMAXChunk,25,4,2000,84,4801.0,60.125,17766.0,79.85031127929688,93.43091752945377
airlines,OzaBagAdwinExecutorMAXChunk,25,4,50,121,7200.0,60.1619987487793,376.0,119.67687225341797,65.80419580419581
elecNormNew,StreamingRandomPatchesExecutorMAXChunk,25,4,50,30,1800.0,60.06700134277344,1133.0,29.966537475585938,81.71428571428572
elecNormNew,AdaptiveRandomForestExecutorMAXChunk,25,4,50,91,5400.0,60.02899932861328,412.0,89.9565200805664,79.42056074766354
GMSC,OzaBagExecutorMAXChunk,25,4,50,1852,110150.0,60.00600051879883,26.0,1835.6497802734375,93.43051771117166
elecNormNew,StreamingRandomPatchesExecutorMAXChunk,25,4,500,103,6000.0,61.542999267578125,4290.0,97.49281311035156,80.61818181818182
covtypeNorm,OzaBagAdwinExecutorMAXChunk,25,4,50,19,900.0,60.016998291015625,1926.0,14.99575138092041,63.05882352941177
airlines,OzaBagAdwinExecutorMAXChunk,25,4,500,21,1201.0,60.0890007019043,16962.0,19.987018585205078,72.61055634807418
elecNormNew,StreamingRandomPatchesExecutorMAXChunk,25,4,50,98,5700.0,60.12300109863281,433.0,94.80564880371094,82.14159292035397
elecNormNew,LBagExecutorMAXChunk,25,4,500,67,3901.0,60.11899948120117,5168.0,64.88796997070312,78.59453102028814
elecNormNew,StreamingRandomPatchesExecutorMAXChunk,25,4,50,54,3000.0,60.00199890136719,677.0,49.99833297729492,81.35593220338984
covtypeNorm,OzaBagExecutorMAXChunk,25,4,500,41,2401.0,60.10499954223633,7906.0,39.94675827026367,50.86796422935297
elecNormNew,OzaBagASHTExecutorMAXChunk,25,4,500,439,26000.0,60.117000579833984,825.0,432.4899597167969,78.92549019607843
airlines,AdaptiveRandomForestExecutorMAXChunk,25,4,500,8,301.0,60.07500076293945,46473.0,5.010403633117676,79.06976744186046
elecNormNew,StreamingRandomPatchesExecutorMAXChunk,25,4,500,54,3000.0,61.36000061035156,7868.0,48.89178466796875,78.16
GMSC,LBagExecutorMAXChunk,25,4,50,753,43750.0,60.01300048828125,68.0,729.0087280273438,93.34553775743707
airlines,LBagExecutorMAXChunk,25,4,500,52,3000.0,70.7030029296875,10537.0,42.43101119995117,69.67999999999999
airlines,OzaBagExecutorMAXChunk,25,4,50,20,1200.0,60.0099983215332,1686.0,19.996667861938477,74.0
airlines,StreamingRandomPatchesExecutorMAXChunk,25,4,500,8,301.0,60.08000183105469,47969.0,5.009986400604248,79.06976744186046
GMSC,LBagExecutorMAXChunk,25,4,500,117,6901.0,60.125999450683594,2907.0,114.77564239501953,93.51663802530854
airlines,LBagExecutorMAXChunk,25,4,2000,53
elecNormNew,OzaBagAdwinExecutorMAXChunk,25,4,2000,390,22733.0,60.16999816894531,3831.0,377.8128662109375,78.72473833984469
covtypeNorm,StreamingRandomPatchesExecutorMAXChunk,25,4,500,8,301.0,60.077999114990234,43008.0,5.010153770446777,0.0
covtypeNorm,OzaBagASHTExecutorMAXChunk,25,4,2000,205,10000.0,61.38600158691406,10991.0,162.90359497070312,48.625
airlines,AdaptiveRandomForestExecutorMAXChunk,25,4,50,7,300.0,60.8849983215332,6814.0,4.927321910858154,75.2
GMSC,OzaBagAdwinExecutorMAXChunk,25,4,500,1805,104500.0,60.020999908447266,280.0,1741.0572509765625,93.42884615384615
airlines,OzaBagAdwinExecutorMAXChunk,25,4,2000,102,6000.0,67.91799926757812,17422.0,88.34182739257812,60.875
GMSC,OzaBagExecutorMAXChunk,25,4,2000,329,19501.0,60.1619987487793,4072.0,324.1414794921875,93.56036797897262
covtypeNorm,OzaBagAdwinExecutorMAXChunk,25,4,50,43,2400.0,60.180999755859375,841.0,39.879695892333984,64.80851063829786
elecNormNew,AdaptiveRandomForestExecutorMAXChunk,25,4,2000,83,4801.0,60.125999450683594,18484.0,79.84898376464844,76.7583006069261
covtypeNorm,OzaBagExecutorMAXChunk,25,4,500,200,11500.0,62.60900115966797,2655.0,183.67965698242188,55.29090909090909
covtypeNorm,LBagExecutorMAXChunk,25,4,2000,162,8000.0,61.457000732421875,13787.0,130.1723175048828,40.766666666666666
