,index,algorithm,dataset,cores,batch_size,inc_rate,out_rate,instances,time,delay,duration,avg_measure,sum_measure,prod_rate,tt_inst_prod,joules,JPI,PERC
138,138,StreamingRandomPatchesExecutorMAXChunk,elecNormNew,4,2000,360,332.7371826171875,40000.0,120.21499633789062,5671.0,123,5.86036866359447,1271.7,359.1515868191168,43128.0,704.5041974326982,0.017612604935817455,0
211,211,StreamingRandomPatchesExecutorMAXChunk,elecNormNew,4,2000,200,199.93658447265625,23960.0,119.83799743652344,8643.0,131,5.021428571428571,1195.1,199.62840455579348,23960.0,601.7579442705427,0.025115106188253033,0
110,110,StreamingRandomPatchesExecutorMAXChunk,elecNormNew,4,2000,40,40.00466537475586,4800.0,119.98600006103516,28592.0,125,4.248458149779735,964.3999999999999,39.942416349762425,4800.0,509.75549981877657,0.10619906246224511,0
96,96,StreamingRandomPatchesExecutorMAXChunk,elecNormNew,4,500,370,351.931884765625,42500.0,120.76200103759766,1411.0,124,5.773451327433628,1304.8,369.12187200732814,44326.0,697.2135351940594,0.01640502435750728,0
73,73,StreamingRandomPatchesExecutorMAXChunk,elecNormNew,4,500,205,202.24366760253903,24500.0,121.14099884033205,2054.0,125,5.03623853211009,1097.8999999999996,204.60206776469803,24559.0,610.094966177984,0.02490183535420343,0
104,104,StreamingRandomPatchesExecutorMAXChunk,elecNormNew,4,500,41,40.00566864013672,4800.0,119.98300170898438,7412.0,125,4.198678414096915,953.0999999999998,39.94274872682489,4800.0,503.770039334066,0.10495209152793042,0
22,22,StreamingRandomPatchesExecutorMAXChunk,elecNormNew,4,50,333,329.546142578125,39534.0,119.96499633789062,141.0,124,5.869026548672567,1326.4,329.21680476329266,39534.0,704.0777484184873,0.017809423494169255,0
97,97,StreamingRandomPatchesExecutorMAXChunk,elecNormNew,4,50,185,184.7347717285156,22163.0,119.97200012207033,208.0,124,5.027678571428573,1126.2000000000003,184.6531972505728,22163.0,603.1806541851591,0.027215659170020265,0
15,15,StreamingRandomPatchesExecutorMAXChunk,elecNormNew,4,50,37,34.984840393066406,4200.0,120.052001953125,821.0,123,4.170319634703196,913.3,34.95019597074169,4200.0,500.65522093054363,0.11920362403108181,0
209,209,OzaBagExecutorMAXChunk,elecNormNew,4,2000,2554,1700.352783203125,36158.0,21.26499938964844,1145.0,27,5.03921568627451,257.0,2537.350207190055,45312.0,107.1589184929343,0.0029636295838523785,0
39,39,OzaBagExecutorMAXChunk,elecNormNew,4,2000,1419,1275.7095947265625,40949.0,32.0989990234375,1330.0,37,4.636764705882354,315.30000000000007,1403.5000774353416,45312.0,148.83550576602715,0.003634655443747763,0
19,19,OzaBagExecutorMAXChunk,elecNormNew,4,2000,283,279.8621826171875,33544.0,119.85900115966795,4099.0,126,4.096929824561403,934.0999999999999,279.4262199490195,33544.0,491.0539165931835,0.014639098395933206,0
189,189,OzaBagExecutorMAXChunk,elecNormNew,4,500,2677,2161.5556640625,39684.0,18.358999252319336,229.0,24,5.34,240.3,2655.2593026662757,45312.0,98.03705600738525,0.002470442899087422,0
5,5,OzaBagExecutorMAXChunk,elecNormNew,4,500,1487,1358.7894287109375,41439.0,30.496999740600582,308.0,36,4.91969696969697,324.7,1476.8268039893098,45312.0,150.03599720868195,0.0036206471490306705,0
8,8,OzaBagExecutorMAXChunk,elecNormNew,4,500,297,294.8006896972656,35341.0,119.88099670410156,970.0,126,4.043231441048035,925.9,294.33908835752777,35341.0,484.7066150581993,0.013715135821233109,0
