dataset,algorithm,ensemble_size,cores,batch_size,inc_rate,instances,time,delay,out_rate
covtypeNorm,StreamingRandomPatchesExecutorMAXChunk,25,4,500,21,1201.0,60.09000015258789,18362.0,19.98668670654297
elecNormNew,LBagExecutorMAXChunk,25,4,50,87,10198.0,120.0009994506836,373.0,84.98262786865234
elecNormNew,StreamingRandomPatchesExecutorMAXChunk,25,4,50,55,6600.0,120.18099975585938,632.0,54.91716766357422
GMSC,OzaBagAdwinExecutorMAXChunk,25,4,50,64,3600.0,60.03900146484375,446.0,59.96102523803711
elecNormNew,OzaBagASHTExecutorMAXChunk,25,4,2000,233,13801.0,60.14899826049805,5854.0,229.44688415527344
elecNormNew,OzaBagASHTExecutorMAXChunk,25,4,50,230,27554.0,119.89399719238281,127.0,229.81968688964844
covtypeNorm,OzaBagAdwinExecutorMAXChunk,25,4,500,19,901.0,60.08300018310547,18905.0,14.995922088623047
elecNormNew,LBagExecutorMAXChunk,25,4,50,16,900.0,60.020999908447266,1927.0,14.994751930236816
covtypeNorm,OzaBagExecutorMAXChunk,25,4,50,21,1200.0,60.04600143432617,1490.0,19.984678268432617
covtypeNorm,OzaBagASHTExecutorMAXChunk,25,4,500,5,1500.0,61.51599884033203,12678.0,24.383899688720703
elecNormNew,OzaBagAdwinExecutorMAXChunk,25,4,500,411,24500.0,60.09000015258789,907.0,407.72174072265625
elecNormNew,LBagExecutorMAXChunk,25,4,50,158,18569.0,119.8550033569336,220.0,154.92886352539062
elecNormNew,AdaptiveRandomForestExecutorMAXChunk,25,4,2000,49
covtypeNorm,OzaBagExecutorMAXChunk,25,4,500,22,1201.0,60.08599853515625,13720.0,19.988018035888672
GMSC,OzaBagExecutorMAXChunk,25,4,500,362,21601.0,60.167999267578125,892.0,359.0114440917969
elecNormNew,StreamingRandomPatchesExecutorMAXChunk,25,4,500,30,1801.0,60.104000091552734,11692.0,29.9647274017334
GMSC,StreamingRandomPatchesExecutorMAXChunk,25,4,2000,84,4801.0,60.125,17766.0,79.85031127929688
elecNormNew,StreamingRandomPatchesExecutorMAXChunk,25,4,50,30,1800.0,60.06700134277344,1133.0,29.966537475585938
elecNormNew,AdaptiveRandomForestExecutorMAXChunk,25,4,50,91,5400.0,60.02899932861328,412.0,89.9565200805664
elecNormNew,StreamingRandomPatchesExecutorMAXChunk,25,4,50,54,3000.0,60.00199890136719,677.0,49.99833297729492
covtypeNorm,OzaBagExecutorMAXChunk,25,4,500,41,2401.0,60.10499954223633,7906.0,39.94675827026367
elecNormNew,OzaBagASHTExecutorMAXChunk,25,4,500,439,26000.0,60.117000579833984,825.0,432.4899597167969
elecNormNew,StreamingRandomPatchesExecutorMAXChunk,25,4,500,54,3000.0,61.36000061035156,7868.0,48.89178466796875
GMSC,LBagExecutorMAXChunk,25,4,500,117,6901.0,60.125999450683594,2907.0,114.77564239501953
elecNormNew,OzaBagAdwinExecutorMAXChunk,25,4,2000,390,22733.0,60.16999816894531,3831.0,377.8128662109375
GMSC,OzaBagExecutorMAXChunk,25,4,2000,329,19501.0,60.1619987487793,4072.0,324.1414794921875
covtypeNorm,OzaBagAdwinExecutorMAXChunk,25,4,50,43,2400.0,60.180999755859375,841.0,39.879695892333984
elecNormNew,AdaptiveRandomForestExecutorMAXChunk,25,4,2000,83,4801.0,60.125999450683594,18484.0,79.84898376464844
GMSC,LBagExecutorMAXChunk,25,4,50,22,1201.0,60.0890007019043,1366.0,19.987018585205078
elecNormNew,AdaptiveRandomForestExecutorMAXChunk,25,4,2000,46
GMSC,StreamingRandomPatchesExecutorMAXChunk,25,4,2000,47
elecNormNew,LBagExecutorMAXChunk,25,4,50,17,1800.0,120.08000183105469,1832.0,14.990006446838379
elecNormNew,OzaBagASHTExecutorMAXChunk,25,4,50,46,5400.0,120.02100372314453,597.0,44.99212646484375
GMSC,OzaBagAdwinExecutorMAXChunk,25,4,2000,55,3301.0,60.10599899291992,18311.0,54.91964340209961
elecNormNew,StreamingRandomPatchesExecutorMAXChunk,25,4,2000,6,301.0,60.08000183105469,39352.0,5.009986400604248
covtypeNorm,AdaptiveRandomForestExecutorMAXChunk,25,4,2000,36
covtypeNorm,OzaBagExecutorMAXChunk,25,4,500,5,1500.0,60.95199966430664,12325.0,24.609529495239258
elecNormNew,LBagExecutorMAXChunk,25,4,2000,91,5401.0,60.117000579833984,15223.0,89.84147644042969
covtypeNorm,OzaBagAdwinExecutorMAXChunk,25,4,2000,24,1201.0,60.0890007019043,37571.0,19.987018585205078
covtypeNorm,OzaBagASHTExecutorMAXChunk,25,4,50,21,1200.0,60.03499984741211,1477.0,19.988340377807617
elecNormNew,OzaBagAdwinExecutorMAXChunk,25,4,50,382,45312.0,119.50399780273438,89.0,379.167236328125
elecNormNew,LBagExecutorMAXChunk,25,4,500,177,10500.0,60.547000885009766,2135.0,173.4189910888672
GMSC,OzaBagAdwinExecutorMAXChunk,25,4,500,546,32701.0,60.15999984741211,675.0,543.567138671875
covtypeNorm,OzaBagASHTExecutorMAXChunk,25,4,2000,5,1501.0,60.0890007019043,36929.0,24.979612350463867
covtypeNorm,OzaBagAdwinExecutorMAXChunk,25,4,500,3,901.0,60.08599853515625,18724.0,14.995174407958984
elecNormNew,OzaBagAdwinExecutorMAXChunk,25,4,2000,216,12901.0,60.14799880981445,5999.0,214.4875946044922
covtypeNorm,AdaptiveRandomForestExecutorMAXChunk,25,4,2000,65,3901.0,60.108001708984375,27136.0,64.89984130859375
elecNormNew,OzaBagASHTExecutorMAXChunk,25,4,500,48,2701.0,60.11000061035156,6235.0,44.934288024902344
GMSC,AdaptiveRandomForestExecutorMAXChunk,25,4,500,17,901.0,60.09000015258789,19682.0,14.99417495727539
elecNormNew,AdaptiveRandomForestExecutorMAXChunk,25,4,500,50,3000.0,60.87099838256836,7352.0,49.28455352783203
covtypeNorm,AdaptiveRandomForestExecutorMAXChunk,25,4,2000,54
covtypeNorm,StreamingRandomPatchesExecutorMAXChunk,25,4,50,12,600.0,60.19300079345703,3278.0,9.967936515808105
elecNormNew,OzaBagAdwinExecutorMAXChunk,25,4,500,45,2701.0,60.10900115966797,6346.0,44.935035705566406
covtypeNorm,AdaptiveRandomForestExecutorMAXChunk,25,4,2000,30,1801.0,60.09700012207031,57190.0,29.968217849731445
elecNormNew,OzaBagASHTExecutorMAXChunk,25,4,50,387,23100.0,60.01100158691406,89.0,384.9294128417969
covtypeNorm,OzaBagExecutorMAXChunk,25,4,500,4,1201.0,60.08599853515625,13952.0,19.988018035888672
GMSC,AdaptiveRandomForestExecutorMAXChunk,25,4,500,89,5101.0,60.12200164794922,4007.0,84.84414672851562
covtypeNorm,StreamingRandomPatchesExecutorMAXChunk,25,4,50,2,600.0,60.15700149536133,3198.0,9.973901748657227
elecNormNew,OzaBagExecutorMAXChunk,25,4,500,53,3000.0,60.382999420166016,5759.0,49.682857513427734
GMSC,StreamingRandomPatchesExecutorMAXChunk,25,4,500,87,5000.0,60.07699966430664,4480.0,83.22652435302734
covtypeNorm,AdaptiveRandomForestExecutorMAXChunk,25,4,500,66,3901.0,60.117000579833984,5949.0,64.89012908935547
elecNormNew,OzaBagExecutorMAXChunk,25,4,500,54,3000.0,60.30799865722656,5748.0,49.74464416503906
covtypeNorm,StreamingRandomPatchesExecutorMAXChunk,25,4,50,5,1500.0,60.14799880981445,1505.0,24.938486099243164
covtypeNorm,AdaptiveRandomForestExecutorMAXChunk,25,4,500,35,2101.0,60.09600067138672,10216.0,34.96072769165039
covtypeNorm,OzaBagAdwinExecutorMAXChunk,25,4,500,5,1500.0,61.393001556396484,12634.0,24.43275260925293
GMSC,AdaptiveRandomForestExecutorMAXChunk,25,4,500,161,9601.0,60.132999420166016,2320.0,159.66275024414062
elecNormNew,AdaptiveRandomForestExecutorMAXChunk,25,4,50,9,600.0,120.17400360107422,5500.0,4.992760181427002
covtypeNorm,StreamingRandomPatchesExecutorMAXChunk,25,4,2000,5,1501.0,60.0880012512207,58450.0,24.98002815246582
covtypeNorm,StreamingRandomPatchesExecutorMAXChunk,25,4,2000,2,601.0,60.08100128173828,47044.0,10.003162384033203
elecNormNew,LBagExecutorMAXChunk,25,4,2000,164,9601.0,60.13999938964844,9136.0,159.6441650390625
GMSC,OzaBagAdwinExecutorMAXChunk,25,4,2000,502,30000.0,60.68600082397461,2880.0,494.34796142578125
covtypeNorm,AdaptiveRandomForestExecutorMAXChunk,25,4,50,29,3000.0,120.20800018310547,1224.0,24.956741333007812
elecNormNew,AdaptiveRandomForestExecutorMAXChunk,25,4,500,9,301.0,60.08599853515625,36732.0,5.009486675262451
elecNormNew,OzaBagExecutorMAXChunk,25,4,50,50,3001.0,60.11199951171875,480.0,49.92347717285156
covtypeNorm,LBagExecutorMAXChunk,25,4,50,20,1200.0,60.268001556396484,1559.0,19.91106414794922
covtypeNorm,OzaBagAdwinExecutorMAXChunk,25,4,2000,5,1501.0,60.071998596191406,38674.0,24.986682891845703
elecNormNew,StreamingRandomPatchesExecutorMAXChunk,25,4,500,6,301.0,60.08100128173828,39170.0,5.0099029541015625
covtypeNorm,AdaptiveRandomForestExecutorMAXChunk,25,4,50,7,300.0,60.10100173950195,5930.0,4.9915971755981445
elecNormNew,OzaBagExecutorMAXChunk,25,4,50,51,6000.0,120.00700378417969,456.0,49.9970817565918
GMSC,OzaBagASHTExecutorMAXChunk,25,4,2000,740,44000.0,60.14799880981445,2026.0,731.5289306640625
GMSC,OzaBagAdwinExecutorMAXChunk,25,4,500,303,18000.0,60.19499969482422,1077.0,299.0281677246094
GMSC,OzaBagASHTExecutorMAXChunk,25,4,500,484,28801.0,60.1619987487793,714.0,478.72412109375
elecNormNew,OzaBagAdwinExecutorMAXChunk,25,4,500,374,22201.0,60.17399978637695,986.0,368.94671630859375
elecNormNew,AdaptiveRandomForestExecutorMAXChunk,25,4,500,88,5101.0,60.12300109863281,4451.0,84.84273529052734
covtypeNorm,OzaBagExecutorMAXChunk,25,4,2000,24,1201.0,60.08599853515625,37625.0,19.988018035888672
elecNormNew,AdaptiveRandomForestExecutorMAXChunk,25,4,500,10
covtypeNorm,OzaBagAdwinExecutorMAXChunk,25,4,2000,4,1201.0,60.08300018310547,37563.0,19.989015579223633
GMSC,StreamingRandomPatchesExecutorMAXChunk,25,4,50,87,5100.0,60.04800033569336,431.0,84.93205261230469
GMSC,LBagExecutorMAXChunk,25,4,500,210,12601.0,60.130001068115234,1790.0,209.56260681152344
GMSC,OzaBagExecutorMAXChunk,25,4,50,335,20101.0,60.16299819946289,94.0,334.1090087890625
elecNormNew,OzaBagExecutorMAXChunk,25,4,500,489,29101.0,60.17399978637695,757.0,483.61419677734375
covtypeNorm,LBagExecutorMAXChunk,25,4,500,38,2000.0,60.23899841308594,10859.0,33.20108413696289
GMSC,OzaBagAdwinExecutorMAXChunk,25,4,500,60,3601.0,60.111000061035156,4710.0,59.90584182739258
covtypeNorm,OzaBagAdwinExecutorMAXChunk,25,4,500,34,1801.0,60.09199905395508,10155.0,29.970712661743164
elecNormNew,StreamingRandomPatchesExecutorMAXChunk,25,4,2000,56,3301.0,60.117000579833984,26364.0,54.90959167480469
covtypeNorm,LBagExecutorMAXChunk,25,4,500,4,1201.0,60.077999114990234,14765.0,19.990678787231445
elecNormNew,OzaBagExecutorMAXChunk,25,4,50,460,45312.0,98.69100189208984,71.0,459.1300048828125
elecNormNew,OzaBagASHTExecutorMAXChunk,25,4,500,243,14401.0,60.150001525878906,1350.0,239.41812133789062
elecNormNew,OzaBagASHTExecutorMAXChunk,25,4,500,244,14401.0,60.154998779296875,1352.0,239.39822387695312
elecNormNew,OzaBagExecutorMAXChunk,25,4,500,271,16201.0,60.1619987487793,1233.0,269.2895812988281
GMSC,OzaBagASHTExecutorMAXChunk,25,4,500,96,5701.0,60.11800003051758,3006.0,94.83016967773438
GMSC,OzaBagASHTExecutorMAXChunk,25,4,50,90,5401.0,60.11600112915039,303.0,89.84297180175781
covtypeNorm,LBagExecutorMAXChunk,25,4,50,5,1500.0,60.051998138427734,1282.0,24.97835350036621
elecNormNew,OzaBagAdwinExecutorMAXChunk,25,4,500,208,12301.0,60.145999908447266,1588.0,204.5189971923828
covtypeNorm,OzaBagExecutorMAXChunk,25,4,50,5,1500.0,60.04600143432617,1172.0,24.98084831237793
elecNormNew,OzaBagASHTExecutorMAXChunk,25,4,500,440,26401.0,60.16699981689453,831.0,438.79534912109375
covtypeNorm,LBagExecutorMAXChunk,25,4,500,5,1500.0,64.48899841308594,13877.0,23.259780883789062
elecNormNew,LBagExecutorMAXChunk,25,4,500,19,901.0,60.09000015258789,20520.0,14.99417495727539
elecNormNew,OzaBagASHTExecutorMAXChunk,25,4,50,215,12901.0,60.15700149536133,142.0,214.45550537109375
elecNormNew,AdaptiveRandomForestExecutorMAXChunk,25,4,50,49,5400.0,120.16000366210938,698.0,44.94007873535156
elecNormNew,OzaBagExecutorMAXChunk,25,4,50,255,30549.0,119.88300323486328,118.0,254.8234405517578
elecNormNew,OzaBagExecutorMAXChunk,25,4,2000,451,26000.0,60.560001373291016,3300.0,429.3262634277344
elecNormNew,OzaBagAdwinExecutorMAXChunk,25,4,50,211,12601.0,60.14699935913086,152.0,209.50338745117188
covtypeNorm,LBagExecutorMAXChunk,25,4,50,4,1200.0,60.67100143432617,1603.0,19.778806686401367
covtypeNorm,OzaBagASHTExecutorMAXChunk,25,4,500,29,1500.0,60.96500015258789,12207.0,24.604280471801758
covtypeNorm,LBagExecutorMAXChunk,25,4,2000,23,1201.0,60.08599853515625,41331.0,19.988018035888672
covtypeNorm,OzaBagExecutorMAXChunk,25,4,50,4,1200.0,60.00400161743164,1431.0,19.998666763305664
GMSC,LBagExecutorMAXChunk,25,4,2000,21,1201.0,60.090999603271484,39174.0,19.98635482788086
elecNormNew,LBagExecutorMAXChunk,25,4,50,152,9000.0,60.00899887084961,227.0,149.97750854492188
elecNormNew,OzaBagASHTExecutorMAXChunk,25,4,50,43,2401.0,60.108001708984375,677.0,39.94476318359375
GMSC,OzaBagExecutorMAXChunk,25,4,50,603,35950.0,60.013999938964844,55.0,599.0269165039062
elecNormNew,AdaptiveRandomForestExecutorMAXChunk,25,4,50,50,3001.0,60.11199951171875,636.0,49.92347717285156
covtypeNorm,OzaBagASHTExecutorMAXChunk,25,4,2000,54,3001.0,60.09600067138672,22556.0,49.936767578125
GMSC,OzaBagAdwinExecutorMAXChunk,25,4,50,578,34450.0,60.00600051879883,60.0,574.1092529296875
elecNormNew,AdaptiveRandomForestExecutorMAXChunk,25,4,2000,9,301.0,60.08100128173828,36439.0,5.0099029541015625
covtypeNorm,OzaBagASHTExecutorMAXChunk,25,4,500,52,3000.0,62.83700180053711,7330.0,47.74256896972656
covtypeNorm,AdaptiveRandomForestExecutorMAXChunk,25,4,2000,6,301.0,60.07699966430664,39253.0,5.010236740112305
elecNormNew,LBagExecutorMAXChunk,25,4,50,84,4801.0,60.12799835205078,414.0,79.84632873535156
elecNormNew,LBagExecutorMAXChunk,25,4,500,98,5701.0,60.130001068115234,3688.0,94.81124114990234
GMSC,OzaBagASHTExecutorMAXChunk,25,4,2000,411,24601.0,60.15599822998047,3279.0,408.9533996582031
