,algorithm,dataset,cores,batch_size,inc_rate,out_rate,instances,time,delay,duration,avg_measure,sum_measure,prod_rate,tt_inst_prod,joules,JPI,PERC
43,StreamingRandomPatchesExecutorMAXChunk,elecNormNew,4,2000,42,40.00600051879883,4800.0,119.98200225830078,29458.0,125,3.9168949771689494,857.8,39.94141925176408,4800.0,469.95690199621185,0.09790768791587746,0
144,StreamingRandomPatchesExecutorMAXChunk,elecNormNew,4,2000,23,20.006668090820312,2400.0,119.95999908447266,54813.0,126,3.8820175438596496,885.1000000000001,19.975031210986266,2400.0,465.68682100731036,0.19403617541971266,0
180,StreamingRandomPatchesExecutorMAXChunk,elecNormNew,4,2000,4,20.006336212158203,2400.0,119.96199798583984,55137.0,125,4.249122807017544,968.8000000000001,19.97469871496105,2400.0,509.73326161702477,0.21238885900709364,0
226,StreamingRandomPatchesExecutorMAXChunk,elecNormNew,4,500,42,40.005001068115234,4800.0,119.98500061035156,7397.0,124,,0.0,39.942083978231565,4800.0,,,0
122,StreamingRandomPatchesExecutorMAXChunk,elecNormNew,4,500,23,20.006336212158203,2400.0,119.96199798583984,14408.0,126,,0.0,19.97469871496105,2400.0,,,0
194,StreamingRandomPatchesExecutorMAXChunk,elecNormNew,4,500,4,20.00616836547852,2400.0,119.96299743652344,14311.0,125,,0.0,19.97469871496105,2400.0,,,0
229,StreamingRandomPatchesExecutorMAXChunk,elecNormNew,4,50,42,39.976680755615234,4800.0,120.06999969482422,715.0,123,,0.0,19.974532471099348,2400.0,,,0
230,StreamingRandomPatchesExecutorMAXChunk,elecNormNew,4,50,42,39.976680755615234,4800.0,120.06999969482422,715.0,123,,0.0,19.97469871496105,2400.0,,,0
121,StreamingRandomPatchesExecutorMAXChunk,elecNormNew,4,50,23,19.9931697845459,2400.0,120.04100036621094,1365.0,124,,0.0,,,,,0
77,StreamingRandomPatchesExecutorMAXChunk,elecNormNew,4,50,4,19.991668701171875,2400.0,120.0500030517578,1360.0,123,,0.0,19.975031210986266,2400.0,,,0
78,StreamingRandomPatchesExecutorMAXChunk,elecNormNew,4,50,4,19.991668701171875,2400.0,120.0500030517578,1360.0,123,,0.0,19.975031210986266,2400.0,,,0
113,OzaBagExecutorMAXChunk,elecNormNew,4,2000,852,832.153564453125,44437.0,53.400001525878906,1721.0,58,3.9635514018691596,424.1000000000001,845.5782185977941,45312.0,211.6536509077126,0.004763004948752449,0
7,OzaBagExecutorMAXChunk,elecNormNew,4,2000,473,468.7092590332031,45312.0,96.67400360107422,2615.0,103,3.983957219251337,745.0,467.78989098116944,45312.0,385.14509456042936,0.008499847602410605,0
157,OzaBagExecutorMAXChunk,elecNormNew,4,2000,94,89.9909896850586,10782.0,119.81199645996094,11697.0,125,3.988288288288288,885.4,89.84850252495792,10782.0,477.84478227770006,0.04431875183432574,0
3,OzaBagExecutorMAXChunk,elecNormNew,4,500,852,848.507568359375,45312.0,53.402000427246094,410.0,59,3.874074074074074,418.4,845.5782185977941,45312.0,206.8833053588867,0.0045657509127579165,0
110,OzaBagExecutorMAXChunk,elecNormNew,4,500,473,468.7626037597656,45312.0,96.66300201416016,652.0,102,3.7428571428571438,78.60000000000002,467.82852895019414,45312.0,361.7958075387138,0.00798454730620396,0
158,OzaBagExecutorMAXChunk,elecNormNew,4,500,94,89.98798370361328,10782.0,119.81600189208984,2964.0,125,,0.0,89.84625640598308,10782.0,,,0
115,OzaBagExecutorMAXChunk,elecNormNew,4,50,852,848.1105346679688,45312.0,53.42699813842773,35.0,59,,0.0,845.4204526372745,45312.0,,,0
116,OzaBagExecutorMAXChunk,elecNormNew,4,50,852,848.1105346679688,45312.0,53.42699813842773,35.0,59,,0.0,845.4204526372745,45312.0,,,0
24,OzaBagExecutorMAXChunk,elecNormNew,4,50,473,468.7335205078125,45312.0,96.66899871826172,61.0,102,,0.0,467.78023248611487,45312.0,,,0
25,OzaBagExecutorMAXChunk,elecNormNew,4,50,473,468.7335205078125,45312.0,96.66899871826172,61.0,102,,0.0,467.82852895019414,45312.0,,,0
100,OzaBagExecutorMAXChunk,elecNormNew,4,50,94,89.98648071289062,10782.0,119.81800079345705,287.0,125,,0.0,89.84475905572175,10782.0,,,0
101,OzaBagExecutorMAXChunk,elecNormNew,4,50,94,89.98648071289062,10782.0,119.81800079345705,287.0,125,,0.0,89.84550772461377,10782.0,,,0
102,OzaBagAdwinExecutorMAXChunk,elecNormNew,4,2000,668,641.9896850585938,44088.0,68.67400360107422,2126.0,73,3.8104477611940304,510.6000000000001,662.4464554611775,45312.0,261.67870327394405,0.005935372511203594,0
126,OzaBagAdwinExecutorMAXChunk,elecNormNew,4,2000,371,369.67291259765625,44326.0,119.90599822998048,3342.0,126,3.9307017543859657,896.2000000000002,369.0849896333797,44326.0,471.3147176039848,0.010632917872219122,0
166,OzaBagAdwinExecutorMAXChunk,elecNormNew,4,2000,74,69.88875579833984,8387.0,120.00499725341795,15143.0,126,4.090829694323144,936.8,69.88643454386622,8400.0,490.9200062314495,0.058533445359657744,0
211,OzaBagAdwinExecutorMAXChunk,elecNormNew,4,500,668,664.2137451171875,45312.0,68.21900177001953,508.0,73,,0.0,662.33994036134,45312.0,,,0
193,OzaBagAdwinExecutorMAXChunk,elecNormNew,4,500,371,369.6605529785156,44326.0,119.91000366210938,824.0,126,,0.0,369.0849896333797,44326.0,,,0
59,OzaBagAdwinExecutorMAXChunk,elecNormNew,4,500,74,69.88758850097656,8387.0,120.00700378417967,3793.0,126,,0.0,69.88469026106924,8400.0,,,0
9,OzaBagAdwinExecutorMAXChunk,elecNormNew,4,50,668,663.8732299804688,45312.0,68.25399780273438,49.0,73,,0.0,662.4464554611775,45312.0,,,0
10,OzaBagAdwinExecutorMAXChunk,elecNormNew,4,50,668,663.8732299804688,45312.0,68.25399780273438,49.0,73,,0.0,662.3980352600648,45312.0,,,0
50,OzaBagAdwinExecutorMAXChunk,elecNormNew,4,50,371,369.6451721191406,44326.0,119.91500091552734,78.0,126,,0.0,369.1003563934317,44326.0,,,0
51,OzaBagAdwinExecutorMAXChunk,elecNormNew,4,50,371,369.6451721191406,44326.0,119.91500091552734,78.0,126,,0.0,369.1034298989933,44326.0,,,0
206,OzaBagAdwinExecutorMAXChunk,elecNormNew,4,50,74,69.88642120361328,8387.0,120.00900268554688,371.0,126,,0.0,69.88643454386622,8400.0,,,0
207,OzaBagAdwinExecutorMAXChunk,elecNormNew,4,50,74,69.88642120361328,8387.0,120.00900268554688,371.0,126,,0.0,69.88410885281908,8400.0,,,0
176,OzaBagASHTExecutorMAXChunk,elecNormNew,4,2000,320,319.7704467773437,38336.0,119.88600158691406,3642.0,125,3.808771929824562,868.4000000000001,319.27510160570324,38336.0,456.6184376231412,0.011910956741004309,0
153,OzaBagASHTExecutorMAXChunk,elecNormNew,4,2000,178,174.94888305664062,20965.0,119.83499908447266,6265.0,126,3.839473684210527,875.4000000000001,174.6748539863193,20965.0,460.10332543222535,0.021946259262209653,0
79,OzaBagASHTExecutorMAXChunk,elecNormNew,4,2000,35,35.00787734985352,4200.0,119.9729995727539,29476.0,126,3.764473684210527,858.3000000000002,34.95165021719954,4200.0,451.6351997074329,0.10753219040653164,0
161,OzaBagASHTExecutorMAXChunk,elecNormNew,4,500,320,319.7491149902344,38336.0,119.8939971923828,904.0,126,,0.0,319.245854950326,38336.0,,,0
154,OzaBagASHTExecutorMAXChunk,elecNormNew,4,500,178,174.9459686279297,20965.0,119.83699798583984,1567.0,125,,0.0,174.6748539863193,20965.0,,,0
185,OzaBagASHTExecutorMAXChunk,elecNormNew,4,500,35,35.00554275512695,4200.0,119.9810028076172,7332.0,126,,0.0,34.95077765480282,4200.0,,,0
80,OzaBagASHTExecutorMAXChunk,elecNormNew,4,50,320,319.7731018066406,38336.0,119.88500213623048,85.0,126,,0.0,319.2564894777605,38336.0,,,0
81,OzaBagASHTExecutorMAXChunk,elecNormNew,4,50,320,319.7731018066406,38336.0,119.88500213623048,85.0,126,,0.0,319.2830788963013,38336.0,,,0
57,OzaBagASHTExecutorMAXChunk,elecNormNew,4,50,178,174.925537109375,20965.0,119.85099792480467,142.0,125,,0.0,174.66757756523478,20965.0,,,0
58,OzaBagASHTExecutorMAXChunk,elecNormNew,4,50,178,174.925537109375,20965.0,119.85099792480467,142.0,125,,0.0,174.6661223537645,20965.0,,,0
219,OzaBagASHTExecutorMAXChunk,elecNormNew,4,50,35,35.00116729736328,4200.0,119.99600219726562,733.0,126,,0.0,34.95077765480282,4200.0,,,0
220,OzaBagASHTExecutorMAXChunk,elecNormNew,4,50,35,35.00116729736328,4200.0,119.99600219726562,733.0,126,,0.0,34.95135935822647,4200.0,,,0
104,LBagExecutorMAXChunk,elecNormNew,4,2000,303,298.369873046875,35765.0,119.86799621582033,4555.0,127,4.1152173913043475,946.5,299.35281819771944,35940.0,493.28286268814753,0.013792335039512023,0
208,LBagExecutorMAXChunk,elecNormNew,4,2000,168,164.9559326171875,19767.0,119.83200073242188,7459.0,125,4.173893805309734,943.3,164.6975504082653,19767.0,500.1660455349272,0.02530308319597952,0
173,LBagExecutorMAXChunk,elecNormNew,4,2000,33,30.008251190185547,3600.0,119.96700286865234,35087.0,127,4.1264069264069265,953.2,29.959803929727617,3600.0,495.03267157748667,0.13750907543819074,0
84,LBagExecutorMAXChunk,elecNormNew,4,500,303,299.7847900390625,35940.0,119.88600158691406,1091.0,125,,0.0,299.32040775534676,35940.0,,,0
187,LBagExecutorMAXChunk,elecNormNew,4,500,168,164.96144104003906,19767.0,119.8280029296875,1838.0,126,,0.0,164.69617816882047,19767.0,,,0
36,LBagExecutorMAXChunk,elecNormNew,4,500,33,30.00625228881836,3600.0,119.9749984741211,9264.0,126,,0.0,29.958806640868804,3600.0,,,0
146,LBagExecutorMAXChunk,elecNormNew,4,50,303,299.7597961425781,35940.0,119.89600372314452,98.0,126,,0.0,299.3154221563369,35940.0,,,0
147,LBagExecutorMAXChunk,elecNormNew,4,50,303,299.7597961425781,35940.0,119.89600372314452,98.0,126,,0.0,299.3328724795323,35940.0,,,0
38,LBagExecutorMAXChunk,elecNormNew,4,50,168,164.8981475830078,19767.0,119.8740005493164,180.0,126,,0.0,24.968373393701313,3000.0,,,0
39,LBagExecutorMAXChunk,elecNormNew,4,50,168,164.8981475830078,19767.0,119.8740005493164,180.0,126,,0.0,164.69617816882047,19767.0,,,0
40,LBagExecutorMAXChunk,elecNormNew,4,50,168,164.8981475830078,19767.0,119.8740005493164,180.0,126,,0.0,164.69068943970007,19767.0,,,0
118,LBagExecutorMAXChunk,elecNormNew,4,50,33,30.00275039672852,3600.0,119.98899841308594,880.0,9353,,0.0,29.959803929727617,3600.0,,,0
119,LBagExecutorMAXChunk,elecNormNew,4,50,33,30.00275039672852,3600.0,119.98899841308594,880.0,9353,,0.0,29.959305276998744,3600.0,,,0
120,LBagExecutorMAXChunk,elecNormNew,4,50,33,30.00275039672852,3600.0,119.98899841308594,880.0,9353,,0.0,29.959803929727617,3600.0,,,0
14,AdaptiveRandomForestExecutorMAXChunk,elecNormNew,4,2000,192,189.93975830078125,22762.0,119.83799743652344,7404.0,125,4.003964757709252,908.9000000000001,189.64224418042758,22762.0,479.8271183702915,0.021080182689143814,0
137,AdaptiveRandomForestExecutorMAXChunk,elecNormNew,4,2000,107,104.98159790039062,12579.0,119.8209991455078,12287.0,125,3.8895927601809963,859.6000000000001,104.81713871459641,12579.0,466.0548907940205,0.037050233785994154,0
134,AdaptiveRandomForestExecutorMAXChunk,elecNormNew,4,2000,21,20.0068359375,2400.0,119.95899963378906,53406.0,125,4.475330396475771,1015.9,19.975031210986266,2400.0,536.856157391922,0.2236900655799675,0
140,AdaptiveRandomForestExecutorMAXChunk,elecNormNew,4,500,192,189.9508514404297,22762.0,119.83100128173828,1850.0,125,,0.0,189.64540425248285,22762.0,,,0
19,AdaptiveRandomForestExecutorMAXChunk,elecNormNew,4,500,107,104.94831085205078,12579.0,119.85900115966795,3086.0,124,,0.0,104.8197590120494,12579.0,,,0
105,AdaptiveRandomForestExecutorMAXChunk,elecNormNew,4,500,21,20.005836486816406,2400.0,119.96499633789062,14017.0,124,,0.0,19.97469871496105,2400.0,,,0
65,AdaptiveRandomForestExecutorMAXChunk,elecNormNew,4,50,192,189.8177795410156,22762.0,119.91500091552734,171.0,124,,0.0,189.63592435224527,22762.0,,,0
66,AdaptiveRandomForestExecutorMAXChunk,elecNormNew,4,50,192,189.8177795410156,22762.0,119.91500091552734,171.0,124,,0.0,189.63434446101422,22762.0,,,0
67,AdaptiveRandomForestExecutorMAXChunk,elecNormNew,4,50,192,189.8177795410156,22762.0,119.91500091552734,171.0,124,,0.0,189.6296049452655,22762.0,,,0
170,AdaptiveRandomForestExecutorMAXChunk,elecNormNew,4,50,107,104.98159790039062,12579.0,119.8209991455078,294.0,125,,0.0,104.82150594980168,12579.0,,,0
171,AdaptiveRandomForestExecutorMAXChunk,elecNormNew,4,50,107,104.98159790039062,12579.0,119.8209991455078,294.0,125,,0.0,104.8180121325245,12579.0,,,0
172,AdaptiveRandomForestExecutorMAXChunk,elecNormNew,4,50,107,104.98159790039062,12579.0,119.8209991455078,294.0,125,,0.0,104.8188855650087,12579.0,,,0
216,AdaptiveRandomForestExecutorMAXChunk,elecNormNew,4,50,21,19.993501663208008,2400.0,120.03900146484376,1331.0,124,,0.0,19.97486496159,2400.0,,,0
217,AdaptiveRandomForestExecutorMAXChunk,elecNormNew,4,50,21,19.993501663208008,2400.0,120.03900146484376,1331.0,124,,0.0,19.97486496159,2400.0,,,0
218,AdaptiveRandomForestExecutorMAXChunk,elecNormNew,4,50,21,19.993501663208008,2400.0,120.03900146484376,1331.0,124,,0.0,19.97469871496105,2400.0,,,0
188,StreamingRandomPatchesExecutorMAXChunk,covtypeNorm,4,2000,37,32.38053512573242,4000.0,123.53099822998048,40784.0,128,3.7228448275862074,863.7000000000002,34.954268165816394,4200.0,459.8867378070438,0.11497168445176095,0
64,StreamingRandomPatchesExecutorMAXChunk,covtypeNorm,4,2000,20,,,,,1234,3.725338753387533,8247.899999999998,19.97602876548142,2400.0,,,0
103,StreamingRandomPatchesExecutorMAXChunk,covtypeNorm,4,2000,4,,,,,22558,3.8889465875370925,157269.00000000003,19.97619503425085,2400.0,,,0
210,StreamingRandomPatchesExecutorMAXChunk,covtypeNorm,4,500,37,35.009334564208984,4200.0,119.96800231933594,9750.0,125,4.147747747747747,920.8,34.954268165816394,4200.0,497.5970114218221,0.11847547890995765,0
28,StreamingRandomPatchesExecutorMAXChunk,covtypeNorm,4,500,20,20.0073356628418,2400.0,119.95600128173828,15730.0,126,4.191266375545851,959.8,19.97602876548142,2400.0,502.7675547170847,0.20948648113211862,0
136,StreamingRandomPatchesExecutorMAXChunk,covtypeNorm,4,500,4,20.00800323486328,2400.0,119.9520034790039,15843.0,126,3.9197368421052627,893.6999999999999,19.97652758009339,2400.0,470.18028732099026,0.1959084530504126,0
98,StreamingRandomPatchesExecutorMAXChunk,covtypeNorm,4,50,37,34.95252227783203,4200.0,120.16300201416016,940.0,124,,0.0,34.953977263270026,4200.0,,,0
99,StreamingRandomPatchesExecutorMAXChunk,covtypeNorm,4,50,37,34.95252227783203,4200.0,120.16300201416016,940.0,124,,0.0,34.954268165816394,4200.0,,,0
149,StreamingRandomPatchesExecutorMAXChunk,covtypeNorm,4,50,20,19.977191925048828,2400.0,120.13700103759766,1499.0,125,,0.0,19.97602876548142,2400.0,,,0
150,StreamingRandomPatchesExecutorMAXChunk,covtypeNorm,4,50,20,19.977191925048828,2400.0,120.13700103759766,1499.0,125,,0.0,19.97602876548142,2400.0,,,0
44,StreamingRandomPatchesExecutorMAXChunk,covtypeNorm,4,50,4,19.97170639038086,2400.0,120.16999816894533,1497.0,125,,0.0,19.97619503425085,2400.0,,,0
45,StreamingRandomPatchesExecutorMAXChunk,covtypeNorm,4,50,4,19.97170639038086,2400.0,120.16999816894533,1497.0,125,,0.0,19.976361305788153,2400.0,,,0
189,OzaBagExecutorMAXChunk,covtypeNorm,4,2000,81,79.87367248535156,9585.0,120.0019989013672,17168.0,131,3.725210084033614,886.6000000000001,79.87153993992995,9600.0,447.0326564115638,0.046638774795155324,0
197,OzaBagExecutorMAXChunk,covtypeNorm,4,2000,45,45.00900268554688,5400.0,119.97599792480467,24870.0,128,3.7262931034482767,864.5000000000002,44.93933190193239,5400.0,447.0657336465244,0.08278995067528229,0
106,OzaBagExecutorMAXChunk,covtypeNorm,4,2000,9,5.002668380737305,600.0,119.93599700927734,63181.0,128,3.726724137931035,864.6000000000001,4.994713927759788,600.0,446.9683750612983,0.7449472917688305,0
132,OzaBagExecutorMAXChunk,covtypeNorm,4,500,81,80.00199890136719,9600.0,119.99700164794922,4091.0,126,4.101310043668122,939.2,79.87153993992995,9600.0,492.14490806879434,0.05126509459049941,0
142,OzaBagExecutorMAXChunk,covtypeNorm,4,500,45,45.010501861572266,5400.0,119.97200012207033,6848.0,126,4.1157894736842096,938.3999999999999,44.938957915498115,5400.0,493.77949523925776,0.09144064726652922,0
178,OzaBagExecutorMAXChunk,covtypeNorm,4,500,9,5.002668380737305,600.0,119.93599700927734,45731.0,126,4.007762557077625,877.6999999999999,4.994755506717946,600.0,480.6749980595558,0.8011249967659263,0
1,OzaBagExecutorMAXChunk,covtypeNorm,4,50,81,79.98998260498047,9584.0,119.81500244140624,440.0,126,,0.0,79.86400453318223,9584.0,,,0
2,OzaBagExecutorMAXChunk,covtypeNorm,4,50,81,79.98998260498047,9584.0,119.81500244140624,440.0,126,,0.0,79.86200804953044,9584.0,,,0
29,OzaBagExecutorMAXChunk,covtypeNorm,4,50,45,44.94269943237305,5400.0,120.15299987792967,688.0,125,,0.0,44.93596624809646,5400.0,,,0
30,OzaBagExecutorMAXChunk,covtypeNorm,4,50,45,44.94269943237305,5400.0,120.15299987792967,688.0,125,,0.0,44.93596624809646,5400.0,,,0
227,OzaBagExecutorMAXChunk,covtypeNorm,4,50,9,4.99808406829834,600.0,120.0459976196289,5148.0,126,,0.0,4.994713927759788,600.0,,,0
228,OzaBagExecutorMAXChunk,covtypeNorm,4,50,9,4.99808406829834,600.0,120.0459976196289,5148.0,126,,0.0,4.994755506717946,600.0,,,0
174,OzaBagAdwinExecutorMAXChunk,covtypeNorm,4,2000,72,66.3938980102539,8000.0,120.49299621582033,19298.0,125,3.7283783783783786,827.7,69.89457568168014,8400.0,449.2434818370923,0.056155435229636536,0
72,OzaBagAdwinExecutorMAXChunk,covtypeNorm,4,2000,40,40.00700378417969,4800.0,119.97899627685548,26766.0,128,3.7241379310344835,864.0000000000002,39.94407829039345,4800.0,446.8183309620826,0.09308715228376721,0
186,OzaBagAdwinExecutorMAXChunk,covtypeNorm,4,2000,8,5.002626419067383,600.0,119.93699645996094,63524.0,129,3.7239316239316245,871.4000000000001,4.994713927759788,600.0,446.6371739966238,0.744395289994373,0
4,OzaBagAdwinExecutorMAXChunk,covtypeNorm,4,500,72,70.00116729736328,8400.0,119.9980010986328,5032.0,127,4.031601731601731,931.3,69.891086390375,8400.0,483.7841490179945,0.05759335107357077,0
133,OzaBagAdwinExecutorMAXChunk,covtypeNorm,4,500,40,40.00766754150391,4800.0,119.97699737548828,7628.0,126,4.09650655021834,938.0999999999999,39.94407829039345,4800.0,491.48655562421635,0.10239303242171174,0
165,OzaBagAdwinExecutorMAXChunk,covtypeNorm,4,500,8,5.002793312072754,600.0,119.93299865722656,45779.0,126,4.004824561403509,913.0999999999999,4.994672349493873,600.0,480.310618745235,0.800517697908725,0
41,OzaBagAdwinExecutorMAXChunk,covtypeNorm,4,50,72,69.93880462646484,8400.0,120.1050033569336,502.0,125,,0.0,69.88643454386622,8400.0,,,0
42,OzaBagAdwinExecutorMAXChunk,covtypeNorm,4,50,72,69.93880462646484,8400.0,120.1050033569336,502.0,125,,0.0,69.89050487569475,8400.0,,,0
138,OzaBagAdwinExecutorMAXChunk,covtypeNorm,4,50,40,39.9500617980957,4800.0,120.1500015258789,775.0,126,,0.0,39.94507552115841,4800.0,,,0
139,OzaBagAdwinExecutorMAXChunk,covtypeNorm,4,50,40,39.9500617980957,4800.0,120.1500015258789,775.0,126,,0.0,39.946072801717676,4800.0,,,0
48,OzaBagAdwinExecutorMAXChunk,covtypeNorm,4,50,8,4.997001647949219,600.0,120.0719985961914,5178.0,125,,0.0,4.994713927759788,600.0,,,0
49,OzaBagAdwinExecutorMAXChunk,covtypeNorm,4,50,8,4.997001647949219,600.0,120.0719985961914,5178.0,125,,0.0,4.994755506717946,600.0,,,0
37,OzaBagASHTExecutorMAXChunk,covtypeNorm,4,2000,60,60.00400161743164,7200.0,119.99199676513672,19574.0,128,3.7241379310344835,864.0000000000002,59.910134797803295,7200.0,446.8667465736127,0.06206482591300177,0
26,OzaBagASHTExecutorMAXChunk,covtypeNorm,4,2000,33,30.009252548217773,3600.0,119.96299743652344,34419.0,129,3.7269230769230774,872.1000000000001,29.962297442385,3600.0,447.0928635230432,0.12419246208973422,0
151,OzaBagASHTExecutorMAXChunk,covtypeNorm,4,2000,6,5.002501010894775,600.0,119.94000244140624,63103.0,129,3.7243589743589753,871.5000000000002,4.994589195038708,600.0,446.69962447728875,0.7444993741288146,0
8,OzaBagASHTExecutorMAXChunk,covtypeNorm,4,500,60,60.00249862670898,7200.0,119.99500274658205,5414.0,126,4.108733624454149,940.9000000000001,59.90664547746429,7200.0,493.0275025513496,0.06847604202102077,0
0,OzaBagASHTExecutorMAXChunk,covtypeNorm,4,500,33,30.009504318237305,3600.0,119.96199798583984,9301.0,125,4.227753303964757,959.6999999999999,29.962297442385,3600.0,507.16973333484793,0.14088048148190221,0
128,OzaBagASHTExecutorMAXChunk,covtypeNorm,4,500,6,5.00275182723999,600.0,119.93399810791016,45521.0,126,4.037280701754386,920.5,4.994755506717946,600.0,484.20721604531275,0.8070120267421879,0
82,OzaBagASHTExecutorMAXChunk,covtypeNorm,4,50,60,59.915618896484375,7200.0,120.16899871826172,549.0,126,,0.0,59.90614703630978,7200.0,,,0
83,OzaBagASHTExecutorMAXChunk,covtypeNorm,4,50,60,59.915618896484375,7200.0,120.16899871826172,549.0,126,,0.0,59.90614703630978,7200.0,,,0
87,OzaBagASHTExecutorMAXChunk,covtypeNorm,4,50,33,29.97551918029785,3600.0,120.0979995727539,908.0,125,,0.0,29.96105063417557,3600.0,,,0
88,OzaBagASHTExecutorMAXChunk,covtypeNorm,4,50,33,29.97551918029785,3600.0,120.0979995727539,908.0,125,,0.0,29.962048072441572,3600.0,,,0
89,OzaBagASHTExecutorMAXChunk,covtypeNorm,4,50,6,4.998292446136475,600.0,120.04100036621094,5146.0,126,,0.0,4.994672349493873,600.0,,,0
90,OzaBagASHTExecutorMAXChunk,covtypeNorm,4,50,6,4.998292446136475,600.0,120.04100036621094,5146.0,126,,0.0,4.994713927759788,600.0,,,0
17,LBagExecutorMAXChunk,covtypeNorm,4,2000,63,60.00350189208984,7200.0,119.99299621582033,22098.0,128,4.019642857142858,900.4000000000002,59.90863932502933,7200.0,482.32899014609217,0.06699013752029058,0
145,LBagExecutorMAXChunk,covtypeNorm,4,2000,35,33.14385986328125,4000.0,120.68599700927734,36422.0,126,4.100436681222707,938.9999999999999,34.954268165816394,4200.0,494.8652890467747,0.12371632226169367,0
86,LBagExecutorMAXChunk,covtypeNorm,4,2000,7,5.00287675857544,600.0,119.93099975585938,63891.0,129,4.061965811965812,950.5,4.994797086368366,600.0,487.1556208031809,0.8119260346719682,0
127,LBagExecutorMAXChunk,covtypeNorm,4,500,63,59.98283386230469,7198.0,120.0009994506836,5531.0,126,4.05414847161572,928.4,59.904651762611174,7200.0,486.5018685153478,0.06758847853783659,0
212,LBagExecutorMAXChunk,covtypeNorm,4,500,35,35.0081672668457,4200.0,119.97200012207033,8600.0,126,4.156768558951965,951.9000000000001,34.95281370150297,4200.0,498.69583806200325,0.11873710430047696,0
213,LBagExecutorMAXChunk,covtypeNorm,4,500,7,5.002626419067383,600.0,119.93699645996094,46334.0,125,3.8946902654867266,880.2000000000002,4.994713927759788,600.0,467.11745258432586,0.7785290876405431,0
168,LBagExecutorMAXChunk,covtypeNorm,4,50,63,59.88272857666016,7200.0,120.23500061035156,559.0,125,,0.0,59.90515017888344,7200.0,,,0
