dataset,size,LBag-100,LBag-150,ARF-100,ARF-150,SRP-100,SRP-150,OBAdwin-100,OBAdwin-150,OBASHT-100,OBASHT-150,OB-100,OB-150
Airlines,B1,1214.26,1611.74,1595.87,2228.68,1745.86,2485.18,1040.10,1337.43,1165.38,1499.49,512.10,699.88
Airlines,B50,793.10,1056.62,895.67,1294.31,891.80,1255.72,442.25,530.05,256.12,356.82,230.52,330.61
Airlines,B500,388.75,497.99,637.78,925.47,691.25,1017.78,246.44,335.44,150.64,230.47,164.73,245.19
Airlines,B2k,285.79,406.85,589.97,897.89,650.19,968.36,192.63,271.18,144.85,223.60,152.63,232.81
GMSC,B1,176.89,247.17,222.44,311.86,385.88,526.25,95.80,141.18,80.63,111.66,100.19,143.77
GMSC,B50,54.10,82.42,80.81,112.66,117.85,164.17,23.20,34.23,18.78,23.91,32.46,45.84
GMSC,B500,43.01,66.92,56.08,87.09,90.20,143.46,16.49,24.62,11.97,14.13,18.46,24.66
GMSC,B2k,43.10,67.57,53.99,84.36,88.93,138.85,15.23,24.20,9.62,12.92,15.13,23.67
Electricity,B1,52.36,68.86,63.83,87.28,112.70,156.21,37.37,49.67,38.41,54.18,31.81,43.69
Electricity,B50,18.08,27.30,26.02,36.09,45.68,57.97,11.71,15.68,12.26,16.32,11.28,15.53
Electricity,B500,12.32,17.87,18.28,25.47,34.63,52.46,7.09,9.96,7.64,10.45,7.18,9.66
Electricity,B2k,11.69,17.15,17.85,23.73,33.32,49.61,6.46,9.12,6.68,9.03,5.55,8.42
Covertype,B1,1865.86,2601.87,1279.79,1722.16,3652.05,4827.71,1460.05,1986.71,1464.17,2064.24,1410.17,1943.88
Covertype,B50,591.90,863.79,410.03,537.85,1005.78,1438.25,624.48,866.30,645.78,931.18,626.99,830.55
Covertype,B500,461.46,696.23,255.34,444.90,863.56,1323.39,339.24,548.96,434.16,571.08,361.01,539.03
Covertype,B2k,469.40,699.06,287.04,440.19,883.68,1312.20,361.02,533.25,399.68,608.26,314.18,480.07
