dataset,algorithm,ensemble_size,cores,batch_size,instances,time,acc,prec,recall,change
covtypeNorm,StreamingRandomPatchesExecutorMAXChunk,25,4,50,2,600.0,60.15700149536133,70.72727272727273,?,?,0
airlines,StreamingRandomPatchesExecutorMAXChunk,25,4,50,40,2250.0,60.691001892089844,74.72727272727273,62.87275799607796,54.533367150092616,0
GMSC,StreamingRandomPatchesExecutorMAXChunk,25,4,500,328,19500.0,61.06399917602539,93.62631578947368,77.5633919301765,51.36785737397269,0
covtypeNorm,OzaBagAdwinExecutorMAXChunk,25,4,500,19,901.0,60.08300018310547,54.3640897755611,?,?,0
GMSC,OzaBagASHTExecutorMAXChunk,25,4,2000,1263,8000.0,170.5709991455078,93.43333333333334,75.1,51.4,
covtypeNorm,OzaBagAdwinExecutorMAXChunk,25,4,500,21,1201.0,60.084999084472656,48.21683309557774,?,?,0
covtypeNorm,AdaptiveRandomForestExecutorMAXChunk,25,4,500,66,3901.0,60.117000579833984,53.66068803293149,48.310444032963005,?,0
covtypeNorm,StreamingRandomPatchesExecutorMAXChunk,25,4,50,5,1500.0,60.14799880981445,66.89655172413794,?,?,0
GMSC,OzaBagAdwinExecutorMAXChunk,25,4,2000,991,59203.0,60.02799987792969,93.36398440641224,76.09401674781657,52.134178917552454,0
elecNormNew,LBagExecutorMAXChunk,25,4,2000,164,9601.0,60.13999938964844,78.27917379292198,78.69379939105872,77.12079943025417,5.0
GMSC,OzaBagAdwinExecutorMAXChunk,25,4,2000,502,30000.0,60.68600082397461,93.60000000000001,75.77620516340171,53.2234302835237,0
covtypeNorm,OzaBagAdwinExecutorMAXChunk,25,4,50,19,900.0,60.016998291015625,63.05882352941177,?,?,0
elecNormNew,AdaptiveRandomForestExecutorMAXChunk,25,4,50,365,20050.0,60.047000885009766,82.035,82.01161371673268,81.29886694715309,0
airlines,LBagExecutorMAXChunk,25,4,2000,53
airlines,OzaBagExecutorMAXChunk,25,4,50,20,1200.0,60.0099983215332,74.0,54.0749290507277,52.18888888888888,0
covtypeNorm,StreamingRandomPatchesExecutorMAXChunk,25,4,500,21,1201.0,60.09000015258789,56.06276747503567,?,?,0
GMSC,OzaBagASHTExecutorMAXChunk,25,4,2000,2275,130000.0,60.2869987487793,93.42265625,75.7,51.2,
elecNormNew,StreamingRandomPatchesExecutorMAXChunk,25,4,50,30,1800.0,60.06700134277344,81.71428571428572,81.12554256217945,80.58205996676816,0
airlines,StreamingRandomPatchesExecutorMAXChunk,25,4,500,74,2000.0,60.72200012207031,73.8,59.42293142582022,52.89708646616541,0
elecNormNew,AdaptiveRandomForestExecutorMAXChunk,25,4,2000,49
elecNormNew,OzaBagASHTExecutorMAXChunk,25,4,2000,233,13801.0,60.14899826049805,80.43386153715787,80.27059403175132,80.31211683113068,0
covtypeNorm,StreamingRandomPatchesExecutorMAXChunk,25,4,500,72,4000.0,60.736000061035156,53.65714285714286,49.84019641203669,?,0
elecNormNew,OzaBagASHTExecutorMAXChunk,25,4,50,690,41300.0,60.005001068115234,79.53939393939395,79.40102810628986,78.35704528940106,0
GMSC,OzaBagASHTExecutorMAXChunk,25,4,50,1087,64884.0,60.03900146484375,93.32140543541969,75.5,51.8,
covtypeNorm,OzaBagAdwinExecutorMAXChunk,25,4,50,43,2400.0,60.180999755859375,64.80851063829786,?,?,0
elecNormNew,LBagExecutorMAXChunk,25,4,50,158,18569.0,119.8550033569336,82.90944435444678,82.70694398596663,82.42356078659478,367.0
covtypeNorm,AdaptiveRandomForestExecutorMAXChunk,25,4,50,158,9300.0,60.117000579833984,71.6,60.07152602939503,?,0
airlines,OzaBagAdwinExecutorMAXChunk,25,4,2000,102,6000.0,67.91799926757812,60.875,58.441658838836155,54.49878542510122,0
elecNormNew,OzaBagAdwinExecutorMAXChunk,25,4,500,411,24500.0,60.09000015258789,78.73333333333333,78.6997045000624,77.46684524217093,0
elecNormNew,StreamingRandomPatchesExecutorMAXChunk,25,4,500,30,1801.0,60.104000091552734,80.16910069177555,80.62153363877502,76.69487071683834,0
GMSC,OzaBagAdwinExecutorMAXChunk,25,4,2000,1784,102000.0,60.388999938964844,93.477,78.1223765810996,52.64034455029254,0
GMSC,OzaBagASHTExecutorMAXChunk,25,4,50,816,48800.0,60.00899887084961,93.3825641025641,75.3,51.8,
GMSC,StreamingRandomPatchesExecutorMAXChunk,25,4,500,182,10500.0,61.604000091552734,93.4,67.21241276262323,50.61641225359171,0
covtypeNorm,OzaBagASHTExecutorMAXChunk,25,4,50,38,2100.0,60.20800018310547,63.707317073170735,?,?,0
elecNormNew,LBagExecutorMAXChunk,25,4,2000,66,3901.0,60.11800003051758,75.4339821146765,76.09534743863102,71.98840484904882,2.0
GMSC,StreamingRandomPatchesExecutorMAXChunk,25,4,50,9,300.0,60.138999938964844,94.39999999999999,?,50.0,0
elecNormNew,StreamingRandomPatchesExecutorMAXChunk,25,4,50,55,6600.0,120.18099975585938,82.06106870229007,81.5210843373494,80.60607038431067,0
elecNormNew,LBagExecutorMAXChunk,25,4,2000,598,28000.0,60.36899948120117,74.75,?,48.12188329949232,15.0
covtypeNorm,AdaptiveRandomForestExecutorMAXChunk,25,4,500,35,2101.0,60.09600067138672,48.53216739537789,?,?,0
GMSC,AdaptiveRandomForestExecutorMAXChunk,25,4,50,155,9301.0,60.13800048828125,93.54664360609664,64.69283317643082,51.202561756054685,0
elecNormNew,AdaptiveRandomForestExecutorMAXChunk,25,4,2000,83,4801.0,60.125999450683594,76.7583006069261,81.86127291825821,71.37091350465015,0
GMSC,OzaBagExecutorMAXChunk,25,4,500,247,14701.0,60.14899826049805,93.60608407858602,74.8796667497874,53.18141867142838,0
covtypeNorm,LBagExecutorMAXChunk,25,4,50,77,4500.0,60.21900177001953,71.19101123595506,?,?,74.0
elecNormNew,AdaptiveRandomForestExecutorMAXChunk,25,4,2000,46
covtypeNorm,StreamingRandomPatchesExecutorMAXChunk,25,4,2000,72,4000.0,76.43199920654297,32.75,?,?,0
GMSC,StreamingRandomPatchesExecutorMAXChunk,25,4,2000,36
elecNormNew,StreamingRandomPatchesExecutorMAXChunk,25,4,500,54,3000.0,61.36000061035156,78.16,77.3808848553602,75.98222191123874,0
covtypeNorm,OzaBagASHTExecutorMAXChunk,25,4,2000,205,10000.0,61.38600158691406,48.625,?,36.10328051484905,0
elecNormNew,LBagExecutorMAXChunk,25,4,500,67,3901.0,60.11899948120117,78.59453102028814,77.55663233734089,77.190372349125,8.0
GMSC,OzaBagASHTExecutorMAXChunk,25,4,50,217,12901.0,60.13199996948242,93.48688817990818,75.7,51.6,
elecNormNew,LBagExecutorMAXChunk,25,4,500,175,10500.0,60.32899856567383,79.75999999999999,79.43441500643706,79.47527051731804,21.0
covtypeNorm,AdaptiveRandomForestExecutorMAXChunk,25,4,2000,114,6000.0,61.80799865722656,44.75,36.503494644625874,?,0
elecNormNew,StreamingRandomPatchesExecutorMAXChunk,25,4,50,54,3000.0,60.00199890136719,81.35593220338984,80.99605670360388,79.73163841807909,0
elecNormNew,AdaptiveRandomForestExecutorMAXChunk,25,4,500,50,3000.0,60.87099838256836,76.44,75.34920552045807,74.49903251242662,0
elecNormNew,OzaBagASHTExecutorMAXChunk,25,4,500,439,26000.0,60.117000579833984,78.92549019607843,79.0597908590914,77.53744095470347,0
elecNormNew,OzaBagASHTExecutorMAXChunk,25,4,50,230,27554.0,119.89399719238281,81.08638743455498,81.17293950231904,79.92446327928555,0
covtypeNorm,LBagExecutorMAXChunk,25,4,50,15,900.0,60.448001861572266,63.64705882352941,?,?,2.0
covtypeNorm,OzaBagASHTExecutorMAXChunk,25,4,50,103,6000.0,60.1879997253418,64.2016806722689,?,?,0
GMSC,LBagExecutorMAXChunk,25,4,2000,21,1201.0,60.090999603271484,94.25478767693589,?,50.0,0.0
elecNormNew,StreamingRandomPatchesExecutorMAXChunk,25,4,50,98,5700.0,60.12300109863281,82.14159292035397,81.73072656588653,80.47393333857814,0
airlines,OzaBagASHTExecutorMAXChunk,25,4,500,23,1201.0,60.07099914550781,73.1811697574893,54.66231924031679,52.783462714655386,0
covtypeNorm,StreamingRandomPatchesExecutorMAXChunk,25,4,500,8,301.0,60.077999114990234,0.0,?,?,0
covtypeNorm,OzaBagAdwinExecutorMAXChunk,25,4,2000,107,6000.0,66.77200317382812,47.5,?,?,0
elecNormNew,OzaBagExecutorMAXChunk,25,4,2000,758,42680.0,60.005001068115234,75.89724680432644,?,49.906913612253874,0
airlines,AdaptiveRandomForestExecutorMAXChunk,25,4,500,40,2401.0,60.099998474121094,72.59337190952131,60.67821471164494,55.73364989608318,0
GMSC,AdaptiveRandomForestExecutorMAXChunk,25,4,50,333,19750.0,60.02199935913086,93.58883248730965,73.07312300939952,51.62788410391421,0
elecNormNew,LBagExecutorMAXChunk,25,4,2000,332,17558.0,60.16400146484375,77.8056305437717,?,?,9.0
elecNormNew,OzaBagASHTExecutorMAXChunk,25,4,50,387,23100.0,60.01100158691406,82.52494577006507,82.8085247884267,81.41682397023767,0
elecNormNew,OzaBagAdwinExecutorMAXChunk,25,4,50,117,6901.0,60.137001037597656,84.01693183476866,83.24273734651094,83.43572910656559,0
airlines,StreamingRandomPatchesExecutorMAXChunk,25,4,500,8,301.0,60.08000183105469,79.06976744186046,?,50.0,0
covtypeNorm,OzaBagExecutorMAXChunk,25,4,500,200,11500.0,62.60900115966797,55.29090909090909,43.98984153074555,44.70692721445239,0
covtypeNorm,AdaptiveRandomForestExecutorMAXChunk,25,4,2000,65,3901.0,60.108001708984375,33.193056286165174,?,?,0
covtypeNorm,OzaBagAdwinExecutorMAXChunk,25,4,2000,24,1201.0,60.0890007019043,0.0,?,?,0
airlines,OzaBagASHTExecutorMAXChunk,25,4,50,209,9950.0,60.290000915527344,63.59595959595959,62.66182368853925,59.142270305061004,0
covtypeNorm,StreamingRandomPatchesExecutorMAXChunk,25,4,50,12,600.0,60.19300079345703,69.81818181818183,?,?,0
airlines,OzaBagExecutorMAXChunk,25,4,2000,21,1201.0,60.09600067138672,77.85179017485429,?,50.0,0
covtypeNorm,LBagExecutorMAXChunk,25,4,500,172,9345.0,60.000999450683594,55.172413793103445,?,44.47283450959662,18.0
GMSC,AdaptiveRandomForestExecutorMAXChunk,25,4,500,161,9601.0,60.132999420166016,93.61608614437974,73.04483222419624,51.84928737328317,0
elecNormNew,OzaBagAdwinExecutorMAXChunk,25,4,500,45,2701.0,60.10900115966797,77.10131758291685,76.83264634230996,77.96404937182857,0
elecNormNew,OzaBagAdwinExecutorMAXChunk,25,4,50,589,35000.0,60.02899932861328,79.27896995708154,79.19494564680517,77.96626807585476,0
covtypeNorm,AdaptiveRandomForestExecutorMAXChunk,25,4,2000,54
elecNormNew,StreamingRandomPatchesExecutorMAXChunk,25,4,2000,6,301.0,60.08000183105469,39.8671096345515,?,50.0,0
GMSC,OzaBagASHTExecutorMAXChunk,25,4,2000,411,24601.0,60.15599822998047,93.50028759789389,75.3,51.2,
airlines,OzaBagExecutorMAXChunk,25,4,2000,105,6000.0,64.90599822998047,61.45,59.83483583159628,54.79838056680162,0
