arch,dataset,algorithm,ensemble_size,cores,chunk_size,time,accuracy,precision,recall
AMD-SCAL,airlines,AdaptiveRandomForestExecutorMAXChunk,100,128,50,652.9329833984375,66.34528204281955,65.97069494960894,65.18240556638486
AMD-SCAL,airlines,AdaptiveRandomForestExecutorMAXChunk,100,16,50,650.4530029296875,66.34379872917103,65.9656080030698,65.18851954746037
AMD-SCAL,airlines,AdaptiveRandomForestExecutorMAXChunk,100,2,50,1647.3509521484375,66.32878017847972,65.9542030623215,65.16339173899104
AMD-SCAL,airlines,AdaptiveRandomForestExecutorMAXChunk,100,32,50,647.3460083007812,66.36901506119595,65.99721001188273,65.20376322372272
AMD-SCAL,airlines,AdaptiveRandomForestExecutorMAXChunk,100,4,50,1078.76904296875,66.34194458711038,65.96662860311713,65.18013333939913
AMD-SCAL,airlines,AdaptiveRandomForestExecutorMAXChunk,100,64,50,645.1810302734375,66.32470106594627,65.94976413724525,65.15946820444181
AMD-SCAL,airlines,AdaptiveRandomForestExecutorMAXChunk,100,8,50,630.6580200195312,66.35158612582579,65.97236546579414,65.19975796020691
AMD-SCAL,airlines,AdaptiveRandomForestExecutorMAXChunk,100,96,50,656.7490234375,66.39052310909958,66.01345685542917,65.2398599269501
AMD-SCAL,airlines,AdaptiveRandomForestExecutorRUNPER,100,128,1,1335.114013671875,66.45315110042401,66.08293954939022,65.29619745002194
AMD-SCAL,airlines,AdaptiveRandomForestExecutorRUNPER,100,16,1,1140.5670166015625,66.45315110042401,66.08293954939022,65.29619745002194
AMD-SCAL,airlines,AdaptiveRandomForestExecutorRUNPER,100,2,1,1851.4830322265625,66.45315110042401,66.08293954939022,65.29619745002194
AMD-SCAL,airlines,AdaptiveRandomForestExecutorRUNPER,100,32,1,1151.52197265625,66.45315110042401,66.08293954939022,65.29619745002194
AMD-SCAL,airlines,AdaptiveRandomForestExecutorRUNPER,100,4,1,1502.031005859375,66.45315110042401,66.08293954939022,65.29619745002194
