arch,dataset,algorithm,ensemble_size,cores,chunk_size,time,accuracy,precision,recall
Cloud,airlines,AdaptiveRandomForestExecutorMAXChunk,100,8,2000,497.7969970703125,65.1343641313551,64.69116513230155,63.99842418081805
Cloud,airlines,AdaptiveRandomForestExecutorMAXChunk,100,8,50,734.7130126953125,66.33545508989808,65.95978703234253,65.17342238379354
Cloud,airlines,AdaptiveRandomForestExecutorMAXChunk,100,8,500,515.0330200195312,66.03585564955658,65.64436045116932,64.87769026134825
Cloud,airlines,AdaptiveRandomForestExecutorMAXChunk,150,8,2000,743.4710083007812,65.17995545076789,64.74692498768803,64.02349753173607
Cloud,airlines,AdaptiveRandomForestExecutorMAXChunk,150,8,50,1057.56298828125,66.38347736926909,66.0115495645546,65.22065151695145
Cloud,airlines,AdaptiveRandomForestExecutorMAXChunk,150,8,500,745.3870239257812,66.0510723106871,65.67037400866633,64.87120721704073
Cloud,airlines,AdaptiveRandomForestExecutorRUNPER,100,8,1,977.2979736328125,66.45315110042401,66.08293954939022,65.29619745002194
Cloud,airlines,AdaptiveRandomForestExecutorRUNPER,150,8,1,1417.2760009765625,66.4075434338865,66.03779411314883,65.24283357919052
Cloud,airlines,AdaptiveRandomForestSequential,100,1,1,2734.007080078125,66.41458852058742,66.04330383595975,65.25418108381913
Cloud,airlines,AdaptiveRandomForestSequential,150,1,1,4000.89208984375,66.48281462337523,66.12177075039195,65.31114996110222
Cloud,airlines,LBagExecutorMAXChunk,100,8,2000,265.97100830078125,65.87071046162608,65.65366293995045,64.43924632758123
Cloud,airlines,LBagExecutorMAXChunk,100,8,50,648.1160278320312,63.49435321035427,62.94420000681228,62.25369972304622
Cloud,airlines,LBagExecutorMAXChunk,100,8,500,365.3190002441406,64.83373942024521,64.33954659537424,63.759505237342104
Cloud,airlines,LBagExecutorMAXChunk,150,8,2000,363.9200134277344,65.87015220057204,65.79217465590692,64.28357581145745
Cloud,airlines,LBagExecutorMAXChunk,150,8,50,914.5599975585938,63.44410596051048,62.871542692535385,62.32417806816646
Cloud,airlines,LBagExecutorMAXChunk,150,8,500,463.5360107421875,65.34331199907957,64.91580522187385,64.15461728371635
Cloud,airlines,LBagExecutorRUNPER,100,8,1,861.9920043945312,63.51052962366259,62.95714567656994,62.28900522537493
Cloud,airlines,LBagExecutorRUNPER,150,8,1,1140.2640380859375,63.583761445948426,63.0237149022624,62.42812261412447
Cloud,airlines,LeveragingBag,100,1,1,3003.904052734375,63.5064508892568,62.952776923560315,62.284959237423834
Cloud,airlines,LeveragingBag,150,1,1,4248.9169921875,63.55724967231077,62.9946199463157,62.408190930073225
Cloud,airlines,OzaBag,100,1,1,283.36199951171875,65.07361188617364,65.95395312608329,62.70690503742987
