arch,dataset,algorithm,ensemble_size,cores,chunk_size,time,accuracy,precision,recall
Xeon,airlines,AdaptiveRandomForestExecutorMAXChunk,100,8,2000,563.5369873046875,65.13659717557124,64.69510043634146,63.99602312994532
Xeon,airlines,AdaptiveRandomForestExecutorMAXChunk,100,8,50,902.844970703125,66.38051074197203,66.0105564376159,65.21306368535451
Xeon,airlines,AdaptiveRandomForestExecutorMAXChunk,100,8,500,638.9990234375,66.0202678503497,65.62647152041338,64.86493706226094
Xeon,airlines,AdaptiveRandomForestExecutorMAXChunk,150,8,2000,886.9650268554688,65.17269805706545,64.73829480593372,64.01868784369098
Xeon,airlines,AdaptiveRandomForestExecutorMAXChunk,150,8,50,1297.72705078125,66.33879254560726,65.96636355860053,65.17033124511606
Xeon,airlines,AdaptiveRandomForestExecutorMAXChunk,150,8,500,943.4290161132812,66.05181458683982,65.66607286072195,64.88314413214582
Xeon,airlines,AdaptiveRandomForestExecutorRUNPER,100,8,1,1607.135986328125,66.45315110042401,66.08293954939022,65.29619745002194
Xeon,airlines,AdaptiveRandomForestExecutorRUNPER,150,8,1,2232.262939453125,66.4075434338865,66.03779411314883,65.24283357919052
Xeon,airlines,AdaptiveRandomForestSequential,100,1,1,3000.23095703125,66.41458852058742,66.04330383595975,65.25418108381913
Xeon,airlines,AdaptiveRandomForestSequential,150,1,1,4465.37890625,66.48281462337523,66.12177075039195,65.31114996110222
Xeon,airlines,LBagExecutorMAXChunk,100,8,2000,289.09698486328125,65.8580565444013,65.63555603520716,64.43183382055986
Xeon,airlines,LBagExecutorMAXChunk,100,8,50,802.1810302734375,63.46450152317771,62.91152259981694,62.22707088972381
Xeon,airlines,LBagExecutorMAXChunk,100,8,500,392.68798828125,64.82241970891641,64.32746858484651,63.74872377924612
Xeon,airlines,LBagExecutorMAXChunk,150,8,2000,409.2489929199219,65.84558871419453,65.76157432400599,64.26184482706662
Xeon,airlines,LBagExecutorMAXChunk,150,8,50,1053.41796875,63.43668939226785,62.86331951106106,62.32060257687916
Xeon,airlines,LBagExecutorMAXChunk,150,8,500,502.7309875488281,65.35593069367562,64.92077499995852,64.18984002745631
Xeon,airlines,LBagExecutorRUNPER,100,8,1,1213.0450439453125,63.51052962366259,62.95714567656994,62.28900522537493
Xeon,airlines,LBagExecutorRUNPER,150,8,1,1612.2449951171875,63.583761445948426,63.0237149022624,62.42812261412447
Xeon,airlines,LeveragingBag,100,1,1,3317.240966796875,63.5064508892568,62.952776923560315,62.284959237423834
Xeon,airlines,LeveragingBag,150,1,1,4637.7412109375,63.55724967231077,62.9946199463157,62.408190930073225
Xeon,airlines,OBExecutorMAXChunk,100,8,2000,152.63499450683594,64.9067797083272,65.76760925806906,62.57727296029954
Xeon,airlines,OBExecutorMAXChunk,100,8,50,230.51600646972656,65.0926236666401,65.96598042390984,62.73263114696109
Xeon,airlines,OBExecutorMAXChunk,100,8,500,164.73300170898438,65.04528812376714,65.92095682632899,62.69118034048367
Xeon,airlines,OBExecutorMAXChunk,150,8,2000,232.80599975585938,64.92073623467806,65.78362898688931,62.592183255224796
Xeon,airlines,OBExecutorMAXChunk,150,8,50,330.6130065917969,65.06203032263926,65.93266950349022,62.69906952385723
Xeon,airlines,OBExecutorMAXChunk,150,8,500,245.18600463867188,65.04751495222524,65.92030449628359,62.69506675186456
Xeon,airlines,OzaBag,100,1,1,317.1059875488281,65.07361188617364,65.95395312608329,62.70690503742987
Xeon,airlines,OzaBag,150,1,1,502.52099609375,65.08010078181923,65.95909692574529,62.71492573566071
Xeon,airlines,OzaBagAdwin,100,1,1,1049.3160400390625,66.57514233856091,66.30346136413216,65.26324161120071
Xeon,airlines,OzaBagAdwin,150,1,1,1533.7239990234375,66.60239570027234,66.35767336757435,65.25575237552847
