arch,dataset,algorithm,ensemble_size,cores,chunk_size,time,accuracy,precision,recall
dell,elecNormNew,AdaptiveRandomForestExecutorMAXChunk,50,4,50,20.003000259399414,79.88374851720047,79.60383559531601,78.96047046927181
dell,elecNormNew,AdaptiveRandomForestExecutorRUNPER,50,4,1,20.0,89.46739093300536,89.50538218787952,88.86471356778847
dell,elecNormNew,AdaptiveRandomForestSequential,50,1,1,20.0,89.65689843465599,89.61222954418606,89.24235510981579
dell,elecNormNew,LBagExecutorMAXChunk,50,4,50,15.269000053405762,81.14533162476249,80.92281545549515,80.25076719786632
dell,elecNormNew,LBagExecutorRUNPER,50,4,1,20.0,89.54938454494034,89.59962912183957,88.82820242485056
dell,elecNormNew,LeveragingBag,50,1,1,20.0,89.70547604575344,89.75531634240458,89.01052143308793
dell,elecNormNew,OzaBag,50,1,1,7.422999858856201,82.66242937853107,82.35114482055778,82.0361833676723
dell,elecNormNew,OzaBagAdwin,50,1,1,10.664999961853027,84.67514124293785,84.82387635176734,83.66979241774563
dell,elecNormNew,OzaBagAdwinExecutorMAXChunk,50,4,50,6.810999870300293,80.1113516857408,80.09410113098448,78.89362707634866
dell,elecNormNew,OzaBagAdwinExecutorRUNPER,50,4,1,12.829000473022461,86.10301906779661,86.26484594777631,85.18649737734255
dell,elecNormNew,OzaBagASHT,50,1,1,9.182999610900879,83.49002471751412,83.89994916662606,82.20315695758677
dell,elecNormNew,OzaBagASHTExecutorMAXChunk,50,4,50,6.11899995803833,79.24528301886792,79.47001203822835,77.74040403649674
dell,elecNormNew,OzaBagASHTExecutorRUNPER,50,4,1,11.656999588012695,84.26024011299435,84.45971539417667,83.18387718697456
dell,elecNormNew,OzaBagExecutorMAXChunk,50,4,50,5.9019999504089355,78.7327117670452,78.31736769648865,77.942988813887
dell,elecNormNew,OzaBagExecutorRUNPER,50,4,1,10.852999687194824,82.43511652542372,82.0768286021767,81.88434420306305
dell,elecNormNew,StreamingRandomPatches,50,1,1,20.0,91.90011705033164,91.84950863112657,91.6994130917611
dell,elecNormNew,StreamingRandomPatchesExecutorMAXChunk,50,4,50,20.01799964904785,83.054704595186,83.11573078313216,82.14478709831651
dell,elecNormNew,StreamingRandomPatchesExecutorRUNPER,50,4,1,20.0,91.62564570039503,91.63052789377876,91.38767356314659
dell,elecNormNew,AdaptiveRandomForestExecutorMAXChunk,50,4,50,20.017000198364258,79.86898395721926,79.5307880910683,78.6902914995939
dell,elecNormNew,AdaptiveRandomForestExecutorRUNPER,50,4,1,20.0,90.07699297020707,90.05085459782009,89.75098164060728
dell,elecNormNew,AdaptiveRandomForestSequential,50,1,1,20.000999450683594,89.61230374879847,89.55096118515549,89.38490048888634
dell,elecNormNew,LBagExecutorMAXChunk,50,4,50,13.916999816894531,81.12544739516593,80.92642984445449,80.1979891268626
dell,elecNormNew,LBagExecutorRUNPER,50,4,1,20.0,89.64031875942278,89.65168914280103,89.07917533285948
dell,elecNormNew,LeveragingBag,50,1,1,20.0,89.74842952782612,89.81874516505945,89.10177837204378
dell,elecNormNew,OzaBag,50,1,1,7.761000156402588,82.66242937853107,82.35114482055778,82.0361833676723
dell,elecNormNew,OzaBagAdwin,50,1,1,10.982999801635742,84.67514124293785,84.82387635176734,83.66979241774563
dell,elecNormNew,OzaBagAdwinExecutorMAXChunk,50,4,50,7.244999885559082,80.0207679731342,80.05892248935834,78.74255619942359
dell,elecNormNew,OzaBagAdwinExecutorRUNPER,50,4,1,15.152999877929688,86.10301906779661,86.26484594777631,85.18649737734255
dell,elecNormNew,OzaBagASHT,50,1,1,10.583000183105469,83.49002471751412,83.89994916662606,82.20315695758677
dell,elecNormNew,OzaBagASHTExecutorMAXChunk,50,4,50,5.761000156402588,79.62971145773497,79.77922494829069,78.21982557795312
dell,elecNormNew,OzaBagASHTExecutorRUNPER,50,4,1,13.29699993133545,84.26024011299435,84.45971539417667,83.18387718697456
dell,elecNormNew,OzaBagExecutorMAXChunk,50,4,50,8.0649995803833,79.03981264637002,78.64807552625658,78.23028600472782
dell,elecNormNew,OzaBagExecutorRUNPER,50,4,1,12.333000183105469,82.43511652542372,82.0768286021767,81.88434420306305
dell,elecNormNew,StreamingRandomPatches,50,1,1,20.0,92.04093234792495,92.02309384067442,91.78973886377122
dell,elecNormNew,StreamingRandomPatchesExecutorMAXChunk,50,4,50,20.003999710083008,83.77777777777777,83.77387915225916,83.15444048483656
dell,elecNormNew,StreamingRandomPatchesExecutorRUNPER,50,4,1,20.003000259399414,91.71242167818616,91.70953280947415,91.48729579172785
dell,elecNormNew,AdaptiveRandomForestExecutorMAXChunk,50,4,50,20.0,79.85428571428571,79.72862235578546,78.63515392192267
dell,elecNormNew,AdaptiveRandomForestExecutorRUNPER,50,4,1,20.0,89.23105349059219,89.30499387197229,88.55378228789819
dell,elecNormNew,AdaptiveRandomForestSequential,50,1,1,20.0,89.82104581027866,89.77665097468117,89.50183344920187
dell,elecNormNew,LBagExecutorMAXChunk,50,4,50,14.269000053405762,81.14975034245062,80.9411911613961,80.23685512796644
dell,elecNormNew,LBagExecutorRUNPER,50,4,1,20.0,89.64818913954693,89.67575204530095,89.07300495971869
dell,elecNormNew,LeveragingBag,50,1,1,20.0,89.67968506613045,89.76003076158118,89.01066775886561
dell,elecNormNew,OzaBag,50,1,1,7.886000156402588,82.66242937853107,82.35114482055778,82.0361833676723
dell,elecNormNew,OzaBagAdwin,50,1,1,11.881999969482422,84.67514124293785,84.82387635176734,83.66979241774563
dell,elecNormNew,OzaBagAdwinExecutorMAXChunk,50,4,50,7.314000129699707,80.09588617383235,80.10704219104873,78.84946722374835
dell,elecNormNew,OzaBagAdwinExecutorRUNPER,50,4,1,15.447999954223633,86.10301906779661,86.26484594777631,85.18649737734255
dell,elecNormNew,OzaBagASHT,50,1,1,9.994999885559082,83.49002471751412,83.89994916662606,82.20315695758677
dell,elecNormNew,OzaBagASHTExecutorMAXChunk,50,4,50,5.955999851226807,79.41098493217268,79.56312403540298,77.97926932948923
dell,elecNormNew,OzaBagASHTExecutorRUNPER,50,4,1,12.355999946594238,84.26024011299435,84.45971539417667,83.18387718697456
dell,elecNormNew,OzaBagExecutorMAXChunk,50,4,50,5.710999965667725,78.85201714462463,78.43934073210184,78.06917389334507
dell,elecNormNew,OzaBagExecutorRUNPER,50,4,1,11.501999855041504,82.43511652542372,82.0768286021767,81.88434420306305
dell,elecNormNew,StreamingRandomPatches,50,1,1,20.0,91.89480159950784,91.8441685063961,91.71572917095033
dell,elecNormNew,StreamingRandomPatchesExecutorMAXChunk,50,4,50,20.006999969482422,83.4780487804878,83.64636598029611,82.71111111111111
dell,elecNormNew,StreamingRandomPatchesExecutorRUNPER,50,4,1,20.0,91.27588736527285,91.28457205934993,90.966747315409
