arch,dataset,algorithm,ensemble_size,cores,chunk_size,time,accuracy,precision,recall
seq-batch,airlines,AdaptiveRandomForestSequentialChunk,100,1,2000,2928.027099609375,65.17083718688534,64.72898222023495,64.03803975694802
seq-batch,airlines,AdaptiveRandomForestSequentialChunk,100,1,50,2862.322998046875,66.34954656955907,65.97238765174606,65.19288318621794
seq-batch,airlines,AdaptiveRandomForestSequentialChunk,100,1,500,2845.55810546875,66.0137729340135,65.620941541972,64.85515981007069
seq-batch,airlines,LBagSequentialChunk,100,1,2000,983.77099609375,65.87815394234651,65.66439755378717,64.4435351128404
seq-batch,airlines,LBagSequentialChunk,100,1,50,3055.284912109375,63.484340843226725,62.92052275167232,62.314191234075864
seq-batch,airlines,LBagSequentialChunk,100,1,500,1576.9639892578125,64.86083249981907,64.36895749901868,63.78300315052529
seq-batch,airlines,OzaBagAdwinSequentialChunk,100,1,2000,514.7059936523438,66.23116101551408,66.44870948644541,64.44222363172844
seq-batch,airlines,OzaBagAdwinSequentialChunk,100,1,50,1034.6180419921875,66.54293358648553,66.27286849745599,65.22518055575928
seq-batch,airlines,OzaBagAdwinSequentialChunk,100,1,500,708.1170043945312,66.56843878912491,66.42914510705302,65.10115359800703
seq-batch,airlines,OzaBagASHTSequentialChunk,100,1,2000,428.2650146484375,65.87071046162608,66.13347405722429,64.00547714334155
seq-batch,airlines,OzaBagASHTSequentialChunk,100,1,50,434.7669982910156,68.18236599651793,68.71110895023658,66.36849330717644
seq-batch,airlines,OzaBagASHTSequentialChunk,100,1,500,427.7439880371094,67.77278184689442,68.36749871047847,65.89038731655678
seq-batch,airlines,OzaBagSequentialChunk,100,1,2000,332.9179992675781,64.90789623043528,65.77982353853851,62.57333706304551
seq-batch,airlines,OzaBagSequentialChunk,100,1,50,355.33099365234375,65.06944689088189,65.94897334460416,62.70334102442906
seq-batch,airlines,OzaBagSequentialChunk,100,1,500,348.96099853515625,65.03266942917108,65.90293998839147,62.67934972378254
seq-batch,airlines,StreamingRandomPatchesSequentialChunk,100,1,2000,3126.27294921875,67.13349696585117,66.97470703708362,65.78766683933908
seq-batch,airlines,StreamingRandomPatchesSequentialChunk,100,1,50,3203.60205078125,68.42433153543358,68.32906359674988,67.10629105514965
seq-batch,airlines,StreamingRandomPatchesSequentialChunk,100,1,500,3093.743896484375,68.13482704037797,68.02772074562054,66.81019120231628
seq-batch,covtypeNorm,AdaptiveRandomForestSequentialChunk,100,1,2000,979.9840087890625,84.76525529695412,79.8384554035798,62.69663725653436
seq-batch,covtypeNorm,AdaptiveRandomForestSequentialChunk,100,1,50,1021.1890258789062,89.65560570226624,86.97150582184156,75.207445636172
seq-batch,covtypeNorm,AdaptiveRandomForestSequentialChunk,100,1,500,981.3939819335938,89.18248029325837,84.44865875795878,72.92670776883367
seq-batch,covtypeNorm,LBagSequentialChunk,100,1,2000,1370.2020263671875,85.9818103942578,78.83855899664574,68.53982586555156
seq-batch,covtypeNorm,LBagSequentialChunk,100,1,50,1495.1829833984375,91.87399520106307,85.62280825704546,84.38290701650469
seq-batch,covtypeNorm,LBagSequentialChunk,100,1,500,1465.8160400390625,91.4477220109145,84.9431035735502,80.76488743949606
seq-batch,covtypeNorm,OzaBagAdwinSequentialChunk,100,1,2000,643.9429931640625,82.03284215180342,69.75003174138843,65.07624265020885
seq-batch,covtypeNorm,OzaBagAdwinSequentialChunk,100,1,50,864.1279907226562,83.22661378885367,71.94927663002692,78.54534651646418
seq-batch,covtypeNorm,OzaBagAdwinSequentialChunk,100,1,500,843.4110107421875,84.63649330246403,73.23024011302373,75.37334382742952
seq-batch,covtypeNorm,OzaBagASHTSequentialChunk,100,1,2000,746.2319946289062,76.9602357118678,63.95289252051083,65.10252323523986
seq-batch,covtypeNorm,OzaBagASHTSequentialChunk,100,1,50,787.8489990234375,78.91841462952827,68.55212832434229,74.24822926416913
seq-batch,covtypeNorm,OzaBagASHTSequentialChunk,100,1,500,738.8579711914062,78.9261892949672,67.54108168086427,72.38753028371335
seq-batch,covtypeNorm,OzaBagSequentialChunk,100,1,2000,600.0889892578125,79.3161454339461,65.50307126116107,61.51783218793155
seq-batch,covtypeNorm,OzaBagSequentialChunk,100,1,50,595.5919799804688,83.48050302773675,72.53481207702451,72.18423539593766
seq-batch,covtypeNorm,OzaBagSequentialChunk,100,1,500,596.9970092773438,82.85151728129651,71.39471694607049,69.47689442264758
seq-batch,covtypeNorm,StreamingRandomPatchesSequentialChunk,100,1,2000,3619.958984375,86.79768294957617,82.72772135629761,69.72556418362487
seq-batch,covtypeNorm,StreamingRandomPatchesSequentialChunk,100,1,50,3798.739990234375,93.6806538121254,91.52537601253282,86.47556061486974
seq-batch,covtypeNorm,StreamingRandomPatchesSequentialChunk,100,1,500,3497.01806640625,92.47250702827849,89.29307559262001,82.11280033059202
seq-batch,elecNormNew,AdaptiveRandomForestSequentialChunk,100,1,2000,68.31800079345703,76.51690062800148,76.3763116307458,75.13739327976802
seq-batch,elecNormNew,AdaptiveRandomForestSequentialChunk,100,1,50,71.60600280761719,80.50019884229597,80.24276553605159,79.59809415112188
seq-batch,elecNormNew,AdaptiveRandomForestSequentialChunk,100,1,500,68.18499755859375,78.12193162545746,77.80241326321118,77.07137734955612
seq-batch,elecNormNew,LBagSequentialChunk,100,1,2000,38.334999084472656,75.35094200221648,75.09760968441823,73.98057824852395
seq-batch,elecNormNew,LBagSequentialChunk,100,1,50,41.77899932861328,80.20635411603553,79.96911074872534,79.24926140631486
seq-batch,elecNormNew,LBagSequentialChunk,100,1,500,39.14400100708008,77.71802195840401,77.34890250513679,76.70749357236917
