dataset,size,LBag-100,LBag-150,ARF-100,ARF-150,SRP-100,SRP-150,OBAdwin-100,OBAdwin-150,OBASHT-100,OBASHT-150,OB-100,OB-150
Airlines,B1,859.97,1129.59,1336.02,1424.37,1049.64,1467.89,648.52,1097.30,505.86,662.43,293.57,486.94
Airlines,B50,648.58,910.61,953.80,1059.42,739.67,1070.93,303.19,542.84,129.36,186.71,147.72,254.32
Airlines,B500,360.56,462.20,573.81,759.21,589.29,872.08,220.77,404.44,120.14,174.19,138.67,244.79
Airlines,B2k,263.15,366.86,544.69,734.93,575.75,866.17,181.37,315.21,117.31,171.78,137.91,238.80
GMSC,B1,121.92,125.42,116.21,193.07,231.32,243.99,53.52,98.67,46.19,65.30,85.82,97.16
GMSC,B50,41.55,48.09,52.68,98.85,114.11,133.92,12.15,25.22,9.59,12.39,22.26,26.41
GMSC,B500,41.03,49.31,45.84,91.43,105.03,119.66,13.16,24.29,7.40,10.34,17.06,23.08
GMSC,B2k,40.41,47.85,43.87,84.56,87.50,114.41,13.43,24.94,7.12,9.98,16.27,21.95
Electricity,B1,27.94,37.12,35.70,45.05,76.28,101.48,20.00,27.66,20.65,28.76,17.67,24.55
Electricity,B50,10.72,15.64,15.55,22.17,39.93,54.13,6.22,8.98,6.45,9.14,6.10,8.59
Electricity,B500,9.80,14.34,13.88,19.76,30.48,50.85,5.69,8.16,5.64,8.26,5.26,7.59
Electricity,B2k,9.64,13.74,13.12,19.25,33.90,47.55,5.38,7.87,5.57,8.03,5.13,7.30
Covertype,B1,1191.05,1206.49,764.25,747.30,1637.76,2213.71,918.64,1014.34,679.30,1157.92,668.20,893.88
Covertype,B50,553.40,604.36,348.18,368.99,846.78,1227.48,441.80,562.39,374.57,612.11,314.32,475.36
Covertype,B500,531.14,621.30,310.16,332.57,770.95,1134.29,384.59,500.47,348.92,567.41,278.88,432.87
Covertype,B2k,516.62,622.40,292.50,331.07,759.12,1120.31,376.49,479.20,371.70,586.98,282.49,428.01
