arch,eval,dataset,algorithm,ensemble_size,cores,chunk_size,time,accuracy,precision,recall
i7,Chunks,airlines,AdaptiveRandomForestExecutorCHUNK,100,8,2000,934.2139892578125,64.73930139211697,64.25491599138635,63.663590589949195
i7,Chunks,airlines,AdaptiveRandomForestExecutorCHUNK,100,8,50,1058.009033203125,66.24997914090181,65.85971613846745,65.10744919869475
i7,Chunks,airlines,AdaptiveRandomForestExecutorCHUNK,100,8,500,919.4819946289062,65.90855528936707,65.49817522649101,64.77528095760987
i7,Chunks,airlines,AdaptiveRandomForestExecutorCHUNK,150,8,2000,1332.241943359375,64.73837095702693,64.25879689463022,63.64196173577565
i7,Chunks,airlines,AdaptiveRandomForestExecutorCHUNK,150,8,50,1570.2430419921875,66.32766769324331,65.95513100851754,65.15776226500405
i7,Chunks,airlines,AdaptiveRandomForestExecutorCHUNK,150,8,500,1395.5889892578125,65.91096768686339,65.50820576248131,64.75912688633613
i7,Chunks,airlines,AdaptiveRandomForestExecutorMAXChunk,100,8,2000,860.2030029296875,65.11929108289618,64.67483237326614,63.984167336965605
i7,Chunks,airlines,AdaptiveRandomForestExecutorMAXChunk,100,8,50,1005.7100219726562,66.32674062221298,65.94828161103378,65.16945454934988
i7,Chunks,airlines,AdaptiveRandomForestExecutorMAXChunk,100,8,500,859.3770141601562,65.98983452808865,65.59373171538306,64.83499717265984
i7,Chunks,airlines,AdaptiveRandomForestExecutorMAXChunk,150,8,2000,1284.6290283203125,65.16153283598476,64.72561316910685,64.00966112807882
i7,Chunks,airlines,AdaptiveRandomForestExecutorMAXChunk,150,8,50,1459.2030029296875,66.35992976509874,65.98721817093873,65.19524403873892
i7,Chunks,airlines,AdaptiveRandomForestExecutorMAXChunk,150,8,500,1277.362060546875,66.03028857841127,65.64488384828789,64.85748247609148
i7,Chunks,airlines,LBagExecutorCHUNK,100,8,2000,381.1650085449219,65.86233654581555,65.64102381771303,64.43517113866284
i7,Chunks,airlines,LBagExecutorCHUNK,100,8,50,1103.89501953125,63.450966286134914,62.896277169210244,62.21711879594122
i7,Chunks,airlines,LBagExecutorCHUNK,100,8,500,564.4140014648438,64.88124509401855,64.39058131664208,63.803251564591946
i7,Chunks,airlines,LBagExecutorCHUNK,150,8,2000,523.5250244140625,65.82102522781703,65.73673646072402,64.234359430852
i7,Chunks,airlines,LBagExecutorCHUNK,150,8,50,1500.8280029296875,63.45337667081377,62.88141647658636,62.33282348798279
i7,Chunks,airlines,LBagExecutorCHUNK,150,8,500,722.458984375,65.31603335046754,64.88447111774317,64.13287072070368
i7,Chunks,airlines,LBagExecutorMAXChunk,100,8,2000,374.4549865722656,65.85563741316714,65.63791346206142,64.42300380640931
i7,Chunks,airlines,LBagExecutorMAXChunk,100,8,50,1031.3819580078125,63.48378460060853,62.93522260125308,62.23254321017811
i7,Chunks,airlines,LBagExecutorMAXChunk,100,8,500,564.8159790039062,64.83912092235235,64.34377014642203,63.77199321487581
i7,Chunks,airlines,LBagExecutorMAXChunk,150,8,2000,519.719970703125,65.85079915069885,65.76010621565959,64.27445117113002
i7,Chunks,airlines,LBagExecutorMAXChunk,150,8,50,1517.8370361328125,63.44966838669245,62.877065289825474,62.33341036225109
i7,Chunks,airlines,LBagExecutorMAXChunk,150,8,500,703.8930053710938,65.33384797813254,64.9007742444176,64.15800171411095
i7,Chunks,airlines,OzaBagAdwinExecutorCHUNK,100,8,2000,213.24400329589844,66.262795808576,66.43536322165772,64.51066023844395
i7,Chunks,airlines,OzaBagAdwinExecutorCHUNK,100,8,50,410.6780090332031,67.01629605457111,67.04845035954614,65.42307712991564
i7,Chunks,airlines,OzaBagAdwinExecutorCHUNK,100,8,500,300.0830078125,66.5029329186484,66.36617899161914,65.02471976545262
i7,Chunks,airlines,OzaBagAdwinExecutorCHUNK,150,8,2000,299.8739929199219,66.05419226138527,66.4363055009132,64.13320024660202
i7,Chunks,airlines,OzaBagAdwinExecutorCHUNK,150,8,50,592.093017578125,66.83459013262679,66.80238708621351,65.27848671549022
i7,Chunks,airlines,OzaBagAdwinExecutorCHUNK,150,8,500,399.63800048828125,66.60221235407315,66.51904455709894,65.07972874171013
i7,Chunks,airlines,OzaBagAdwinExecutorMAXChunk,100,8,2000,209.9429931640625,66.24214014957674,66.4038112868471,64.49569929531668
i7,Chunks,airlines,OzaBagAdwinExecutorMAXChunk,100,8,50,416.864990234375,67.04466442809915,67.08237743660031,65.4498833945337
i7,Chunks,airlines,OzaBagAdwinExecutorMAXChunk,100,8,500,290.04400634765625,66.48882967174693,66.33064847555173,65.03286024775551
i7,Chunks,airlines,OzaBagAdwinExecutorMAXChunk,150,8,2000,296.88299560546875,66.07298705020442,66.4590971586535,64.15178978053817
i7,Chunks,airlines,OzaBagAdwinExecutorMAXChunk,150,8,50,614.8889770507812,66.85424403846973,66.84774626067018,65.27659634520231
i7,Chunks,airlines,OzaBagAdwinExecutorMAXChunk,150,8,500,394.52801513671875,66.59608857581331,66.51227623201365,65.07351133364261
i7,Chunks,airlines,OzaBagExecutorCHUNK,100,8,2000,149.81399536132812,64.9015692718229,65.76496434859753,62.57013735987144
i7,Chunks,airlines,OzaBagExecutorCHUNK,100,8,50,158.11199951171875,65.12785236579256,66.03850337984318,62.75534657174251
i7,Chunks,airlines,OzaBagExecutorCHUNK,100,8,500,152.39500427246094,65.05289645433238,65.93528156431117,62.696695556985816
i7,Chunks,airlines,OzaBagExecutorCHUNK,150,8,2000,240.64199829101562,64.90361622902101,65.77425924188813,62.56906769232319
i7,Chunks,airlines,OzaBagExecutorCHUNK,150,8,50,242.90899658203125,65.14046053180502,66.05232987470808,62.76913013912795
i7,Chunks,airlines,OzaBagExecutorCHUNK,150,8,500,241.10299682617188,65.04009219069816,65.92482453377153,62.68102340842322
i7,Chunks,airlines,OzaBagExecutorMAXChunk,100,8,2000,143.12899780273438,64.92557449714636,65.79633219818129,62.59399838899697
i7,Chunks,airlines,OzaBagExecutorMAXChunk,100,8,50,153.7989959716797,65.07704887333058,65.94899713020934,62.7155586288538
i7,Chunks,airlines,OzaBagExecutorMAXChunk,100,8,500,147.3000030517578,65.02487552956764,65.896953916844,62.66962555981098
i7,Chunks,airlines,OzaBagExecutorMAXChunk,150,8,2000,221.81700134277344,64.88184404791369,65.74683063921083,62.546939063071605
i7,Chunks,airlines,OzaBagExecutorMAXChunk,150,8,50,238.75100708007812,65.09151118140369,65.97119380496112,62.728393691543175
i7,Chunks,airlines,OzaBagExecutorMAXChunk,150,8,500,220.56399536132812,65.03972105262181,65.91484639214673,62.685097644154375
i7,Chunks,covtypeNorm,AdaptiveRandomForestExecutorCHUNK,100,8,2000,398.9960021972656,85.51636235518436,79.63774897862265,65.46173550439882
i7,Chunks,covtypeNorm,AdaptiveRandomForestExecutorCHUNK,100,8,50,404.8219909667969,89.97042835848129,87.36392942255277,76.20735020628275
i7,Chunks,covtypeNorm,AdaptiveRandomForestExecutorCHUNK,100,8,500,392.3210144042969,90.06256545945648,85.40211547274573,75.22867357960583
i7,Chunks,covtypeNorm,AdaptiveRandomForestExecutorCHUNK,150,8,2000,582.4450073242188,85.23312124791886,79.96138378861788,65.01328719895149
i7,Chunks,covtypeNorm,AdaptiveRandomForestExecutorCHUNK,150,8,50,606.5900268554688,89.70345736898454,87.21273501159229,75.94559086707036
i7,Chunks,covtypeNorm,AdaptiveRandomForestExecutorCHUNK,150,8,500,575.9509887695312,89.8804848134061,85.63405251291513,75.14435364298112
i7,Chunks,covtypeNorm,AdaptiveRandomForestExecutorMAXChunk,100,8,2000,323.27301025390625,84.80774146304394,80.38321673908445,62.84225710507355
i7,Chunks,covtypeNorm,AdaptiveRandomForestExecutorMAXChunk,100,8,50,325.23199462890625,89.6144670391523,86.95283485989209,75.33352068744662
i7,Chunks,covtypeNorm,AdaptiveRandomForestExecutorMAXChunk,100,8,500,298.1260070800781,89.254141171931,84.37414283488262,72.96905605501416
i7,Chunks,covtypeNorm,AdaptiveRandomForestExecutorMAXChunk,150,8,2000,480.54400634765625,84.60049187236189,80.37278613953049,62.562043952420545
i7,Chunks,covtypeNorm,AdaptiveRandomForestExecutorMAXChunk,150,8,50,497.2239990234375,89.49156743470313,87.04216724442,75.30049071046153
i7,Chunks,covtypeNorm,AdaptiveRandomForestExecutorMAXChunk,150,8,500,468.52899169921875,89.148716994653,84.58741066915421,72.98511316624142
i7,Chunks,covtypeNorm,LBagExecutorCHUNK,100,8,2000,535.156982421875,85.8546973119728,78.34533744226809,68.54400042788083
i7,Chunks,covtypeNorm,LBagExecutorCHUNK,100,8,50,530.89501953125,91.43007632168714,84.79015131975403,83.77066438363397
i7,Chunks,covtypeNorm,LBagExecutorCHUNK,100,8,500,516.3259887695312,91.41154704812303,84.83159735270814,80.69813405477558
i7,Chunks,covtypeNorm,LBagExecutorCHUNK,150,8,2000,790.2440185546875,85.4274177391833,78.20028795130625,67.99944773988372
i7,Chunks,covtypeNorm,LBagExecutorCHUNK,150,8,50,796.9149780273438,91.64988415765575,85.48067720338501,84.18199745459125
i7,Chunks,covtypeNorm,LBagExecutorCHUNK,150,8,500,734.9819946289062,91.29044705363542,84.9818174774076,80.58074511647781
i7,Chunks,covtypeNorm,LBagExecutorMAXChunk,100,8,2000,537.7160034179688,85.90668241763557,78.75769723740417,68.64210121672666
i7,Chunks,covtypeNorm,LBagExecutorMAXChunk,100,8,50,528.93701171875,91.40959305427894,84.68115037125766,83.6831636063778
i7,Chunks,covtypeNorm,LBagExecutorMAXChunk,100,8,500,515.7169799804688,91.47493936387188,85.07002338425895,80.88490692383782
i7,Chunks,covtypeNorm,LBagExecutorMAXChunk,150,8,2000,795.1190185546875,85.4495243621894,78.20006756307737,68.24323830165672
i7,Chunks,covtypeNorm,LBagExecutorMAXChunk,150,8,50,758.4639892578125,91.62578619599905,85.35825887820263,84.13918934401585
i7,Chunks,covtypeNorm,LBagExecutorMAXChunk,150,8,500,724.3359985351562,91.26805302905022,85.00561753810818,80.36456864037447
i7,Chunks,covtypeNorm,OzaBagAdwinExecutorCHUNK,100,8,2000,393.34100341796875,82.07049249411065,70.03537763596927,65.0838671121126
i7,Chunks,covtypeNorm,OzaBagAdwinExecutorCHUNK,100,8,50,529.18798828125,83.24107256584769,73.23212839770613,79.07061935801123
i7,Chunks,covtypeNorm,OzaBagAdwinExecutorCHUNK,100,8,500,385.40399169921875,84.64338377156717,73.24459023729266,75.33781472431585
i7,Chunks,covtypeNorm,OzaBagAdwinExecutorCHUNK,150,8,2000,520.2639770507812,81.58898261175935,69.32922807570522,64.14295386932032
i7,Chunks,covtypeNorm,OzaBagAdwinExecutorCHUNK,150,8,50,705.2890014648438,83.23040061139972,72.44777805141858,78.8146373778375
i7,Chunks,covtypeNorm,OzaBagAdwinExecutorCHUNK,150,8,500,669.0560302734375,85.1513836061959,74.30593147401369,75.09528931447953
i7,Chunks,covtypeNorm,OzaBagAdwinExecutorMAXChunk,100,8,2000,432.3840026855469,82.00261825316228,69.87923379210447,65.10090403344074
i7,Chunks,covtypeNorm,OzaBagAdwinExecutorMAXChunk,100,8,50,482.0780029296875,83.2968421342532,73.28664148165555,79.08717069566367
i7,Chunks,covtypeNorm,OzaBagAdwinExecutorMAXChunk,100,8,500,413.6440124511719,84.73382117854584,73.19823440015503,75.4039759815589
i7,Chunks,covtypeNorm,OzaBagAdwinExecutorMAXChunk,150,8,2000,575.3790283203125,81.48518510842607,69.03754930111032,64.05283023947278
i7,Chunks,covtypeNorm,OzaBagAdwinExecutorMAXChunk,150,8,50,702.7739868164062,83.21473693632285,72.48029002673636,78.76549300949051
i7,Chunks,covtypeNorm,OzaBagAdwinExecutorMAXChunk,150,8,500,607.8809814453125,85.17963452951876,73.97866942898469,75.10217148292104
i7,Chunks,covtypeNorm,OzaBagExecutorCHUNK,100,8,2000,325.35699462890625,79.50077027764537,66.2856226706582,61.62010192401465
i7,Chunks,covtypeNorm,OzaBagExecutorCHUNK,100,8,50,401.7550048828125,83.67810631332169,73.66997281443155,72.58026188062209
i7,Chunks,covtypeNorm,OzaBagExecutorCHUNK,100,8,500,321.5989990234375,82.98794856953862,71.56674520288266,69.48838885708093
i7,Chunks,covtypeNorm,OzaBagExecutorCHUNK,150,8,2000,461.1940002441406,79.31942688579858,66.12914096818933,61.305447959728255
i7,Chunks,covtypeNorm,OzaBagExecutorCHUNK,150,8,50,602.3619995117188,83.96504418533398,73.7516601717144,72.80499508450343
i7,Chunks,covtypeNorm,OzaBagExecutorCHUNK,150,8,500,533.416015625,82.951429083292,71.52078846390717,69.58293732094191
i7,Chunks,covtypeNorm,OzaBagExecutorMAXChunk,100,8,2000,294.427001953125,79.30319233452848,65.85763889563317,61.34094465933898
i7,Chunks,covtypeNorm,OzaBagExecutorMAXChunk,100,8,50,417.4309997558594,83.49651095940871,72.89489797052522,72.11772353967922
i7,Chunks,covtypeNorm,OzaBagExecutorMAXChunk,100,8,500,323.2590026855469,82.7429923929221,71.08261853746696,69.2846057500702
i7,Chunks,covtypeNorm,OzaBagExecutorMAXChunk,150,8,2000,428.1369934082031,79.39835443824998,65.92795432989021,61.551723032262394
i7,Chunks,covtypeNorm,OzaBagExecutorMAXChunk,150,8,50,537.469970703125,83.46983107328879,72.93874274375686,72.1888613803198
i7,Chunks,covtypeNorm,OzaBagExecutorMAXChunk,150,8,500,476.22198486328125,82.63808500082686,71.38924228876985,69.14313503107743
i7,Chunks,elecNormNew,AdaptiveRandomForestExecutorCHUNK,100,8,2000,24.704999923706055,76.39684152198005,76.18867234530771,75.08394177217974
i7,Chunks,elecNormNew,AdaptiveRandomForestExecutorCHUNK,100,8,50,25.16900062561035,80.48694268923158,80.2105559969853,79.61183818444475
i7,Chunks,elecNormNew,AdaptiveRandomForestExecutorCHUNK,100,8,500,24.155000686645508,78.34731768276355,78.03419821949231,77.31003625426487
i7,Chunks,elecNormNew,AdaptiveRandomForestExecutorCHUNK,150,8,2000,35.553001403808594,76.33219431104544,76.06792588716851,75.0850475737211
i7,Chunks,elecNormNew,AdaptiveRandomForestExecutorCHUNK,150,8,50,36.46699905395508,80.53996730148911,80.24832562552957,79.69340925299147
i7,Chunks,elecNormNew,AdaptiveRandomForestExecutorCHUNK,150,8,500,34.60100173950195,78.01481745960903,77.65033928690211,77.02824919935154
i7,Chunks,elecNormNew,AdaptiveRandomForestExecutorMAXChunk,100,8,2000,22.06599998474121,76.36913557443664,76.1551455203058,75.06051347410568
i7,Chunks,elecNormNew,AdaptiveRandomForestExecutorMAXChunk,100,8,50,22.33799934387207,80.46263974194689,80.18273159397371,79.59072331957988
i7,Chunks,elecNormNew,AdaptiveRandomForestExecutorMAXChunk,100,8,500,21.100000381469727,78.24689815228064,77.91005113260884,77.23738900397558
i7,Chunks,elecNormNew,AdaptiveRandomForestExecutorMAXChunk,150,8,2000,30.195999145507812,76.16364979682305,75.91236360247068,74.88086138451739
i7,Chunks,elecNormNew,AdaptiveRandomForestExecutorMAXChunk,150,8,50,32.33700180053711,80.31019398170652,79.99200100699336,79.4862677072589
i7,Chunks,elecNormNew,AdaptiveRandomForestExecutorMAXChunk,150,8,500,30.006000518798828,78.31161296081407,77.95536875268499,77.34207695332908
i7,Chunks,elecNormNew,LBagExecutorCHUNK,100,8,2000,14.539999961853027,75.15238271148873,74.85347095774496,73.82095954598825
i7,Chunks,elecNormNew,LBagExecutorCHUNK,100,8,50,16.53499984741211,80.7940435685564,80.55558978420126,79.89094254317529
i7,Chunks,elecNormNew,LBagExecutorCHUNK,100,8,500,15.060999870300293,77.7760421315719,77.41088553187309,76.76480123145369
i7,Chunks,elecNormNew,LBagExecutorCHUNK,150,8,2000,20.97100067138672,75.01154414480975,74.66245162891963,73.73821072916809
i7,Chunks,elecNormNew,LBagExecutorCHUNK,150,8,50,23.190000534057617,80.63496973178384,80.37731682130786,79.7452260588678
i7,Chunks,elecNormNew,LBagExecutorCHUNK,150,8,500,21.01799964904785,77.60867624743372,77.25627335457104,76.55712406841108
i7,Chunks,elecNormNew,LBagExecutorMAXChunk,100,8,2000,13.909000396728516,75.07619135574437,74.73157361603774,73.8036110851939
i7,Chunks,elecNormNew,LBagExecutorMAXChunk,100,8,50,15.42199993133545,81.01497945296275,80.79371591048847,80.10747435645948
i7,Chunks,elecNormNew,LBagExecutorMAXChunk,100,8,500,14.473999977111816,77.66892796572347,77.3064305435426,76.64130975439299
i7,Chunks,elecNormNew,LBagExecutorMAXChunk,150,8,2000,20.444000244140625,75.15007388252678,74.76852684530257,73.9470607104995
i7,Chunks,elecNormNew,LBagExecutorMAXChunk,150,8,50,22.62299919128418,80.48252397154346,80.18042518511938,79.64759780663874
i7,Chunks,elecNormNew,LBagExecutorMAXChunk,150,8,500,20.492000579833984,77.43238418280818,77.02996502823002,76.45254213712592
i7,Chunks,elecNormNew,OzaBagAdwinExecutorCHUNK,100,8,2000,7.563000202178955,76.20520871813817,75.8510278171055,75.07946896628039
i7,Chunks,elecNormNew,OzaBagAdwinExecutorCHUNK,100,8,50,8.701000213623047,80.31019398170652,80.22196552457417,79.18245018316907
i7,Chunks,elecNormNew,OzaBagAdwinExecutorCHUNK,100,8,500,7.857999801635742,77.37659555476212,76.91513400818752,76.52464502541041
i7,Chunks,elecNormNew,OzaBagAdwinExecutorCHUNK,150,8,2000,11.444999694824219,75.2516623568526,74.72345571051058,74.42966786611905
i7,Chunks,elecNormNew,OzaBagAdwinExecutorCHUNK,150,8,50,11.850000381469727,80.39194025893686,80.2949391575938,79.28078235080942
i7,Chunks,elecNormNew,OzaBagAdwinExecutorCHUNK,150,8,500,11.34000015258789,77.4859412657324,77.00633513935873,76.7006476594864
i7,Chunks,elecNormNew,OzaBagAdwinExecutorMAXChunk,100,8,2000,7.294000148773193,75.56566309567788,75.12545271861197,74.52810644142151
i7,Chunks,elecNormNew,OzaBagAdwinExecutorMAXChunk,100,8,50,8.64900016784668,80.57310768415006,80.59241207456797,79.3603521656634
i7,Chunks,elecNormNew,OzaBagAdwinExecutorMAXChunk,100,8,500,7.660999774932861,77.64438096938319,77.21446506561225,76.74746809280215
i7,Chunks,elecNormNew,OzaBagAdwinExecutorMAXChunk,150,8,2000,11.097000122070312,75.4479128186184,74.96595246321762,74.49766757523568
i7,Chunks,elecNormNew,OzaBagAdwinExecutorMAXChunk,150,8,50,12.005000114440918,80.54217666033317,80.43702758335014,79.4529575028983
i7,Chunks,elecNormNew,OzaBagAdwinExecutorMAXChunk,150,8,500,11.465999603271484,77.31857538159421,76.82475513696711,76.55739971538878
i7,Chunks,elecNormNew,OzaBagExecutorCHUNK,100,8,2000,6.894000053405762,75.6949575175471,75.25389846505111,74.67570870906903
