,dataset,algorithm,ensemble_size,cores,chunk_size,time,accuracy,rate,90
0,airlines,ARFMB+,100,8,2000,563.5369873046875,65.13659717557124,958.2334649988791,862.4101184989912
1,airlines,ARFMB+,100,8,50,902.844970703125,66.38051074197203,598.109329422807,538.2983964805263
2,airlines,ARFMB+,100,8,500,638.9990234375,66.0202678503497,845.071714030275,760.5645426272475
3,airlines,ARFMB+,150,8,2000,886.9650268554688,65.17269805706545,608.8176913969722,547.935922257275
4,airlines,ARFMB+,150,8,50,1297.72705078125,66.33879254560726,416.1121552293392,374.5009397064053
5,airlines,ARFMB+,150,8,500,943.4290161132812,66.05181458683982,572.3801057388297,515.1420951649467
6,airlines,ARFRUNPER,100,8,1,1607.135986328125,66.45315110042401,336.00143646447447,302.401292818027
7,airlines,ARFRUNPER,150,8,1,2232.262939453125,66.4075434338865,241.9069861601039,217.71628754409352
8,airlines,ARFSequential,100,1,1,3000.23095703125,66.41458852058743,179.98614364486588,161.9875292803793
9,airlines,ARFSequential,150,1,1,4465.37890625,66.48281462337522,120.9303871714414,108.83734845429726
10,airlines,LBagMB+,100,8,2000,289.09698486328125,65.8580565444013,1867.8852712883704,1681.0967441595335
11,airlines,LBagMB+,100,8,50,802.1810302734375,63.46450152317771,673.1647591017348,605.8482831915613
12,airlines,LBagMB+,100,8,500,392.68798828125,64.82241970891641,1375.1375547887717,1237.6237993098946
13,airlines,LBagMB+,150,8,2000,409.2489929199219,65.84558871419452,1319.4901132124771,1187.5411018912293
14,airlines,LBagMB+,150,8,50,1053.41796875,63.436689392267844,512.6170390284602,461.3553351256142
15,airlines,LBagMB+,150,8,500,502.7309875488281,65.35593069367562,1074.1331116923682,966.7198005231314
16,airlines,LBagRUNPER,100,8,1,1213.0450439453125,63.5105296236626,445.16071575025927,400.64464417523334
17,airlines,LBagRUNPER,150,8,1,1612.2449951171875,63.58376144594842,334.9366886766174,301.4430198089557
18,airlines,LBagSequential,100,1,1,3317.240966796875,63.506450889256804,162.7858830289991,146.5072947260992
19,airlines,LBagSequential,150,1,1,4637.7412109375,63.557249672310775,116.43599231593201,104.79239308433881
20,airlines,OBMB+,100,8,2000,152.63499450683594,64.9067797083272,3537.8518651292347,3184.0666786163115
21,airlines,OBMB+,100,8,50,230.51600646972656,65.0926236666401,2342.5705150367407,2108.3134635330666
22,airlines,OBMB+,100,8,500,164.73300170898438,65.04528812376714,3278.031690055393,2950.228521049854
23,airlines,OBMB+,150,8,2000,232.80599975585938,64.92073623467806,2319.5278496528913,2087.575064687602
24,airlines,OBMB+,150,8,50,330.6130065917969,65.06203032263926,1633.3295703236813,1469.9966132913132
25,airlines,OBMB+,150,8,500,245.18600463867188,65.04751495222524,2202.4095575756555,1982.16860181809
26,airlines,OBSequential,100,1,1,317.1059875488281,65.07361188617364,1702.900674232304,1532.6106068090737
27,airlines,OBSequential,150,1,1,502.52099609375,65.08010078181923,1074.5819661219846,967.1237695097861
28,airlines,OBAdwinSequential,100,1,1,1049.3160400390623,66.57514233856091,514.6209334414613,463.15884009731514
29,airlines,OBAdwinSequential,150,1,1,1533.7239990234375,66.60239570027234,352.0842083346366,316.87578750117297
30,airlines,OBAdwinMB+,100,8,2000,192.0039978027344,66.2546079797835,2812.441439655845,2531.1972956902605
31,airlines,OBAdwinMB+,100,8,50,446.8940124511719,67.01648146877717,1208.3401991406206,1087.5061792265585
32,airlines,OBAdwinMB+,100,8,500,248.8560028076172,66.50181950441933,2169.9295733583617,1952.9366160225256
33,airlines,OBAdwinMB+,150,8,2000,272.2130126953125,66.07596444249259,1983.7405811470921,1785.366523032383
34,airlines,OBAdwinMB+,150,8,50,526.5390014648439,66.81901533931726,1025.565055005816,923.0085495052344
35,airlines,OBAdwinMB+,150,8,500,341.4989929199219,66.55210871376532,1581.2638139364137,1423.1374325427723
36,airlines,OBAdwinRUNPER,100,8,1,1037.2139892578123,65.95276454764054,520.6254500928992,468.5629050836093
37,airlines,OBAdwinRUNPER,150,8,1,1354.5799560546875,65.94386549075519,398.64756420343707,358.78280778309335
38,airlines,OBASHTSequential,100,1,1,457.55999755859375,68.29284571445523,1180.1730983505595,1062.1557885155037
39,airlines,OBASHTSequential,150,1,1,718.7169799804688,68.04014957831447,751.3388650073003,676.2049785065703
40,airlines,OBASHTMB+,100,8,2000,144.54600524902344,66.16007577463373,3735.834823450773,3362.2513411056957
41,airlines,OBASHTMB+,100,8,50,260.19000244140625,68.18384931016645,2075.4064142860593,1867.8657728574535
42,airlines,OBASHTMB+,100,8,500,151.531005859375,67.74383307693877,3563.6271067924877,3207.264396113239
43,airlines,OBASHTMB+,150,8,2000,223.2030029296875,65.5173312144225,2419.322289181336,2177.3900602632025
44,airlines,OBASHTMB+,150,8,50,355.5069885253906,67.92204445120176,1518.9574816513987,1367.0617334862588
45,airlines,OBASHTMB+,150,8,500,232.30799865722656,67.45044842758075,2324.5002458859667,2092.05022129737
46,airlines,OBASHTRUNPER,100,8,1,1164.9959716796875,68.35810546494791,463.5209160607051,417.1688244546346
47,airlines,OBASHTRUNPER,150,8,1,1485.7679443359375,68.05257117855031,363.44841202059484,327.1035708185354
48,airlines,OBRUNPER,100,8,1,509.3269958496094,65.11458462725004,1060.2226161195813,954.2003545076232
49,airlines,OBRUNPER,150,8,1,697.4180297851562,65.12923099170719,774.2845423229884,696.8560880906896
50,airlines,SRPSequential,100,1,1,3276.427978515625,68.53293485334169,164.81363348772442,148.33227013895197
51,airlines,SRPSequential,150,1,1,4926.66015625,68.59634063364993,109.60772265059764,98.64695038553788
52,airlines,SRPMB+,100,8,2000,655.8779907226562,67.09888478050105,823.3238615081746,740.9914753573571
53,airlines,SRPMB+,100,8,50,898.031005859375,68.4156170677485,601.3155408629176,541.1839867766258
54,airlines,SRPMB+,100,8,500,681.614990234375,68.05094983512191,792.2360977042475,713.0124879338227
55,airlines,SRPMB+,150,8,2000,963.1699829101562,66.99448996339669,560.6487012483764,504.58383112353874
56,airlines,SRPMB+,150,8,50,1271.925048828125,68.45511029364047,424.55331821440535,382.0979863929648
57,airlines,SRPMB+,150,8,500,1018.0989990234376,68.05540349203814,530.4002857462476,477.3602571716229
58,airlines,SRPRUNPER,100,8,1,1747.365966796875,68.55481170151822,309.0365786337723,278.13292077039506
59,airlines,SRPRUNPER,150,8,1,2487.27294921875,68.55240154027842,217.105243785011,195.3947194065099
60,covtypeNorm,ARFMB+,100,8,2000,284.2130126953125,84.8065325070983,2044.2413754744396,1839.8172379269956
61,covtypeNorm,ARFMB+,100,8,50,392.5480041503906,89.6352945631556,1480.0737587686492,1332.0663828917843
62,covtypeNorm,ARFMB+,100,8,500,254.31300354003903,89.09772752328978,2284.5862850600456,2056.127656554041
63,covtypeNorm,ARFMB+,150,8,2000,440.1390075683594,84.56232340607795,1320.0375108987882,1188.0337598089095
64,covtypeNorm,ARFMB+,150,8,50,537.14697265625,89.34026666115857,1081.6406487909483,973.4765839118535
65,covtypeNorm,ARFMB+,150,8,500,450.2369995117188,89.05190590375393,1290.4314852624138,1161.3883367361725
66,covtypeNorm,ARFRUNPER,100,8,1,1282.3609619140625,92.65849930810379,453.07056067333383,407.7635046060005
67,covtypeNorm,ARFRUNPER,150,8,1,1718.81201171875,92.5722704522454,338.02416787803395,304.22175109023055
68,covtypeNorm,ARFSequential,100,1,1,1270.5250244140625,92.65127054174441,457.29126844073306,411.5621415966598
69,covtypeNorm,ARFSequential,150,1,1,1902.1519775390625,92.5930961838998,305.4435223160651,274.8991700844586
70,covtypeNorm,LBagMB+,100,8,2000,465.3800048828125,85.97852894240533,1248.4421202116362,1123.5979081904725
71,covtypeNorm,LBagMB+,100,8,50,566.7529907226562,91.44660063825172,1025.1379516483498,922.6241564835149
72,covtypeNorm,LBagMB+,100,8,500,461.2019958496094,91.47149412932032,1259.7517036536303,1133.7765332882673
73,covtypeNorm,LBagMB+,150,8,2000,700.906982421875,85.41187401988212,828.9259695950594,746.0333726355535
74,covtypeNorm,LBagMB+,150,8,50,834.9819946289062,91.62922876195,695.8233874949791,626.2410487454812
75,covtypeNorm,LBagMB+,150,8,500,693.22802734375,91.27511575988092,838.108064133276,754.2972577199484
76,covtypeNorm,LBagRUNPER,100,8,1,1782.4649658203125,93.3443715448218,325.95311051884636,293.35779946696175
77,covtypeNorm,LBagRUNPER,150,8,1,2437.31396484375,93.50753512836224,238.37716780868092,214.53945102781285
78,covtypeNorm,LBagSequential,100,1,1,1536.5069580078125,93.35762428314732,378.13040609546385,340.3173654859175
79,covtypeNorm,LBagSequential,150,1,1,2215.43603515625,93.49066800685699,262.25085751980345,236.0257717678231
80,covtypeNorm,OBSequential,100,1,1,569.0789794921875,84.41701720446395,1020.9479192474305,918.8531273226874
81,covtypeNorm,OBSequential,150,1,1,1014.97802734375,84.31512602149355,572.4261849495472,515.1835664545924
